"โรงพยาบาล","จำนวนหญิงตั้งครรภ์ (B)","ผลรวมอายุครรภ์ (A)","อายุครรภ์เฉลี่ย"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","38","432","11.37"
"10752  :  โรงพยาบาลบางบ่อ","4","32","8.00"
"10753  :  โรงพยาบาลบางพลี","294","2,617","8.90"
"10754  :  โรงพยาบาลบางจาก","34","312","9.18"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","69","631","9.14"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","690","6,520","9.45"
"10756  :  โรงพยาบาลบางกรวย","68","660","9.71"
"10757  :  โรงพยาบาลบางใหญ่","59","526","8.92"
"10758  :  โรงพยาบาลบางบัวทอง","162","1,557","9.61"
"10759  :  โรงพยาบาลไทรน้อย","97","871","8.98"
"10760  :  โรงพยาบาลปากเกร็ด","107","908","8.49"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","431","3,793","8.80"
"10761  :  โรงพยาบาลคลองหลวง","60","536","8.93"
"10762  :  โรงพยาบาลธัญบุรี","87","806","9.26"
"10763  :  โรงพยาบาลประชาธิปัตย์","48","452","9.42"
"10764  :  โรงพยาบาลหนองเสือ","30","275","9.17"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","30","301","10.03"
"10766  :  โรงพยาบาลลำลูกกา","60","580","9.67"
"10767  :  โรงพยาบาลสามโคก","20","182","9.10"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","120","1,117","9.31"
"10688  :  โรงพยาบาลเสนา","85","760","8.94"
"10768  :  โรงพยาบาลท่าเรือ","17","144","8.47"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","7","57","8.14"
"10770  :  โรงพยาบาลบางไทร","10","82","8.20"
"10771  :  โรงพยาบาลบางบาล","1","10","10.00"
"10772  :  โรงพยาบาลบางปะอิน","53","494","9.32"
"10773  :  โรงพยาบาลบางปะหัน","4","33","8.25"
"10774  :  โรงพยาบาลผักไห่","16","136","8.50"
"10775  :  โรงพยาบาลภาชี","28","275","9.82"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","1","12","12.00"
"10778  :  โรงพยาบาลบางซ้าย","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","2","21","10.50"
"10780  :  โรงพยาบาลมหาราช","5","44","8.80"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","175","1,550","8.86"
"10782  :  โรงพยาบาลไชโย","0","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","10","91","9.10"
"10785  :  โรงพยาบาลโพธิ์ทอง","27","263","9.74"
"10786  :  โรงพยาบาลแสวงหา","9","83","9.22"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","50","430","8.60"
"10788  :  โรงพยาบาลสามโก้","3","27","9.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","207","1,762","8.51"
"10691  :  โรงพยาบาลบ้านหมี่","156","1,405","9.01"
"10789  :  โรงพยาบาลพัฒนานิคม","75","671","8.95"
"10790  :  โรงพยาบาลโคกสำโรง","107","960","8.97"
"10791  :  โรงพยาบาลชัยบาดาล","196","1,683","8.59"
"10792  :  โรงพยาบาลท่าวุ้ง","10","93","9.30"
"10793  :  โรงพยาบาลท่าหลวง","29","248","8.55"
"10794  :  โรงพยาบาลสระโบสถ์","7","53","7.57"
"10795  :  โรงพยาบาลโคกเจริญ","16","131","8.19"
"10796  :  โรงพยาบาลลำสนธิ","11","100","9.09"
"10797  :  โรงพยาบาลหนองม่วง","1","6","6.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","428","3,643","8.51"
"10693  :  โรงพยาบาลอินทร์บุรี","220","1,666","7.57"
"10798  :  โรงพยาบาลบางระจัน","3","31","10.33"
"10799  :  โรงพยาบาลค่ายบางระจัน","6","47","7.83"
"10800  :  โรงพยาบาลพรหมบุรี","3","30","10.00"
"10801  :  โรงพยาบาลท่าช้าง","3","20","6.67"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","37","334","9.03"
"10802  :  โรงพยาบาลมโนรมย์","3","26","8.67"
"10803  :  โรงพยาบาลวัดสิงห์","18","162","9.00"
"10804  :  โรงพยาบาลสรรพยา","4","39","9.75"
"10805  :  โรงพยาบาลสรรคบุรี","16","136","8.50"
"10806  :  โรงพยาบาลหันคา","2","17","8.50"
"27974  :  โรงพยาบาลหนองมะโมง","1","8","8.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","331","2,946","8.90"
"10695  :  โรงพยาบาลพระพุทธบาท","195","1,677","8.60"
"10807  :  โรงพยาบาลแก่งคอย","29","257","8.86"
"10808  :  โรงพยาบาลหนองแค","27","237","8.78"
"10809  :  โรงพยาบาลวิหารแดง","23","192","8.35"
"10810  :  โรงพยาบาลหนองแซง","1","7","7.00"
"10811  :  โรงพยาบาลบ้านหมอ","22","190","8.64"
"10812  :  โรงพยาบาลดอนพุด","1","7","7.00"
"10813  :  โรงพยาบาลหนองโดน","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","4","34","8.50"
"10815  :  โรงพยาบาลมวกเหล็ก","56","510","9.11"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","28","244","8.71"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","433","3,963","9.15"
"10817  :  โรงพยาบาลบ้านบึง","46","378","8.22"
"10818  :  โรงพยาบาลหนองใหญ่","79","658","8.33"
"10819  :  โรงพยาบาลบางละมุง","304","2,615","8.60"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","21","176","8.38"
"10821  :  โรงพยาบาลพานทอง","118","1,088","9.22"
"10822  :  โรงพยาบาลพนัสนิคม","524","4,510","8.61"
"10823  :  โรงพยาบาลแหลมฉบัง","755","6,214","8.23"
"10824  :  โรงพยาบาลเกาะสีชัง","5","41","8.20"
"10825  :  โรงพยาบาลสัตหีบกม10","113","961","8.50"
"10826  :  โรงพยาบาลบ่อทอง","180","1,602","8.90"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","0","0.00"
"10663  :  โรงพยาบาลระยอง","481","4,263","8.86"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,151","10,818","9.40"
"10828  :  โรงพยาบาลบ้านฉาง","47","443","9.43"
"10829  :  โรงพยาบาลแกลง","218","1,947","8.93"
"10830  :  โรงพยาบาลวังจันทร์","45","399","8.87"
"10831  :  โรงพยาบาลบ้านค่าย","148","1,308","8.84"
"10832  :  โรงพยาบาลปลวกแดง","117","1,100","9.40"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","551","4,748","8.62"
"10834  :  โรงพยาบาลขลุง","44","366","8.32"
"10835  :  โรงพยาบาลท่าใหม่","15","133","8.87"
"10836  :  โรงพยาบาลเขาสุกิม","19","161","8.47"
"10837  :  โรงพยาบาลสองพี่น้อง","18","178","9.89"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","15","134","8.93"
"10839  :  โรงพยาบาลมะขาม","56","510","9.11"
"10840  :  โรงพยาบาลแหลมสิงห์","16","146","9.13"
"10841  :  โรงพยาบาลสอยดาว","143","1,242","8.69"
"10842  :  โรงพยาบาลแก่งหางแมว","16","144","9.00"
"10843  :  โรงพยาบาลนายายอาม","29","251","8.66"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","1","11","11.00"
"10696  :  โรงพยาบาลตราด","494","4,474","9.06"
"10845  :  โรงพยาบาลคลองใหญ่","24","198","8.25"
"10846  :  โรงพยาบาลเขาสมิง","3","29","9.67"
"10847  :  โรงพยาบาลบ่อไร่","30","279","9.30"
"10848  :  โรงพยาบาลแหลมงอบ","8","78","9.75"
"10849  :  โรงพยาบาลเกาะกูด","1","7","7.00"
"13816  :  โรงพยาบาลเกาะช้าง","27","246","9.11"
"10697  :  โรงพยาบาลพุทธโสธร","156","1,543","9.89"
"10833  :  โรงพยาบาลท่าตะเกียบ","88","792","9.00"
"10850  :  โรงพยาบาลบางคล้า","61","556","9.11"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","221","1,954","8.84"
"10852  :  โรงพยาบาลบางปะกง","197","1,730","8.78"
"10853  :  โรงพยาบาลบ้านโพธิ์","56","524","9.36"
"10854  :  โรงพยาบาลพนมสารคาม","350","3,013","8.61"
"10855  :  โรงพยาบาลสนามชัยเขต","228","1,984","8.70"
"10856  :  โรงพยาบาลแปลงยาว","77","684","8.88"
"13747  :  โรงพยาบาลราชสาส์น","0","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","418","3,488","8.34"
"10857  :  โรงพยาบาลกบินทร์บุรี","126","1,114","8.84"
"10858  :  โรงพยาบาลนาดี","47","410","8.72"
"10859  :  โรงพยาบาลบ้านสร้าง","21","204","9.71"
"10860  :  โรงพยาบาลประจันตคาม","21","208","9.90"
"10861  :  โรงพยาบาลศรีมหาโพธิ","59","545","9.24"
"10862  :  โรงพยาบาลศรีมโหสถ","31","334","10.77"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","253","2,153","8.51"
"10863  :  โรงพยาบาลปากพลี","5","41","8.20"
"10864  :  โรงพยาบาลบ้านนา","26","222","8.54"
"10865  :  โรงพยาบาลองครักษ์","39","348","8.92"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","448","4,085","9.12"
"10866  :  โรงพยาบาลคลองหาด","20","181","9.05"
"10867  :  โรงพยาบาลตาพระยา","18","179","9.94"
"10868  :  โรงพยาบาลวังน้ำเย็น","96","854","8.90"
"10869  :  โรงพยาบาลวัฒนานคร","24","218","9.08"
"10870  :  โรงพยาบาลอรัญประเทศ","76","651","8.57"
"13817  :  โรงพยาบาลเขาฉกรรจ์","22","190","8.64"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","23","212","9.22"
"10871  :  โรงพยาบาลครบุรี","296","2,573","8.69"
"10872  :  โรงพยาบาลเสิงสาง","102","916","8.98"
"10873  :  โรงพยาบาลคง","42","374","8.90"
"10874  :  โรงพยาบาลบ้านเหลื่อม","27","244","9.04"
"10875  :  โรงพยาบาลจักราช","78","706","9.05"
"10876  :  โรงพยาบาลโชคชัย","356","3,010","8.46"
"10877  :  โรงพยาบาลด่านขุนทด","76","678","8.92"
"10878  :  โรงพยาบาลโนนไทย","38","348","9.16"
"10879  :  โรงพยาบาลโนนสูง","156","1,030","6.60"
"10880  :  โรงพยาบาลขามสะแกแสง","22","204","9.27"
"10881  :  โรงพยาบาลบัวใหญ่","119","1,104","9.28"
"10882  :  โรงพยาบาลประทาย","25","243","9.72"
"10883  :  โรงพยาบาลปักธงชัย","83","743","8.95"
"10884  :  โรงพยาบาลพิมาย","225","2,096","9.32"
"10885  :  โรงพยาบาลห้วยแถลง","35","341","9.74"
"10886  :  โรงพยาบาลชุมพวง","74","644","8.70"
"10887  :  โรงพยาบาลสูงเนิน","180","1,644","9.13"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","185","1,757","9.50"
"10890  :  โรงพยาบาลปากช่องนานา","273","2,393","8.77"
"10891  :  โรงพยาบาลหนองบุญมาก","86","755","8.78"
"10892  :  โรงพยาบาลแก้งสนามนาง","6","57","9.50"
"10893  :  โรงพยาบาลโนนแดง","19","164","8.63"
"10894  :  โรงพยาบาลวังน้ำเขียว","63","547","8.68"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","3","28","9.33"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","17","142","8.35"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","11","105","9.55"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","72","641","8.90"
"10895  :  โรงพยาบาลคูเมือง","7","67","9.57"
"10896  :  โรงพยาบาลกระสัง","70","657","9.39"
"10897  :  โรงพยาบาลนางรอง","221","1,887","8.54"
"10898  :  โรงพยาบาลหนองกี่","161","1,564","9.71"
"10899  :  โรงพยาบาลละหานทราย","282","2,576","9.13"
"10900  :  โรงพยาบาลประโคนชัย","70","634","9.06"
"10901  :  โรงพยาบาลบ้านกรวด","114","994","8.72"
"10902  :  โรงพยาบาลพุทไธสง","52","450","8.65"
"10904  :  โรงพยาบาลลำปลายมาศ","73","708","9.70"
"10905  :  โรงพยาบาลสตึก","217","2,122","9.78"
"10906  :  โรงพยาบาลปะคำ","33","288","8.73"
"10907  :  โรงพยาบาลนาโพธิ์","12","101","8.42"
"10908  :  โรงพยาบาลหนองหงส์","17","150","8.82"
"10909  :  โรงพยาบาลพลับพลาชัย","22","209","9.50"
"10910  :  โรงพยาบาลห้วยราช","17","156","9.18"
"10911  :  โรงพยาบาลโนนสุวรรณ","7","70","10.00"
"10912  :  โรงพยาบาลชำนิ","7","65","9.29"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","26","227","8.73"
"10914  :  โรงพยาบาลโนนดินแดง","17","155","9.12"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","6","54","9.00"
"23578  :  โรงพยาบาลแคนดง","2","19","9.50"
"28020  :  โรงพยาบาลบ้านด่าน","0","0","0.00"
"10668  :  โรงพยาบาลสุรินทร์","616","5,416","8.79"
"10915  :  โรงพยาบาลชุมพลบุรี","45","408","9.07"
"10916  :  โรงพยาบาลท่าตูม","363","3,089","8.51"
"10917  :  โรงพยาบาลจอมพระ","35","298","8.51"
"10918  :  โรงพยาบาลปราสาท","488","4,217","8.64"
"10919  :  โรงพยาบาลกาบเชิง","168","1,565","9.32"
"10920  :  โรงพยาบาลรัตนบุรี","460","3,849","8.37"
"10921  :  โรงพยาบาลสนม","48","460","9.58"
"10922  :  โรงพยาบาลศีขรภูมิ","433","4,053","9.36"
"10923  :  โรงพยาบาลสังขะ","243","2,132","8.77"
"10924  :  โรงพยาบาลลำดวน","183","1,596","8.72"
"10925  :  โรงพยาบาลสำโรงทาบ","32","292","9.13"
"10926  :  โรงพยาบาลบัวเชด","115","981","8.53"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","7","70","10.00"
"27842  :  โรงพยาบาลเขวาสินรินทร์","0","0","0.00"
"27843  :  โรงพยาบาลศรีณรงค์","0","0","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","0","0.00"
"10700  :  โรงพยาบาลศรีสะเกษ","207","1,871","9.04"
"10927  :  โรงพยาบาลยางชุมน้อย","8","78","9.75"
"10928  :  โรงพยาบาลกันทรารมย์","39","384","9.85"
"10929  :  โรงพยาบาลกันทรลักษ์","72","739","10.26"
"10930  :  โรงพยาบาลขุขันธ์","136","1,200","8.82"
"10931  :  โรงพยาบาลไพรบึง","84","830","9.88"
"10932  :  โรงพยาบาลปรางค์กู่","17","140","8.24"
"10933  :  โรงพยาบาลขุนหาญ","30","285","9.50"
"10934  :  โรงพยาบาลราษีไศล","57","515","9.04"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","18","191","10.61"
"10936  :  โรงพยาบาลบึงบูรพ์","3","24","8.00"
"10937  :  โรงพยาบาลห้วยทับทัน","25","214","8.56"
"10938  :  โรงพยาบาลโนนคูณ","6","57","9.50"
"10939  :  โรงพยาบาลศรีรัตนะ","24","216","9.00"
"10940  :  โรงพยาบาลวังหิน","5","53","10.60"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","29","252","8.69"
"10942  :  โรงพยาบาลภูสิงห์","55","532","9.67"
"10943  :  โรงพยาบาลเมืองจันทร์","6","52","8.67"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"28014  :  โรงพยาบาลพยุห์","13","120","9.23"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","0","0.00"
