"โรงพยาบาล","ตค. ถึง มีค.","เมย. ถึง กย."
"B","A","ร้อยละ","B","A","ร้อยละ"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0.00","997","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","208","0","0.00","1,146","4","0.35"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","3,214","0","0.00","4,783","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","2,335","4","0.17","2,514","1,051","41.81"
"10798  :  โรงพยาบาลบางระจัน","835","0","0.00","1,150","238","20.70"
"10799  :  โรงพยาบาลค่ายบางระจัน","536","0","0.00","518","497","95.95"
"10800  :  โรงพยาบาลพรหมบุรี","704","0","0.00","788","328","41.62"
"10801  :  โรงพยาบาลท่าช้าง","162","0","0.00","153","132","86.27"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","609","0","0.00","413","1","0.24"
"10803  :  โรงพยาบาลวัดสิงห์","212","0","0.00","195","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","104","0","0.00","785","66","8.41"
"10805  :  โรงพยาบาลสรรคบุรี","1,163","0","0.00","1,180","0","0.00"
"10806  :  โรงพยาบาลหันคา","1,458","0","0.00","3,316","1","0.03"
"27974  :  โรงพยาบาลหนองมะโมง","84","0","0.00","0","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","401","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","1,167","0","0.00","2,542","0","0.00"
"10808  :  โรงพยาบาลหนองแค","2,015","1","0.05","2,138","3","0.14"
"10809  :  โรงพยาบาลวิหารแดง","373","0","0.00","706","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","146","0","0.00","315","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","831","0","0.00","1,328","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","531","1","0.19","512","1","0.20"
"10813  :  โรงพยาบาลหนองโดน","354","0","0.00","501","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,139","0","0.00","1,817","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","2,946","1","0.03","3,421","3","0.09"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1,858","1","0.05","2,016","3","0.15"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","822","4","0.49","820","2","0.24"
"10817  :  โรงพยาบาลบ้านบึง","5,243","0","0.00","3,447","4","0.12"
"10818  :  โรงพยาบาลหนองใหญ่","940","0","0.00","1,236","5","0.40"
"10819  :  โรงพยาบาลบางละมุง","265","0","0.00","6,065","7","0.12"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","244","0","0.00","589","0","0.00"
"10821  :  โรงพยาบาลพานทอง","3,140","5","0.16","3,313","5","0.15"
"10822  :  โรงพยาบาลพนัสนิคม","8,159","8","0.10","4,332","9","0.21"
"10823  :  โรงพยาบาลแหลมฉบัง","14,242","0","0.00","15,906","9","0.06"
"10824  :  โรงพยาบาลเกาะสีชัง","425","0","0.00","335","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","1,110","0","0.00","1,567","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","1,588","0","0.00","2,044","5","0.24"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00","105","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","112","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2","0","0.00","5","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","811","1","0.12"
"28005  :  โรงพยาบาลเมืองพัทยา","1","0","0.00","1","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","1,894","0","0.00","1,682","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","5,769","0","0.00","8,071","1","0.01"
"10828  :  โรงพยาบาลบ้านฉาง","741","0","0.00","2","0","0.00"
"10829  :  โรงพยาบาลแกลง","1","0","0.00","0","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","1,664","1","0.06","1,959","1","0.05"
"10831  :  โรงพยาบาลบ้านค่าย","1,333","3","0.23","2,477","7","0.28"
"10832  :  โรงพยาบาลปลวกแดง","3,885","1","0.03","4,071","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","140","0","0.00","945","4","0.42"
"23962  :  โรงพยาบาลนิคมพัฒนา","1,156","3","0.26","1,719","2","0.12"
"10664  :  โรงพยาบาลพระปกเกล้า","12","1","8.33","1","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","27","0","0.00","242","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","187","0","0.00","145","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","110","0","0.00","115","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,315","0","0.00","1,096","0","0.00"
"10839  :  โรงพยาบาลมะขาม","396","0","0.00","406","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","487","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","244","0","0.00","1,418","4","0.28"
"10842  :  โรงพยาบาลแก่งหางแมว","1,648","0","0.00","2,106","1","0.05"
"10843  :  โรงพยาบาลนายายอาม","782","0","0.00","2,824","16","0.57"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","1,132","1","0.09","1,330","6","0.45"
"10696  :  โรงพยาบาลตราด","4,914","0","0.00","3,068","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","1,383","0","0.00","1,382","0","0.00"
"10846  :  โรงพยาบาลเขาสมิง","1,202","1","0.08","1,180","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","1,201","0","0.00","1,275","0","0.00"
"10848  :  โรงพยาบาลแหลมงอบ","991","1","0.10","1,019","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","188","0","0.00","236","1","0.42"
"13816  :  โรงพยาบาลเกาะช้าง","61","0","0.00","46","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","1,374","1","0.07"
"10833  :  โรงพยาบาลท่าตะเกียบ","1,097","1","0.09","2,077","5","0.24"
"10850  :  โรงพยาบาลบางคล้า","2,298","1","0.04","2,839","4","0.14"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","2,094","1","0.05"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","1","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","263","0","0.00","1,041","0","0.00"
"10854  :  โรงพยาบาลพนมสารคาม","3,391","37","1.09","5,519","20","0.36"
"10855  :  โรงพยาบาลสนามชัยเขต","610","0","0.00","1,811","2","0.11"
"10856  :  โรงพยาบาลแปลงยาว","464","0","0.00","1,735","2","0.12"
"13747  :  โรงพยาบาลราชสาส์น","853","1","0.12","864","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0.00","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","1,956","0","0.00","2,990","3","0.10"
"10858  :  โรงพยาบาลนาดี","881","0","0.00","1,054","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","640","0","0.00","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","1,137","0","0.00","1,708","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","4,464","0","0.00","4,645","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","1,116","0","0.00","505","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","3,424","0","0.00","3,684","0","0.00"
"10863  :  โรงพยาบาลปากพลี","296","0","0.00","352","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","489","0","0.00","3,667","3","0.08"
"10865  :  โรงพยาบาลองครักษ์","0","0","0.00","3,115","2","0.06"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","2","0","0.00","1,776","7","0.39"
"10866  :  โรงพยาบาลคลองหาด","2,764","0","0.00","1,389","0","0.00"
"10867  :  โรงพยาบาลตาพระยา","579","0","0.00","136","0","0.00"
"10868  :  โรงพยาบาลวังน้ำเย็น","6,894","2","0.03","4,918","8","0.16"
"10869  :  โรงพยาบาลวัฒนานคร","2,768","0","0.00","3,131","0","0.00"
"10870  :  โรงพยาบาลอรัญประเทศ","6,125","0","0.00","7,433","1","0.01"
"13817  :  โรงพยาบาลเขาฉกรรจ์","2,278","0","0.00","2,205","1","0.05"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","4,285","14","0.33","4,133","18","0.44"
"10872  :  โรงพยาบาลเสิงสาง","3,672","2","0.05","3,617","5","0.14"
"10873  :  โรงพยาบาลคง","1,951","0","0.00","2,958","4","0.14"
"10874  :  โรงพยาบาลบ้านเหลื่อม","1,564","0","0.00","1,869","3","0.16"
"10875  :  โรงพยาบาลจักราช","3","0","0.00","2,587","6","0.23"
"10876  :  โรงพยาบาลโชคชัย","5,275","12","0.23","6,189","11","0.18"
"10877  :  โรงพยาบาลด่านขุนทด","3,348","13","0.39","3,219","41","1.27"
"10878  :  โรงพยาบาลโนนไทย","2,582","0","0.00","2,730","6","0.22"
"10879  :  โรงพยาบาลโนนสูง","3,720","3","0.08","4,797","6","0.13"
"10880  :  โรงพยาบาลขามสะแกแสง","1,613","0","0.00","2,067","2","0.10"
"10881  :  โรงพยาบาลบัวใหญ่","2,944","5","0.17","3,496","4","0.11"
"10882  :  โรงพยาบาลประทาย","2,535","0","0.00","1,648","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","1,702","2","0.12","2,684","2","0.07"
"10884  :  โรงพยาบาลพิมาย","3,076","0","0.00","3,447","0","0.00"
"10885  :  โรงพยาบาลห้วยแถลง","3,112","4","0.13","3,664","2","0.05"
"10886  :  โรงพยาบาลชุมพวง","2,258","0","0.00","3,261","4","0.12"
"10887  :  โรงพยาบาลสูงเนิน","2,695","0","0.00","3,346","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","1,674","4","0.24","1,926","3","0.16"
"10889  :  โรงพยาบาลสีคิ้ว","6,181","6","0.10","6,798","13","0.19"
"10890  :  โรงพยาบาลปากช่องนานา","7,624","0","0.00","5,878","4","0.07"
"10891  :  โรงพยาบาลหนองบุญมาก","1,905","0","0.00","2,183","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","0","0.00","0","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","1,869","2","0.11","2,077","2","0.10"
"10894  :  โรงพยาบาลวังน้ำเขียว","1,650","1","0.06","1,873","2","0.11"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","10","0","0.00","8","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","31","0","0.00","710","1","0.14"
"11608  :  โรงพยาบาลลำทะเมนชัย","443","0","0.00","984","1","0.10"
