"โรงพยาบาล","ประชากร อายุ 18 - 59 ปี","ประชากร อายุ 18 - 59 ปีที่วัดรอบเอวและส่วนสูง(B)","ความครอบคลุมร้อยละ","ประชากร อายุ 18 - 59 ปีรอบเอวปกติ","ร้อยละ"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","215","28","13.02","14","50.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","3,427","1,772","51.71","1,480","83.52"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","3,619","1,594","44.05","729","45.73"
"10762  :  โรงพยาบาลธัญบุรี","7,745","3,149","40.66","1,773","56.30"
"10763  :  โรงพยาบาลประชาธิปัตย์","5,719","2,916","50.99","2,123","72.81"
"10764  :  โรงพยาบาลหนองเสือ","3,359","1,715","51.06","489","28.51"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","2,125","1,089","51.25","581","53.35"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","1,382","814","58.90","477","58.60"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","431","117","27.15","26","22.22"
"10768  :  โรงพยาบาลท่าเรือ","5,823","2,452","42.11","1,380","56.28"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","1,233","921","74.70","423","45.93"
"10770  :  โรงพยาบาลบางไทร","2,284","734","32.14","313","42.64"
"10771  :  โรงพยาบาลบางบาล","1,003","505","50.35","229","45.35"
"10772  :  โรงพยาบาลบางปะอิน","6,241","2,103","33.70","1,041","49.50"
"10773  :  โรงพยาบาลบางปะหัน","843","469","55.63","197","42.00"
"10774  :  โรงพยาบาลผักไห่","620","186","30.00","63","33.87"
"10775  :  โรงพยาบาลภาชี","3,243","1,938","59.76","960","49.54"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,418","570","40.20","199","34.91"
"10777  :  โรงพยาบาลวังน้อย","4,363","1,850","42.40","660","35.68"
"10778  :  โรงพยาบาลบางซ้าย","2,152","1,180","54.83","626","53.05"
"10779  :  โรงพยาบาลอุทัย","481","166","34.51","71","42.77"
"10780  :  โรงพยาบาลมหาราช","728","294","40.38","118","40.14"
"10781  :  โรงพยาบาลบ้านแพรก","787","461","58.58","205","44.47"
"10689  :  โรงพยาบาลอ่างทอง","591","420","71.07","148","35.24"
"10782  :  โรงพยาบาลไชโย","1,376","853","61.99","449","52.64"
"10784  :  โรงพยาบาลป่าโมก","2,518","1,464","58.14","749","51.16"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,654","1,369","82.77","570","41.64"
"10786  :  โรงพยาบาลแสวงหา","3,395","1,947","57.35","1,015","52.13"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","3,488","1,855","53.18","1,171","63.13"
"10788  :  โรงพยาบาลสามโก้","923","704","76.27","277","39.35"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","4,150","3,243","78.14","1,472","45.39"
"10790  :  โรงพยาบาลโคกสำโรง","4,096","1,917","46.80","679","35.42"
"10791  :  โรงพยาบาลชัยบาดาล","6,491","4,114","63.38","3,791","92.15"
"10792  :  โรงพยาบาลท่าวุ้ง","1,594","1,518","95.23","659","43.41"
"10793  :  โรงพยาบาลท่าหลวง","3,047","2,429","79.72","1,330","54.76"
"10794  :  โรงพยาบาลสระโบสถ์","4,618","2,403","52.04","883","36.75"
"10795  :  โรงพยาบาลโคกเจริญ","2,017","1,890","93.70","1,454","76.93"
"10796  :  โรงพยาบาลลำสนธิ","2,578","2,435","94.45","1,046","42.96"
"10797  :  โรงพยาบาลหนองม่วง","2,522","1,839","72.92","867","47.15"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","5,528","3,225","58.34","1,968","61.02"
"10693  :  โรงพยาบาลอินทร์บุรี","980","850","86.73","432","50.82"
"10798  :  โรงพยาบาลบางระจัน","1,934","1,161","60.03","473","40.74"
"10799  :  โรงพยาบาลค่ายบางระจัน","3,653","2,573","70.44","1,377","53.52"
"10800  :  โรงพยาบาลพรหมบุรี","2,316","2,162","93.35","1,279","59.16"
"10801  :  โรงพยาบาลท่าช้าง","1,167","629","53.90","282","44.83"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","2,067","1,119","54.14","475","42.45"
"10803  :  โรงพยาบาลวัดสิงห์","1,966","1,230","62.56","536","43.58"
"10804  :  โรงพยาบาลสรรพยา","1,049","613","58.44","173","28.22"
"10805  :  โรงพยาบาลสรรคบุรี","3,126","1,910","61.10","1,011","52.93"
"10806  :  โรงพยาบาลหันคา","3,444","2,809","81.56","1,268","45.14"
"27974  :  โรงพยาบาลหนองมะโมง","540","326","60.37","151","46.32"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","8,230","4,677","56.83","2,594","55.46"
"10808  :  โรงพยาบาลหนองแค","1,790","54","3.02","34","62.96"
"10809  :  โรงพยาบาลวิหารแดง","2,556","2,454","96.01","1,156","47.11"
"10810  :  โรงพยาบาลหนองแซง","2,013","1,097","54.50","704","64.18"
"10811  :  โรงพยาบาลบ้านหมอ","3,030","1,865","61.55","973","52.17"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","2,134","1,106","51.83","416","37.61"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,612","881","54.65","499","56.64"
"10815  :  โรงพยาบาลมวกเหล็ก","4,090","2,197","53.72","1,250","56.90"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","2,267","1,094","48.26","395","36.11"
"11485  :  โรงพยาบาลค่ายอดิศร","6,036","1,295","21.45","611","47.18"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","16,700","8,852","53.01","4,947","55.89"
"10818  :  โรงพยาบาลหนองใหญ่","3,778","2,186","57.86","1,706","78.04"
"10819  :  โรงพยาบาลบางละมุง","14,770","7,849","53.14","5,773","73.55"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","1,723","509","29.54","181","35.56"
"10821  :  โรงพยาบาลพานทอง","6,313","2,601","41.20","1,142","43.91"
"10822  :  โรงพยาบาลพนัสนิคม","6,907","2,830","40.97","1,610","56.89"
"10823  :  โรงพยาบาลแหลมฉบัง","50,010","1,551","3.10","582","37.52"
"10824  :  โรงพยาบาลเกาะสีชัง","1,718","972","56.58","354","36.42"
"10825  :  โรงพยาบาลสัตหีบกม10","20,982","9,195","43.82","5,985","65.09"
"10826  :  โรงพยาบาลบ่อทอง","3,814","1,612","42.27","645","40.01"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","8,484","915","10.79","351","38.36"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","59,494","3,032","5.10","953","31.43"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","11,630","96","0.83","54","56.25"
"28005  :  โรงพยาบาลเมืองพัทยา","17,430","1,602","9.19","435","27.15"
"28006  :  โรงพยาบาลเกาะจันทร์","2,499","1,159","46.38","676","58.33"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,405","678","48.26","243","35.84"
"10828  :  โรงพยาบาลบ้านฉาง","14,362","6,244","43.48","3,082","49.36"
"10829  :  โรงพยาบาลแกลง","2,682","1,647","61.41","731","44.38"
"10830  :  โรงพยาบาลวังจันทร์","2,690","2,301","85.54","1,047","45.50"
"10831  :  โรงพยาบาลบ้านค่าย","3,832","2,879","75.13","1,685","58.53"
"10832  :  โรงพยาบาลปลวกแดง","20,456","4,333","21.18","2,269","52.37"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","781","484","61.97","150","30.99"
"23962  :  โรงพยาบาลนิคมพัฒนา","2,169","1,284","59.20","936","72.90"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","1,923","1,527","79.41","786","51.47"
"10837  :  โรงพยาบาลสองพี่น้อง","3,202","1,856","57.96","1,374","74.03"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","6,592","3,747","56.84","2,920","77.93"
"10839  :  โรงพยาบาลมะขาม","719","504","70.10","191","37.90"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","4,297","2,176","50.64","1,357","62.36"
"10843  :  โรงพยาบาลนายายอาม","1,637","989","60.42","380","38.42"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","2,923","1,788","61.17","691","38.65"
"10696  :  โรงพยาบาลตราด","2,793","1,425","51.02","609","42.74"
"10845  :  โรงพยาบาลคลองใหญ่","6,016","3,183","52.91","1,872","58.81"
"10846  :  โรงพยาบาลเขาสมิง","3,859","1,886","48.87","760","40.30"
"10847  :  โรงพยาบาลบ่อไร่","2,452","1,433","58.44","556","38.80"
"10848  :  โรงพยาบาลแหลมงอบ","2,338","1,758","75.19","960","54.61"
"10849  :  โรงพยาบาลเกาะกูด","827","482","58.28","181","37.55"
"13816  :  โรงพยาบาลเกาะช้าง","484","186","38.43","83","44.62"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","2,514","1,556","61.89","799","51.35"
"10850  :  โรงพยาบาลบางคล้า","9,329","4,464","47.85","3,662","82.03"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","1,795","1,458","81.23","881","60.43"
"10854  :  โรงพยาบาลพนมสารคาม","6,089","4,422","72.62","1,893","42.81"
"10855  :  โรงพยาบาลสนามชัยเขต","3,316","2,172","65.50","1,751","80.62"
"10856  :  โรงพยาบาลแปลงยาว","4,776","3,442","72.07","2,360","68.56"
"13747  :  โรงพยาบาลราชสาส์น","3,583","3,086","86.13","1,643","53.24"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","650","314","48.31","177","56.37"
"10857  :  โรงพยาบาลกบินทร์บุรี","6,070","3,382","55.72","1,277","37.76"
"10858  :  โรงพยาบาลนาดี","3,764","2,024","53.77","1,123","55.48"
"10859  :  โรงพยาบาลบ้านสร้าง","2,380","1,345","56.51","493","36.65"
"10860  :  โรงพยาบาลประจันตคาม","3,685","1,877","50.94","824","43.90"
"10861  :  โรงพยาบาลศรีมหาโพธิ","5,128","4,335","84.54","1,420","32.76"
"10862  :  โรงพยาบาลศรีมโหสถ","4,420","2,343","53.01","1,008","43.02"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","6,639","405","6.10","235","58.02"
"10698  :  โรงพยาบาลนครนายก","8,687","4,874","56.11","2,106","43.21"
"10863  :  โรงพยาบาลปากพลี","675","430","63.70","193","44.88"
"10864  :  โรงพยาบาลบ้านนา","2,648","1,578","59.59","718","45.50"
"10865  :  โรงพยาบาลองครักษ์","1,693","933","55.11","353","37.83"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","2","0","0.00","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","4,270","2,341","54.82","787","33.62"
"10867  :  โรงพยาบาลตาพระยา","2,856","1,302","45.59","766","58.83"
"10868  :  โรงพยาบาลวังน้ำเย็น","10,204","4,616","45.24","2,216","48.01"
"10869  :  โรงพยาบาลวัฒนานคร","5,107","2,068","40.49","924","44.68"
"10870  :  โรงพยาบาลอรัญประเทศ","6,349","2,248","35.41","1,081","48.09"
"13817  :  โรงพยาบาลเขาฉกรรจ์","2,061","1,345","65.26","400","29.74"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0.00"
"10871  :  โรงพยาบาลครบุรี","4,365","2,944","67.45","1,420","48.23"
"10872  :  โรงพยาบาลเสิงสาง","5,432","3,743","68.91","1,917","51.22"
"10873  :  โรงพยาบาลคง","3,188","1,285","40.31","642","49.96"
"10874  :  โรงพยาบาลบ้านเหลื่อม","1,641","1,130","68.86","534","47.26"
"10875  :  โรงพยาบาลจักราช","4,146","2,260","54.51","1,112","49.20"
"10876  :  โรงพยาบาลโชคชัย","5,728","3,968","69.27","2,163","54.51"
"10877  :  โรงพยาบาลด่านขุนทด","5,732","3,558","62.07","1,760","49.47"
"10878  :  โรงพยาบาลโนนไทย","4,266","2,715","63.64","1,299","47.85"
"10879  :  โรงพยาบาลโนนสูง","4,642","2,743","59.09","1,523","55.52"
"10880  :  โรงพยาบาลขามสะแกแสง","3,894","2,363","60.68","1,125","47.61"
"10881  :  โรงพยาบาลบัวใหญ่","2,503","1,767","70.60","802","45.39"
"10882  :  โรงพยาบาลประทาย","3,523","2,162","61.37","1,009","46.67"
"10883  :  โรงพยาบาลปักธงชัย","3,423","2,055","60.04","1,055","51.34"
"10884  :  โรงพยาบาลพิมาย","4,491","2,568","57.18","1,318","51.32"
"10885  :  โรงพยาบาลห้วยแถลง","4,080","2,738","67.11","1,105","40.36"
"10886  :  โรงพยาบาลชุมพวง","4,117","2,519","61.19","1,190","47.24"
"10887  :  โรงพยาบาลสูงเนิน","10,471","7,389","70.57","3,762","50.91"
"10888  :  โรงพยาบาลขามทะเลสอ","2,558","1,740","68.02","720","41.38"
"10889  :  โรงพยาบาลสีคิ้ว","12,489","7,314","58.56","4,726","64.62"
"10890  :  โรงพยาบาลปากช่องนานา","6,423","3,674","57.20","1,719","46.79"
"10891  :  โรงพยาบาลหนองบุญมาก","2,472","1,497","60.56","893","59.65"
"10892  :  โรงพยาบาลแก้งสนามนาง","3,119","2,077","66.59","860","41.41"
"10893  :  โรงพยาบาลโนนแดง","2,275","1,662","73.05","812","48.86"
"10894  :  โรงพยาบาลวังน้ำเขียว","1,641","987","60.15","501","50.76"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","1,029","604","58.70","310","51.32"
"11608  :  โรงพยาบาลลำทะเมนชัย","2,132","1,410","66.14","724","51.35"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","8,432","4,710","55.86","3,210","68.15"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","8,985","1,688","18.79","1,304","77.25"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0.00"
