"โรงพยาบาล","ตค. ถึง มีค.","เมย. ถึง กย."
"B","A","ร้อยละ","B","A","ร้อยละ"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","13","0","0.00","7","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","380","0","0.00","274","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","651","3","0.46","478","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","370","0","0.00","31","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","2,171","2","0.09","1,381","4","0.29"
"10761  :  โรงพยาบาลคลองหลวง","1,611","0","0.00","1,243","2","0.16"
"10762  :  โรงพยาบาลธัญบุรี","2,022","28","1.38","0","0","0.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","3,510","680","19.37","624","0","0.00"
"10764  :  โรงพยาบาลหนองเสือ","954","890","93.29","621","203","32.69"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,883","1","0.05","858","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","3,007","0","0.00","2,611","1","0.04"
"10767  :  โรงพยาบาลสามโคก","959","637","66.42","156","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","1","0","0.00","1","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","1,196","0","0.00","679","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","1,412","0","0.00","1,231","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","646","0","0.00","422","0","0.00"
"10770  :  โรงพยาบาลบางไทร","115","0","0.00","588","0","0.00"
"10771  :  โรงพยาบาลบางบาล","343","0","0.00","42","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","2,217","0","0.00","891","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","1,972","0","0.00","315","0","0.00"
"10774  :  โรงพยาบาลผักไห่","1,144","0","0.00","415","0","0.00"
"10775  :  โรงพยาบาลภาชี","845","0","0.00","56","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","533","0","0.00","150","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","2,048","0","0.00","958","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","256","0","0.00","163","0","0.00"
"10779  :  โรงพยาบาลอุทัย","746","0","0.00","516","0","0.00"
"10780  :  โรงพยาบาลมหาราช","177","0","0.00","252","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0.00","193","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","817","393","48.10","5","0","0.00"
"10782  :  โรงพยาบาลไชโย","508","158","31.10","341","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","890","0","0.00","706","1","0.14"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,224","0","0.00","607","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","985","775","78.68","703","143","20.34"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,289","1","0.08","953","1","0.10"
"10788  :  โรงพยาบาลสามโก้","424","2","0.47","260","2","0.77"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","2,882","24","0.83","1,525","12","0.79"
"10691  :  โรงพยาบาลบ้านหมี่","579","0","0.00","379","1","0.26"
"10789  :  โรงพยาบาลพัฒนานิคม","3","0","0.00","0","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","525","455","86.67","515","10","1.94"
"10791  :  โรงพยาบาลชัยบาดาล","1,395","0","0.00","743","1","0.13"
"10792  :  โรงพยาบาลท่าวุ้ง","817","1","0.12","663","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","1,230","1","0.08","370","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","808","92","11.39","339","3","0.88"
"10795  :  โรงพยาบาลโคกเจริญ","462","349","75.54","380","6","1.58"
"10796  :  โรงพยาบาลลำสนธิ","648","396","61.11","1","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1,098","1","0.09","267","1","0.37"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","4,527","0","0.00","4,600","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","923","0","0.00","832","1","0.12"
"10798  :  โรงพยาบาลบางระจัน","473","1","0.21","384","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","670","1","0.15","202","0","0.00"
"10800  :  โรงพยาบาลพรหมบุรี","597","0","0.00","174","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","1,002","0","0.00","243","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","1,692","8","0.47","666","3","0.45"
"10802  :  โรงพยาบาลมโนรมย์","924","193","20.89","345","0","0.00"
"10803  :  โรงพยาบาลวัดสิงห์","647","0","0.00","217","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","669","0","0.00","332","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","1,345","205","15.24","871","0","0.00"
"10806  :  โรงพยาบาลหันคา","1,833","0","0.00","943","0","0.00"
"27974  :  โรงพยาบาลหนองมะโมง","735","0","0.00","228","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","653","1","0.15","100","1","1.00"
"10661  :  โรงพยาบาลสระบุรี","1","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","152","3","1.97","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","975","0","0.00","1,906","1","0.05"
"10808  :  โรงพยาบาลหนองแค","1,352","4","0.30","783","1","0.13"
"10809  :  โรงพยาบาลวิหารแดง","893","0","0.00","370","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","89","0","0.00","0","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","1,356","0","0.00","1,154","0","0.00"
"10812  :  โรงพยาบาลดอนพุด","355","0","0.00","227","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","434","0","0.00","261","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,450","1","0.07","511","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","1,990","0","0.00","850","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","1,541","1","0.06","298","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","89","0","0.00","37","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","481","3","0.62","719","2","0.28"
"10817  :  โรงพยาบาลบ้านบึง","5,980","3,698","61.84","1,710","3","0.18"
"10818  :  โรงพยาบาลหนองใหญ่","1,460","1,316","90.14","274","0","0.00"
"10819  :  โรงพยาบาลบางละมุง","5,480","1,624","29.64","2,107","1","0.05"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","655","208","31.76","319","0","0.00"
"10821  :  โรงพยาบาลพานทอง","1,542","17","1.10","1,215","392","32.26"
"10822  :  โรงพยาบาลพนัสนิคม","2,279","1,030","45.20","1,258","1","0.08"
"10823  :  โรงพยาบาลแหลมฉบัง","11,584","1,171","10.11","6,185","4,989","80.66"
"10824  :  โรงพยาบาลเกาะสีชัง","275","245","89.09","111","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","1,273","819","64.34","266","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","1,555","113","7.27","523","1","0.19"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","96","0","0.00","82","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","147","0","0.00","157","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","2,103","15","0.71","1,362","7","0.51"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","4","0","0.00","2","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","1,759","1","0.06","1,035","1","0.10"
"28005  :  โรงพยาบาลเมืองพัทยา","989","0","0.00","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","1,253","674","53.79","691","0","0.00"
"10663  :  โรงพยาบาลระยอง","1,095","5","0.46","703","8","1.14"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","6,295","4,749","75.44","5,622","2","0.04"
"10828  :  โรงพยาบาลบ้านฉาง","2,000","1,981","99.05","34","0","0.00"
"10829  :  โรงพยาบาลแกลง","30","0","0.00","3","0","0.00"
"10830  :  โรงพยาบาลวังจันทร์","1,341","868","64.73","1,153","213","18.47"
"10831  :  โรงพยาบาลบ้านค่าย","1,456","384","26.37","860","4","0.47"
"10832  :  โรงพยาบาลปลวกแดง","3,862","0","0.00","27","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","418","0","0.00","350","1","0.29"
"23962  :  โรงพยาบาลนิคมพัฒนา","754","0","0.00","548","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","1","0","0.00"
"10834  :  โรงพยาบาลขลุง","641","1","0.16","432","2","0.46"
"10835  :  โรงพยาบาลท่าใหม่","634","0","0.00","240","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","125","108","86.40","0","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","129","63","48.84","23","0","0.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,554","1,036","66.67","545","3","0.55"
"10839  :  โรงพยาบาลมะขาม","650","115","17.69","200","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","146","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0.00","346","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","1,822","1,016","55.76","694","0","0.00"
"10843  :  โรงพยาบาลนายายอาม","1,421","84","5.91","732","2","0.27"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","859","92","10.71","202","0","0.00"
"10696  :  โรงพยาบาลตราด","4,445","4,048","91.07","0","0","0.00"
"10845  :  โรงพยาบาลคลองใหญ่","1,122","795","70.86","348","1","0.29"
"10846  :  โรงพยาบาลเขาสมิง","1,025","271","26.44","373","0","0.00"
"10847  :  โรงพยาบาลบ่อไร่","1,488","790","53.09","865","447","51.68"
"10848  :  โรงพยาบาลแหลมงอบ","713","313","43.90","221","0","0.00"
"10849  :  โรงพยาบาลเกาะกูด","178","134","75.28","94","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","213","66","30.99","128","1","0.78"
"10697  :  โรงพยาบาลพุทธโสธร","883","4","0.45","1,536","5","0.33"
"10833  :  โรงพยาบาลท่าตะเกียบ","1,478","805","54.47","749","0","0.00"
"10850  :  โรงพยาบาลบางคล้า","2,443","1,757","71.92","444","0","0.00"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","1,506","2","0.13","1,936","1","0.05"
"10852  :  โรงพยาบาลบางปะกง","384","0","0.00","799","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","1,158","721","62.26","730","1","0.14"
"10854  :  โรงพยาบาลพนมสารคาม","3,089","1,666","53.93","905","8","0.88"
"10855  :  โรงพยาบาลสนามชัยเขต","1,126","0","0.00","603","1","0.17"
"10856  :  โรงพยาบาลแปลงยาว","1,656","379","22.89","546","11","2.01"
"13747  :  โรงพยาบาลราชสาส์น","514","346","67.32","347","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","1","0","0.00","241","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","760","0","0.00","965","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","2,296","1,126","49.04","1,405","13","0.93"
"10858  :  โรงพยาบาลนาดี","481","471","97.92","1","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","0","0","0.00","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","1,153","1,116","96.79","0","0","0.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","3,042","1,953","64.20","342","0","0.00"
"10862  :  โรงพยาบาลศรีมโหสถ","2,564","1,738","67.78","723","9","1.24"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","3,786","3","0.08","1,324","1","0.08"
"10863  :  โรงพยาบาลปากพลี","483","122","25.26","292","1","0.34"
"10864  :  โรงพยาบาลบ้านนา","2,247","0","0.00","828","2","0.24"
"10865  :  โรงพยาบาลองครักษ์","1,538","1","0.07","1,044","2","0.19"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","2,548","7","0.27","1,774","5","0.28"
"10866  :  โรงพยาบาลคลองหาด","1,712","857","50.06","1,227","6","0.49"
"10867  :  โรงพยาบาลตาพระยา","1,861","54","2.90","1,686","3","0.18"
"10868  :  โรงพยาบาลวังน้ำเย็น","3,117","2,037","65.35","2,034","4","0.20"
"10869  :  โรงพยาบาลวัฒนานคร","2,396","1,259","52.55","2,449","1,446","59.04"
"10870  :  โรงพยาบาลอรัญประเทศ","5,862","3,625","61.84","1,600","2","0.13"
"13817  :  โรงพยาบาลเขาฉกรรจ์","1,486","508","34.19","1,393","1","0.07"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","268","0","0.00","234","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","1","0","0.00"
"10871  :  โรงพยาบาลครบุรี","2,614","5","0.19","1,218","4","0.33"
"10872  :  โรงพยาบาลเสิงสาง","2,900","63","2.17","2,702","0","0.00"
"10873  :  โรงพยาบาลคง","2,058","8","0.39","855","2","0.23"
"10874  :  โรงพยาบาลบ้านเหลื่อม","1,075","3","0.28","710","3","0.42"
"10875  :  โรงพยาบาลจักราช","1,797","1","0.06","1,378","1","0.07"
"10876  :  โรงพยาบาลโชคชัย","3,114","4","0.13","3,249","4","0.12"
"10877  :  โรงพยาบาลด่านขุนทด","4,364","33","0.76","1,443","29","2.01"
"10878  :  โรงพยาบาลโนนไทย","1,950","1","0.05","1,791","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","3,038","1","0.03","1,500","0","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","1,597","3","0.19","1,344","2","0.15"
"10881  :  โรงพยาบาลบัวใหญ่","2,021","5","0.25","1,515","0","0.00"
"10882  :  โรงพยาบาลประทาย","2,534","1","0.04","1,753","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","2,090","4","0.19","1,132","1","0.09"
"10884  :  โรงพยาบาลพิมาย","4,447","3","0.07","1,108","5","0.45"
"10885  :  โรงพยาบาลห้วยแถลง","1,678","2","0.12","912","1","0.11"
"10886  :  โรงพยาบาลชุมพวง","2,473","4","0.16","1,512","2","0.13"
"10887  :  โรงพยาบาลสูงเนิน","3,836","13","0.34","3,365","9","0.27"
"10888  :  โรงพยาบาลขามทะเลสอ","1,351","0","0.00","1,099","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","4,682","3","0.06","4,182","2","0.05"
"10890  :  โรงพยาบาลปากช่องนานา","5,101","1","0.02","2,047","2","0.10"
"10891  :  โรงพยาบาลหนองบุญมาก","1,283","0","0.00","953","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","619","2","0.32","589","4","0.68"
"10893  :  โรงพยาบาลโนนแดง","1,332","0","0.00","1,147","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","1,071","1","0.09","603","3","0.50"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","3","0","0.00","12","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","173","0","0.00","394","1","0.25"
"11608  :  โรงพยาบาลลำทะเมนชัย","1,142","2","0.18","479","2","0.42"
