"โรงพยาบาล","ประชากร อายุ 18 - 59 ปี","ประชากร อายุ 18 - 59 ปีที่วัดรอบเอวและส่วนสูง(B)","ความครอบคลุมร้อยละ","ประชากร อายุ 18 - 59 ปีรอบเอวปกติ","ร้อยละ"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","414","40","9.66","24","60.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","3,334","1,707","51.20","1,393","81.61"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","3,336","976","29.26","451","46.21"
"10762  :  โรงพยาบาลธัญบุรี","7,917","3,079","38.89","1,039","33.74"
"10763  :  โรงพยาบาลประชาธิปัตย์","4,547","2,190","48.16","1,955","89.27"
"10764  :  โรงพยาบาลหนองเสือ","3,336","1,982","59.41","546","27.55"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","2,375","1,266","53.31","605","47.79"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","1,418","733","51.69","440","60.03"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","0","0","0.00","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","5,500","1,739","31.62","875","50.32"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","1,098","653","59.47","249","38.13"
"10770  :  โรงพยาบาลบางไทร","2,282","782","34.27","362","46.29"
"10771  :  โรงพยาบาลบางบาล","1,024","535","52.25","244","45.61"
"10772  :  โรงพยาบาลบางปะอิน","4,853","2,452","50.53","1,175","47.92"
"10773  :  โรงพยาบาลบางปะหัน","779","416","53.40","179","43.03"
"10774  :  โรงพยาบาลผักไห่","545","321","58.90","123","38.32"
"10775  :  โรงพยาบาลภาชี","3,198","1,444","45.15","543","37.60"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,326","487","36.73","146","29.98"
"10777  :  โรงพยาบาลวังน้อย","5,318","1,826","34.34","623","34.12"
"10778  :  โรงพยาบาลบางซ้าย","2,137","1,156","54.09","590","51.04"
"10779  :  โรงพยาบาลอุทัย","344","142","41.28","49","34.51"
"10780  :  โรงพยาบาลมหาราช","720","384","53.33","175","45.57"
"10781  :  โรงพยาบาลบ้านแพรก","810","621","76.67","266","42.83"
"10689  :  โรงพยาบาลอ่างทอง","555","358","64.50","129","36.03"
"10782  :  โรงพยาบาลไชโย","1,318","795","60.32","434","54.59"
"10784  :  โรงพยาบาลป่าโมก","2,583","1,457","56.41","616","42.28"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,538","1,332","86.61","574","43.09"
"10786  :  โรงพยาบาลแสวงหา","3,391","1,875","55.29","805","42.93"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","3,508","1,908","54.39","1,232","64.57"
"10788  :  โรงพยาบาลสามโก้","895","625","69.83","243","38.88"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","3","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","4,273","2,591","60.64","1,107","42.72"
"10790  :  โรงพยาบาลโคกสำโรง","4,109","2,002","48.72","730","36.46"
"10791  :  โรงพยาบาลชัยบาดาล","6,645","3,616","54.42","3,083","85.26"
"10792  :  โรงพยาบาลท่าวุ้ง","1,807","1,575","87.16","780","49.52"
"10793  :  โรงพยาบาลท่าหลวง","3,076","2,273","73.89","1,192","52.44"
"10794  :  โรงพยาบาลสระโบสถ์","4,548","2,162","47.54","715","33.07"
"10795  :  โรงพยาบาลโคกเจริญ","2,452","1,112","45.35","438","39.39"
"10796  :  โรงพยาบาลลำสนธิ","2,599","2,151","82.76","855","39.75"
"10797  :  โรงพยาบาลหนองม่วง","2,499","1,749","69.99","827","47.28"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","5,148","2,987","58.02","1,524","51.02"
"10693  :  โรงพยาบาลอินทร์บุรี","1,074","821","76.44","483","58.83"
"10798  :  โรงพยาบาลบางระจัน","1,920","1,157","60.26","462","39.93"
"10799  :  โรงพยาบาลค่ายบางระจัน","3,169","2,141","67.56","1,170","54.65"
"10800  :  โรงพยาบาลพรหมบุรี","2,297","1,462","63.65","823","56.29"
"10801  :  โรงพยาบาลท่าช้าง","1,164","754","64.78","294","38.99"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","2,197","1,741","79.24","798","45.84"
"10803  :  โรงพยาบาลวัดสิงห์","1,948","1,181","60.63","622","52.67"
"10804  :  โรงพยาบาลสรรพยา","1,089","460","42.24","144","31.30"
"10805  :  โรงพยาบาลสรรคบุรี","2,895","1,870","64.59","993","53.10"
"10806  :  โรงพยาบาลหันคา","3,434","2,498","72.74","1,202","48.12"
"27974  :  โรงพยาบาลหนองมะโมง","533","329","61.73","155","47.11"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","8,217","3,686","44.86","1,688","45.79"
"10808  :  โรงพยาบาลหนองแค","1,761","58","3.29","42","72.41"
"10809  :  โรงพยาบาลวิหารแดง","5","1","20.00","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","1,815","957","52.73","634","66.25"
"10811  :  โรงพยาบาลบ้านหมอ","2,925","1,636","55.93","781","47.74"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","2,126","1,150","54.09","327","28.43"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,628","865","53.13","628","72.60"
"10815  :  โรงพยาบาลมวกเหล็ก","4,022","2,280","56.69","1,849","81.10"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","2,275","1,062","46.68","326","30.70"
"11485  :  โรงพยาบาลค่ายอดิศร","5,076","1,093","21.53","447","40.90"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","16,970","8,748","51.55","5,061","57.85"
"10818  :  โรงพยาบาลหนองใหญ่","3,851","2,313","60.06","2,048","88.54"
"10819  :  โรงพยาบาลบางละมุง","13,866","4,858","35.04","2,785","57.33"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","1,710","503","29.42","203","40.36"
"10821  :  โรงพยาบาลพานทอง","6,262","1,005","16.05","443","44.08"
"10822  :  โรงพยาบาลพนัสนิคม","7,056","3,253","46.10","1,614","49.62"
"10823  :  โรงพยาบาลแหลมฉบัง","50,317","2,645","5.26","976","36.90"
"10824  :  โรงพยาบาลเกาะสีชัง","1,721","948","55.08","371","39.14"
"10825  :  โรงพยาบาลสัตหีบกม10","17,513","6,793","38.79","4,280","63.01"
"10826  :  โรงพยาบาลบ่อทอง","3,115","1,931","61.99","914","47.33"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","9,955","935","9.39","399","42.67"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","57,282","3,721","6.50","2,945","79.15"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","12,013","85","0.71","48","56.47"
"28005  :  โรงพยาบาลเมืองพัทยา","16,098","2,148","13.34","623","29.00"
"28006  :  โรงพยาบาลเกาะจันทร์","2,721","1,163","42.74","661","56.84"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,265","709","56.05","251","35.40"
"10828  :  โรงพยาบาลบ้านฉาง","14,336","8,494","59.25","3,466","40.81"
"10829  :  โรงพยาบาลแกลง","2,676","1,716","64.13","732","42.66"
"10830  :  โรงพยาบาลวังจันทร์","2,599","1,830","70.41","774","42.30"
"10831  :  โรงพยาบาลบ้านค่าย","3,030","2,472","81.58","1,180","47.73"
"10832  :  โรงพยาบาลปลวกแดง","21,949","4,831","22.01","2,369","49.04"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","1,193","751","62.95","413","54.99"
"23962  :  โรงพยาบาลนิคมพัฒนา","2,294","1,367","59.59","1,100","80.47"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","0","0.00"
"10834  :  โรงพยาบาลขลุง","242","160","66.12","157","98.13"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","1,927","1,193","61.91","562","47.11"
"10837  :  โรงพยาบาลสองพี่น้อง","3,151","1,832","58.14","1,519","82.91"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","6,515","3,644","55.93","2,330","63.94"
"10839  :  โรงพยาบาลมะขาม","0","0","0.00","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0.00","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","3","2","66.67","1","50.00"
"10842  :  โรงพยาบาลแก่งหางแมว","4,510","2,423","53.73","1,359","56.09"
"10843  :  โรงพยาบาลนายายอาม","1,575","907","57.59","317","34.95"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","3,049","1,963","64.38","819","41.72"
"10696  :  โรงพยาบาลตราด","2,556","1,227","48.00","491","40.02"
"10845  :  โรงพยาบาลคลองใหญ่","6,080","3,258","53.59","1,950","59.85"
"10846  :  โรงพยาบาลเขาสมิง","3,845","2,056","53.47","842","40.95"
"10847  :  โรงพยาบาลบ่อไร่","2,530","1,471","58.14","578","39.29"
"10848  :  โรงพยาบาลแหลมงอบ","2,349","1,901","80.93","1,067","56.13"
"10849  :  โรงพยาบาลเกาะกูด","842","414","49.17","137","33.09"
"13816  :  โรงพยาบาลเกาะช้าง","486","205","42.18","89","43.41"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0.00","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","3,015","1,441","47.79","691","47.95"
"10850  :  โรงพยาบาลบางคล้า","9,268","2,945","31.78","2,478","84.14"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0.00","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","1,730","1,041","60.17","566","54.37"
"10854  :  โรงพยาบาลพนมสารคาม","5,900","3,281","55.61","1,019","31.06"
"10855  :  โรงพยาบาลสนามชัยเขต","2","0","0.00","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","5,099","2,564","50.28","1,721","67.12"
"13747  :  โรงพยาบาลราชสาส์น","3,583","3,062","85.46","1,472","48.07"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","608","325","53.45","133","40.92"
"10857  :  โรงพยาบาลกบินทร์บุรี","6,274","3,685","58.73","1,786","48.47"
"10858  :  โรงพยาบาลนาดี","3,460","2,185","63.15","1,181","54.05"
"10859  :  โรงพยาบาลบ้านสร้าง","2,294","1,325","57.76","468","35.32"
"10860  :  โรงพยาบาลประจันตคาม","3,717","1,782","47.94","813","45.62"
"10861  :  โรงพยาบาลศรีมหาโพธิ","5,085","4,202","82.64","1,517","36.10"
"10862  :  โรงพยาบาลศรีมโหสถ","4,397","2,030","46.17","962","47.39"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","8,491","754","8.88","313","41.51"
"10698  :  โรงพยาบาลนครนายก","8,708","5,075","58.28","2,786","54.90"
"10863  :  โรงพยาบาลปากพลี","695","487","70.07","224","46.00"
"10864  :  โรงพยาบาลบ้านนา","2,643","1,579","59.74","730","46.23"
"10865  :  โรงพยาบาลองครักษ์","1,637","982","59.99","379","38.59"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","1","0","0.00","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","4,555","2,723","59.78","1,095","40.21"
"10867  :  โรงพยาบาลตาพระยา","2,891","920","31.82","713","77.50"
"10868  :  โรงพยาบาลวังน้ำเย็น","9,944","5,484","55.15","2,327","42.43"
"10869  :  โรงพยาบาลวัฒนานคร","4,049","2,655","65.57","1,230","46.33"
"10870  :  โรงพยาบาลอรัญประเทศ","5,246","1,913","36.47","957","50.03"
"13817  :  โรงพยาบาลเขาฉกรรจ์","2,118","1,265","59.73","346","27.35"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0.00"
"10871  :  โรงพยาบาลครบุรี","4,296","2,683","62.45","1,253","46.70"
"10872  :  โรงพยาบาลเสิงสาง","4,893","3,167","64.73","1,569","49.54"
"10873  :  โรงพยาบาลคง","3,155","1,451","45.99","707","48.73"
"10874  :  โรงพยาบาลบ้านเหลื่อม","1,523","1,141","74.92","564","49.43"
"10875  :  โรงพยาบาลจักราช","4,047","2,225","54.98","1,243","55.87"
"10876  :  โรงพยาบาลโชคชัย","5,655","3,619","64.00","1,785","49.32"
"10877  :  โรงพยาบาลด่านขุนทด","5,884","3,915","66.54","2,015","51.47"
"10878  :  โรงพยาบาลโนนไทย","4,260","2,884","67.70","1,424","49.38"
"10879  :  โรงพยาบาลโนนสูง","4,603","2,487","54.03","1,387","55.77"
"10880  :  โรงพยาบาลขามสะแกแสง","3,835","2,766","72.13","1,281","46.31"
"10881  :  โรงพยาบาลบัวใหญ่","2,596","1,850","71.26","896","48.43"
"10882  :  โรงพยาบาลประทาย","3,491","1,690","48.41","747","44.20"
"10883  :  โรงพยาบาลปักธงชัย","3,417","2,201","64.41","1,103","50.11"
"10884  :  โรงพยาบาลพิมาย","4,351","2,725","62.63","1,221","44.81"
"10885  :  โรงพยาบาลห้วยแถลง","4,156","2,082","50.10","749","35.98"
"10886  :  โรงพยาบาลชุมพวง","4,053","2,499","61.66","1,062","42.50"
"10887  :  โรงพยาบาลสูงเนิน","11,148","8,023","71.97","4,276","53.30"
"10888  :  โรงพยาบาลขามทะเลสอ","2,595","1,538","59.27","644","41.87"
"10889  :  โรงพยาบาลสีคิ้ว","12,463","6,957","55.82","3,993","57.40"
"10890  :  โรงพยาบาลปากช่องนานา","6,446","4,420","68.57","4,344","98.28"
"10891  :  โรงพยาบาลหนองบุญมาก","2,534","1,488","58.72","938","63.04"
"10892  :  โรงพยาบาลแก้งสนามนาง","3,082","2,140","69.44","886","41.40"
"10893  :  โรงพยาบาลโนนแดง","2,184","1,443","66.07","737","51.07"
"10894  :  โรงพยาบาลวังน้ำเขียว","1,595","831","52.10","427","51.38"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","1,037","788","75.99","455","57.74"
"11608  :  โรงพยาบาลลำทะเมนชัย","2,125","1,377","64.80","640","46.48"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","9,005","4,964","55.12","3,177","64.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","8,843","2,850","32.23","2,528","88.70"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00","0","0.00"
