"โรงพยาบาล","ตค. ถึง มีค.","เมย. ถึง กย."
"B","A","ร้อยละ","B","A","ร้อยละ"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","295","0","0.00","281","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","1","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","4,974","7","0.14","4,840","11","0.23"
"10752  :  โรงพยาบาลบางบ่อ","3,283","7","0.21","4,369","6","0.14"
"10753  :  โรงพยาบาลบางพลี","4,390","4","0.09","8,308","2","0.02"
"10754  :  โรงพยาบาลบางจาก","3,095","5","0.16","3,637","1","0.03"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","3,415","1,293","37.86","3,456","584","16.90"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","840","0","0.00","436","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","3,891","0","0.00","3,418","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","1,303","740","56.79","871","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","1,066","179","16.79","986","178","18.05"
"10686  :  โรงพยาบาลพระนั่งเกล้า","1,924","12","0.62","1,761","9","0.51"
"10756  :  โรงพยาบาลบางกรวย","1,882","8","0.43","1,908","9","0.47"
"10757  :  โรงพยาบาลบางใหญ่","3,210","8","0.25","3,772","5","0.13"
"10758  :  โรงพยาบาลบางบัวทอง","3,593","4","0.11","4,142","5","0.12"
"10759  :  โรงพยาบาลไทรน้อย","2,300","4","0.17","2,091","15","0.72"
"10760  :  โรงพยาบาลปากเกร็ด","2,274","13","0.57","2,688","8","0.30"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","528","0","0.00","571","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","1,572","3","0.19","2,216","4","0.18"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","939","0","0.00","1,119","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","3,736","14","0.37","3,775","12","0.32"
"10761  :  โรงพยาบาลคลองหลวง","2,357","3","0.13","2,616","1","0.04"
"10762  :  โรงพยาบาลธัญบุรี","2,222","0","0.00","1,909","195","10.21"
"10763  :  โรงพยาบาลประชาธิปัตย์","3,473","4","0.12","3,331","3","0.09"
"10764  :  โรงพยาบาลหนองเสือ","2,049","695","33.92","2,295","1,643","71.59"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","2,847","4","0.14","2,771","2","0.07"
"10766  :  โรงพยาบาลลำลูกกา","35","0","0.00","2,078","1","0.05"
"10767  :  โรงพยาบาลสามโคก","1,307","3","0.23","1,276","740","57.99"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","1","0","0.00","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","5,077","9","0.18","4,493","11","0.24"
"10768  :  โรงพยาบาลท่าเรือ","3,666","4","0.11","3,049","1","0.03"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","960","1","0.10","1,010","143","14.16"
"10770  :  โรงพยาบาลบางไทร","1,306","5","0.38","1,219","4","0.33"
"10771  :  โรงพยาบาลบางบาล","660","2","0.30","667","2","0.30"
"10772  :  โรงพยาบาลบางปะอิน","3,266","6","0.18","3,375","6","0.18"
"10773  :  โรงพยาบาลบางปะหัน","2,276","1","0.04","2,034","4","0.20"
"10774  :  โรงพยาบาลผักไห่","1,296","4","0.31","1,284","7","0.55"
"10775  :  โรงพยาบาลภาชี","19","0","0.00","1,777","3","0.17"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,247","0","0.00","1,514","1","0.07"
"10777  :  โรงพยาบาลวังน้อย","2,501","0","0.00","2,480","2","0.08"
"10778  :  โรงพยาบาลบางซ้าย","817","0","0.00","772","0","0.00"
"10779  :  โรงพยาบาลอุทัย","1,044","3","0.29","972","5","0.51"
"10780  :  โรงพยาบาลมหาราช","744","0","0.00","758","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","528","1","0.19","526","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","1,453","0","0.00","838","0","0.00"
"10782  :  โรงพยาบาลไชโย","994","3","0.30","993","2","0.20"
"10784  :  โรงพยาบาลป่าโมก","1,632","4","0.25","1,622","2","0.12"
"10785  :  โรงพยาบาลโพธิ์ทอง","1,513","34","2.25","1,886","6","0.32"
"10786  :  โรงพยาบาลแสวงหา","1,467","3","0.20","1,519","1","0.07"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,734","0","0.00","1,604","1,469","91.58"
"10788  :  โรงพยาบาลสามโก้","366","0","0.00","853","416","48.77"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","4,903","67","1.37","4,371","53","1.21"
"10691  :  โรงพยาบาลบ้านหมี่","663","0","0.00","204","1","0.49"
"10789  :  โรงพยาบาลพัฒนานิคม","2","0","0.00","31","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","632","0","0.00","2,135","2","0.09"
"10791  :  โรงพยาบาลชัยบาดาล","2,439","3","0.12","2,925","12","0.41"
"10792  :  โรงพยาบาลท่าวุ้ง","1,312","3","0.23","1,212","6","0.50"
"10793  :  โรงพยาบาลท่าหลวง","1,930","1","0.05","1,812","887","48.95"
"10794  :  โรงพยาบาลสระโบสถ์","7","0","0.00","339","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","1,212","0","0.00","1,285","0","0.00"
"10796  :  โรงพยาบาลลำสนธิ","771","0","0.00","1,427","3","0.21"
"10797  :  โรงพยาบาลหนองม่วง","1,025","3","0.29","1,060","3","0.28"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","6,491","0","0.00","7,051","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","2,269","14","0.62","2,358","880","37.32"
"10798  :  โรงพยาบาลบางระจัน","958","145","15.14","979","1","0.10"
"10799  :  โรงพยาบาลค่ายบางระจัน","493","467","94.73","505","479","94.85"
"10800  :  โรงพยาบาลพรหมบุรี","729","0","0.00","710","357","50.28"
"10801  :  โรงพยาบาลท่าช้าง","161","0","0.00","134","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","2,821","10","0.35","2,684","16","0.60"
"10802  :  โรงพยาบาลมโนรมย์","1,461","4","0.27","1,554","67","4.31"
"10803  :  โรงพยาบาลวัดสิงห์","213","0","0.00","194","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","908","0","0.00","993","54","5.44"
"10805  :  โรงพยาบาลสรรคบุรี","3,240","3","0.09","3,493","4","0.11"
"10806  :  โรงพยาบาลหันคา","2,260","4","0.18","2,919","2","0.07"
"27974  :  โรงพยาบาลหนองมะโมง","794","2","0.25","1,074","3","0.28"
"27975  :  โรงพยาบาลเนินขาม","433","2","0.46","470","1","0.21"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","4,128","4","0.10","2,448","1","0.04"
"10808  :  โรงพยาบาลหนองแค","1,951","0","0.00","1,874","1","0.05"
"10809  :  โรงพยาบาลวิหารแดง","378","0","0.00","310","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","709","1","0.14","800","1","0.13"
"10811  :  โรงพยาบาลบ้านหมอ","1,992","1","0.05","1,735","8","0.46"
"10812  :  โรงพยาบาลดอนพุด","407","0","0.00","486","1","0.21"
"10813  :  โรงพยาบาลหนองโดน","483","1","0.21","590","1","0.17"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","1,953","4","0.20","1,811","3","0.17"
"10815  :  โรงพยาบาลมวกเหล็ก","3,732","3","0.08","2,637","5","0.19"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","2,149","1","0.05","1,979","1","0.05"
"11485  :  โรงพยาบาลค่ายอดิศร","184","0","0.00","186","1","0.54"
"10662  :  โรงพยาบาลชลบุรี","850","2","0.24","878","6","0.68"
"10817  :  โรงพยาบาลบ้านบึง","7,636","6,255","81.91","6,504","5,469","84.09"
"10818  :  โรงพยาบาลหนองใหญ่","1,824","4","0.22","1,499","5","0.33"
"10819  :  โรงพยาบาลบางละมุง","5,255","8","0.15","5,592","19","0.34"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","1,051","1","0.10","1,117","0","0.00"
"10821  :  โรงพยาบาลพานทอง","3,336","10","0.30","3,746","11","0.29"
"10822  :  โรงพยาบาลพนัสนิคม","7,779","5","0.06","5,060","10","0.20"
"10823  :  โรงพยาบาลแหลมฉบัง","16,822","14","0.08","14,371","18","0.13"
"10824  :  โรงพยาบาลเกาะสีชัง","435","0","0.00","459","0","0.00"
"10825  :  โรงพยาบาลสัตหีบกม10","726","0","0.00","0","0","0.00"
"10826  :  โรงพยาบาลบ่อทอง","2,428","1,471","60.58","2,627","4","0.15"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","201","0","0.00","182","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","326","0","0.00","266","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","3","0","0.00","3","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","2,821","0","0.00","2,026","3","0.15"
"28005  :  โรงพยาบาลเมืองพัทยา","2","0","0.00","3","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","1,604","0","0.00","1,983","0","0.00"
"10663  :  โรงพยาบาลระยอง","1,705","10","0.59","2,029","16","0.79"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","8,784","3","0.03","9,569","1","0.01"
"10828  :  โรงพยาบาลบ้านฉาง","1,015","0","0.00","1,441","1,417","98.33"
"10829  :  โรงพยาบาลแกลง","14","0","0.00","477","453","94.97"
"10830  :  โรงพยาบาลวังจันทร์","2,248","1","0.04","2,056","1","0.05"
"10831  :  โรงพยาบาลบ้านค่าย","3,552","10","0.28","4,277","7","0.16"
"10832  :  โรงพยาบาลปลวกแดง","4,263","0","0.00","4,380","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","945","3","0.32","1,004","8","0.80"
"23962  :  โรงพยาบาลนิคมพัฒนา","1,663","1","0.06","1,480","152","10.27"
"10664  :  โรงพยาบาลพระปกเกล้า","6","0","0.00","3","0","0.00"
"10834  :  โรงพยาบาลขลุง","431","2","0.46","782","6","0.77"
"10835  :  โรงพยาบาลท่าใหม่","397","2","0.50","461","1","0.22"
"10836  :  โรงพยาบาลเขาสุกิม","128","0","0.00","175","0","0.00"
"10837  :  โรงพยาบาลสองพี่น้อง","676","96","14.20","655","84","12.82"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","2,119","5","0.24","2,409","958","39.77"
"10839  :  โรงพยาบาลมะขาม","1,219","230","18.87","1,719","110","6.40"
"10840  :  โรงพยาบาลแหลมสิงห์","467","4","0.86","672","4","0.60"
"10841  :  โรงพยาบาลสอยดาว","1,850","4","0.22","2,069","3","0.14"
"10842  :  โรงพยาบาลแก่งหางแมว","2,495","2","0.08","2,575","1,445","56.12"
"10843  :  โรงพยาบาลนายายอาม","1,557","392","25.18","2,738","469","17.13"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","1,275","5","0.39","1,773","705","39.76"
"10696  :  โรงพยาบาลตราด","4,118","3,400","82.56","3,234","1,939","59.96"
"10845  :  โรงพยาบาลคลองใหญ่","1,656","854","51.57","1,606","1,061","66.06"
"10846  :  โรงพยาบาลเขาสมิง","1,140","303","26.58","1,279","302","23.61"
"10847  :  โรงพยาบาลบ่อไร่","1,887","1,183","62.69","2,466","1,220","49.47"
"10848  :  โรงพยาบาลแหลมงอบ","1,017","316","31.07","1,039","320","30.80"
"10849  :  โรงพยาบาลเกาะกูด","219","157","71.69","260","213","81.92"
"13816  :  โรงพยาบาลเกาะช้าง","280","88","31.43","402","47","11.69"
"10697  :  โรงพยาบาลพุทธโสธร","8,463","743","8.78","4,956","13","0.26"
"10833  :  โรงพยาบาลท่าตะเกียบ","2,387","1,075","45.04","2,684","1,113","41.47"
"10850  :  โรงพยาบาลบางคล้า","2,417","0","0.00","1,928","2","0.10"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","2,828","4","0.14","2,841","3","0.11"
"10852  :  โรงพยาบาลบางปะกง","0","0","0.00","891","2","0.22"
"10853  :  โรงพยาบาลบ้านโพธิ์","1,922","1","0.05","1,846","260","14.08"
"10854  :  โรงพยาบาลพนมสารคาม","3,628","11","0.30","4,512","11","0.24"
"10855  :  โรงพยาบาลสนามชัยเขต","2,462","803","32.62","2,923","1,142","39.07"
"10856  :  โรงพยาบาลแปลงยาว","2,206","17","0.77","2,550","923","36.20"
"13747  :  โรงพยาบาลราชสาส์น","786","0","0.00","808","0","0.00"
"31327  :  โรงพยาบาลคลองเขื่อน","544","0","0.00","559","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","209","0","0.00","2,611","18","0.69"
"10857  :  โรงพยาบาลกบินทร์บุรี","3,359","145","4.32","3,353","616","18.37"
"10858  :  โรงพยาบาลนาดี","637","1","0.16","888","762","85.81"
"10859  :  โรงพยาบาลบ้านสร้าง","0","0","0.00","0","0","0.00"
"10860  :  โรงพยาบาลประจันตคาม","1,349","1,129","83.69","1,333","661","49.59"
"10861  :  โรงพยาบาลศรีมหาโพธิ","4,538","3,230","71.18","4,560","3,334","73.11"
"10862  :  โรงพยาบาลศรีมโหสถ","1,731","0","0.00","697","245","35.15"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00","5","0","0.00"
"10698  :  โรงพยาบาลนครนายก","6,307","10","0.16","5,922","12","0.20"
"10863  :  โรงพยาบาลปากพลี","328","0","0.00","377","100","26.53"
"10864  :  โรงพยาบาลบ้านนา","3,118","5","0.16","4,077","7","0.17"
"10865  :  โรงพยาบาลองครักษ์","2,057","2","0.10","2,348","2","0.09"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","2,651","5","0.19","3,293","7","0.21"
"10866  :  โรงพยาบาลคลองหาด","2,044","2","0.10","2,377","947","39.84"
"10867  :  โรงพยาบาลตาพระยา","2,366","7","0.30","2,119","5","0.24"
"10868  :  โรงพยาบาลวังน้ำเย็น","4,294","7","0.16","4,007","1,831","45.70"
"10869  :  โรงพยาบาลวัฒนานคร","3,020","1,412","46.75","4,017","1,694","42.17"
"10870  :  โรงพยาบาลอรัญประเทศ","6,933","370","5.34","7,773","1,247","16.04"
"13817  :  โรงพยาบาลเขาฉกรรจ์","2,149","1","0.05","2,518","1","0.04"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0.00","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","4,305","11","0.26","4,569","140","3.06"
"10872  :  โรงพยาบาลเสิงสาง","3,830","3","0.08","4,454","320","7.18"
"10873  :  โรงพยาบาลคง","3,214","4","0.12","2,969","3","0.10"
"10874  :  โรงพยาบาลบ้านเหลื่อม","1,734","3","0.17","1,721","95","5.52"
"10875  :  โรงพยาบาลจักราช","3,709","3","0.08","3,043","169","5.55"
"10876  :  โรงพยาบาลโชคชัย","5,402","2","0.04","5,608","328","5.85"
"10877  :  โรงพยาบาลด่านขุนทด","4,876","47","0.96","4,714","425","9.02"
"10878  :  โรงพยาบาลโนนไทย","2,730","8","0.29","2,585","7","0.27"
"10879  :  โรงพยาบาลโนนสูง","4,589","5","0.11","4,788","20","0.42"
"10880  :  โรงพยาบาลขามสะแกแสง","2,329","0","0.00","2,382","37","1.55"
"10881  :  โรงพยาบาลบัวใหญ่","4,256","6","0.14","3,640","390","10.71"
"10882  :  โรงพยาบาลประทาย","3,701","6","0.16","3,597","248","6.89"
"10883  :  โรงพยาบาลปักธงชัย","3,550","5","0.14","4,041","69","1.71"
"10884  :  โรงพยาบาลพิมาย","5,824","10","0.17","5,883","14","0.24"
"10885  :  โรงพยาบาลห้วยแถลง","4,730","35","0.74","3,694","5","0.14"
"10886  :  โรงพยาบาลชุมพวง","3,651","6","0.16","3,644","122","3.35"
"10887  :  โรงพยาบาลสูงเนิน","4,663","10","0.21","4,980","17","0.34"
"10888  :  โรงพยาบาลขามทะเลสอ","1,820","2","0.11","1,975","569","28.81"
"10889  :  โรงพยาบาลสีคิ้ว","6,340","9","0.14","6,885","461","6.70"
"10890  :  โรงพยาบาลปากช่องนานา","6,583","6","0.09","7,177","28","0.39"
"10891  :  โรงพยาบาลหนองบุญมาก","1,961","0","0.00","2,556","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","838","2","0.24","936","60","6.41"
"10893  :  โรงพยาบาลโนนแดง","2,018","2","0.10","2,021","125","6.19"
