"โรงพยาบาล","จำนวนหญิงตั้งครรภ์ (B)","ผลรวมอายุครรภ์ (A)","อายุครรภ์เฉลี่ย"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","114","1,095","9.61"
"10752  :  โรงพยาบาลบางบ่อ","41","331","8.07"
"10753  :  โรงพยาบาลบางพลี","352","3,254","9.24"
"10754  :  โรงพยาบาลบางจาก","24","221","9.21"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","67","563","8.40"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","759","6,758","8.90"
"10756  :  โรงพยาบาลบางกรวย","83","825","9.94"
"10757  :  โรงพยาบาลบางใหญ่","53","505","9.53"
"10758  :  โรงพยาบาลบางบัวทอง","137","1,218","8.89"
"10759  :  โรงพยาบาลไทรน้อย","70","617","8.81"
"10760  :  โรงพยาบาลปากเกร็ด","258","2,524","9.78"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","380","3,368","8.86"
"10761  :  โรงพยาบาลคลองหลวง","21","197","9.38"
"10762  :  โรงพยาบาลธัญบุรี","30","285","9.50"
"10763  :  โรงพยาบาลประชาธิปัตย์","25","244","9.76"
"10764  :  โรงพยาบาลหนองเสือ","24","228","9.50"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","14","131","9.36"
"10766  :  โรงพยาบาลลำลูกกา","34","311","9.15"
"10767  :  โรงพยาบาลสามโคก","5","47","9.40"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","235","2,173","9.25"
"10688  :  โรงพยาบาลเสนา","204","1,788","8.76"
"10768  :  โรงพยาบาลท่าเรือ","7","63","9.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","8","76","9.50"
"10770  :  โรงพยาบาลบางไทร","4","30","7.50"
"10771  :  โรงพยาบาลบางบาล","0","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","90","815","9.06"
"10773  :  โรงพยาบาลบางปะหัน","8","70","8.75"
"10774  :  โรงพยาบาลผักไห่","1","9","9.00"
"10775  :  โรงพยาบาลภาชี","24","217","9.04"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","34","314","9.24"
"10778  :  โรงพยาบาลบางซ้าย","0","0","0.00"
"10779  :  โรงพยาบาลอุทัย","0","0","0.00"
"10780  :  โรงพยาบาลมหาราช","6","54","9.00"
"10781  :  โรงพยาบาลบ้านแพรก","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","136","1,153","8.48"
"10782  :  โรงพยาบาลไชโย","0","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","0","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","34","307","9.03"
"10786  :  โรงพยาบาลแสวงหา","10","91","9.10"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","11","105","9.55"
"10788  :  โรงพยาบาลสามโก้","0","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","358","3,033","8.47"
"10691  :  โรงพยาบาลบ้านหมี่","105","864","8.23"
"10789  :  โรงพยาบาลพัฒนานิคม","56","551","9.84"
"10790  :  โรงพยาบาลโคกสำโรง","125","1,103","8.82"
"10791  :  โรงพยาบาลชัยบาดาล","85","707","8.32"
"10792  :  โรงพยาบาลท่าวุ้ง","1","20","20.00"
"10793  :  โรงพยาบาลท่าหลวง","29","256","8.83"
"10794  :  โรงพยาบาลสระโบสถ์","5","40","8.00"
"10795  :  โรงพยาบาลโคกเจริญ","7","70","10.00"
"10796  :  โรงพยาบาลลำสนธิ","0","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","1","8","8.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","597","4,837","8.10"
"10693  :  โรงพยาบาลอินทร์บุรี","169","1,328","7.86"
"10798  :  โรงพยาบาลบางระจัน","0","0","0.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","1","4","4.00"
"10800  :  โรงพยาบาลพรหมบุรี","0","0","0.00"
"10801  :  โรงพยาบาลท่าช้าง","0","0","0.00"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","58","553","9.53"
"10802  :  โรงพยาบาลมโนรมย์","3","19","6.33"
"10803  :  โรงพยาบาลวัดสิงห์","10","92","9.20"
"10804  :  โรงพยาบาลสรรพยา","2","17","8.50"
"10805  :  โรงพยาบาลสรรคบุรี","2","15","7.50"
"10806  :  โรงพยาบาลหันคา","5","41","8.20"
"27974  :  โรงพยาบาลหนองมะโมง","5","46","9.20"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","270","2,363","8.75"
"10695  :  โรงพยาบาลพระพุทธบาท","183","1,533","8.38"
"10807  :  โรงพยาบาลแก่งคอย","39","320","8.21"
"10808  :  โรงพยาบาลหนองแค","18","162","9.00"
"10809  :  โรงพยาบาลวิหารแดง","13","135","10.38"
"10810  :  โรงพยาบาลหนองแซง","0","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","11","107","9.73"
"10812  :  โรงพยาบาลดอนพุด","1","9","9.00"
"10813  :  โรงพยาบาลหนองโดน","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","2","15","7.50"
"10815  :  โรงพยาบาลมวกเหล็ก","38","315","8.29"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","27","244","9.04"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","446","4,025","9.02"
"10817  :  โรงพยาบาลบ้านบึง","212","1,751","8.26"
"10818  :  โรงพยาบาลหนองใหญ่","69","578","8.38"
"10819  :  โรงพยาบาลบางละมุง","1,453","12,648","8.70"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","21","195","9.29"
"10821  :  โรงพยาบาลพานทอง","114","1,011","8.87"
"10822  :  โรงพยาบาลพนัสนิคม","1,101","8,907","8.09"
"10823  :  โรงพยาบาลแหลมฉบัง","628","5,064","8.06"
"10824  :  โรงพยาบาลเกาะสีชัง","1","5","5.00"
"10825  :  โรงพยาบาลสัตหีบกม10","52","404","7.77"
"10826  :  โรงพยาบาลบ่อทอง","166","1,419","8.55"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","0","0.00"
"10663  :  โรงพยาบาลระยอง","483","4,340","8.99"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","1,115","10,181","9.13"
"10828  :  โรงพยาบาลบ้านฉาง","85","770","9.06"
"10829  :  โรงพยาบาลแกลง","167","1,557","9.32"
"10830  :  โรงพยาบาลวังจันทร์","37","312","8.43"
"10831  :  โรงพยาบาลบ้านค่าย","129","1,106","8.57"
"10832  :  โรงพยาบาลปลวกแดง","125","1,065","8.52"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","648","5,724","8.83"
"10834  :  โรงพยาบาลขลุง","23","194","8.43"
"10835  :  โรงพยาบาลท่าใหม่","12","95","7.92"
"10836  :  โรงพยาบาลเขาสุกิม","26","224","8.62"
"10837  :  โรงพยาบาลสองพี่น้อง","17","167","9.82"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","32","273","8.53"
"10839  :  โรงพยาบาลมะขาม","41","340","8.29"
"10840  :  โรงพยาบาลแหลมสิงห์","27","253","9.37"
"10841  :  โรงพยาบาลสอยดาว","118","1,049","8.89"
"10842  :  โรงพยาบาลแก่งหางแมว","66","545","8.26"
"10843  :  โรงพยาบาลนายายอาม","47","424","9.02"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","20","177","8.85"
"10696  :  โรงพยาบาลตราด","456","4,016","8.81"
"10845  :  โรงพยาบาลคลองใหญ่","11","84","7.64"
"10846  :  โรงพยาบาลเขาสมิง","1","12","12.00"
"10847  :  โรงพยาบาลบ่อไร่","33","308","9.33"
"10848  :  โรงพยาบาลแหลมงอบ","2","18","9.00"
"10849  :  โรงพยาบาลเกาะกูด","1","5","5.00"
"13816  :  โรงพยาบาลเกาะช้าง","6","52","8.67"
"10697  :  โรงพยาบาลพุทธโสธร","596","5,644","9.47"
"10833  :  โรงพยาบาลท่าตะเกียบ","76","633","8.33"
"10850  :  โรงพยาบาลบางคล้า","56","503","8.98"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","212","1,860","8.77"
"10852  :  โรงพยาบาลบางปะกง","182","1,580","8.68"
"10853  :  โรงพยาบาลบ้านโพธิ์","52","519","9.98"
"10854  :  โรงพยาบาลพนมสารคาม","418","3,431","8.21"
"10855  :  โรงพยาบาลสนามชัยเขต","291","2,417","8.31"
"10856  :  โรงพยาบาลแปลงยาว","75","695","9.27"
"13747  :  โรงพยาบาลราชสาส์น","4","29","7.25"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","244","2,085","8.55"
"10857  :  โรงพยาบาลกบินทร์บุรี","1","9","9.00"
"10858  :  โรงพยาบาลนาดี","39","378","9.69"
"10859  :  โรงพยาบาลบ้านสร้าง","13","130","10.00"
"10860  :  โรงพยาบาลประจันตคาม","28","242","8.64"
"10861  :  โรงพยาบาลศรีมหาโพธิ","47","422","8.98"
"10862  :  โรงพยาบาลศรีมโหสถ","15","134","8.93"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","290","2,437","8.40"
"10863  :  โรงพยาบาลปากพลี","0","0","0.00"
"10864  :  โรงพยาบาลบ้านนา","11","98","8.91"
"10865  :  โรงพยาบาลองครักษ์","29","243","8.38"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","317","2,818","8.89"
"10866  :  โรงพยาบาลคลองหาด","36","328","9.11"
"10867  :  โรงพยาบาลตาพระยา","36","307","8.53"
"10868  :  โรงพยาบาลวังน้ำเย็น","53","455","8.58"
"10869  :  โรงพยาบาลวัฒนานคร","60","496","8.27"
"10870  :  โรงพยาบาลอรัญประเทศ","104","913","8.78"
"13817  :  โรงพยาบาลเขาฉกรรจ์","57","491","8.61"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","137","1,187","8.66"
"10871  :  โรงพยาบาลครบุรี","136","1,199","8.82"
"10872  :  โรงพยาบาลเสิงสาง","35","283","8.09"
"10873  :  โรงพยาบาลคง","17","158","9.29"
"10874  :  โรงพยาบาลบ้านเหลื่อม","23","188","8.17"
"10875  :  โรงพยาบาลจักราช","9","80","8.89"
"10876  :  โรงพยาบาลโชคชัย","311","2,502","8.05"
"10877  :  โรงพยาบาลด่านขุนทด","12","109","9.08"
"10878  :  โรงพยาบาลโนนไทย","73","677","9.27"
"10879  :  โรงพยาบาลโนนสูง","131","1,130","8.63"
"10880  :  โรงพยาบาลขามสะแกแสง","15","128","8.53"
"10881  :  โรงพยาบาลบัวใหญ่","121","1,063","8.79"
"10882  :  โรงพยาบาลประทาย","63","558","8.86"
"10883  :  โรงพยาบาลปักธงชัย","75","701","9.35"
"10884  :  โรงพยาบาลพิมาย","310","2,692","8.68"
"10885  :  โรงพยาบาลห้วยแถลง","54","499","9.24"
"10886  :  โรงพยาบาลชุมพวง","89","758","8.52"
"10887  :  โรงพยาบาลสูงเนิน","79","716","9.06"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","62","523","8.44"
"10890  :  โรงพยาบาลปากช่องนานา","289","2,570","8.89"
"10891  :  โรงพยาบาลหนองบุญมาก","122","1,021","8.37"
"10892  :  โรงพยาบาลแก้งสนามนาง","22","193","8.77"
"10893  :  โรงพยาบาลโนนแดง","6","45","7.50"
"10894  :  โรงพยาบาลวังน้ำเขียว","49","432","8.82"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","2","16","8.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","1","10","10.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","28","235","8.39"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","115","986","8.57"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","88","735","8.35"
"10895  :  โรงพยาบาลคูเมือง","1","9","9.00"
"10896  :  โรงพยาบาลกระสัง","103","934","9.07"
"10897  :  โรงพยาบาลนางรอง","74","646","8.73"
"10898  :  โรงพยาบาลหนองกี่","109","1,053","9.66"
"10899  :  โรงพยาบาลละหานทราย","261","2,370","9.08"
"10900  :  โรงพยาบาลประโคนชัย","44","388","8.82"
"10901  :  โรงพยาบาลบ้านกรวด","51","469","9.20"
"10902  :  โรงพยาบาลพุทไธสง","4","33","8.25"
"10904  :  โรงพยาบาลลำปลายมาศ","128","1,143","8.93"
"10905  :  โรงพยาบาลสตึก","92","886","9.63"
"10906  :  โรงพยาบาลปะคำ","5","52","10.40"
"10907  :  โรงพยาบาลนาโพธิ์","1","11","11.00"
"10908  :  โรงพยาบาลหนองหงส์","2","16","8.00"
"10909  :  โรงพยาบาลพลับพลาชัย","14","118","8.43"
"10910  :  โรงพยาบาลห้วยราช","53","428","8.08"
"10911  :  โรงพยาบาลโนนสุวรรณ","3","25","8.33"
"10912  :  โรงพยาบาลชำนิ","2","15","7.50"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","10","96","9.60"
"10914  :  โรงพยาบาลโนนดินแดง","2","15","7.50"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","8","65","8.13"
"23578  :  โรงพยาบาลแคนดง","2","15","7.50"
"28020  :  โรงพยาบาลบ้านด่าน","1","8","8.00"
"10668  :  โรงพยาบาลสุรินทร์","743","6,204","8.35"
"10915  :  โรงพยาบาลชุมพลบุรี","21","191","9.10"
"10916  :  โรงพยาบาลท่าตูม","255","2,281","8.95"
"10917  :  โรงพยาบาลจอมพระ","57","503","8.82"
"10918  :  โรงพยาบาลปราสาท","692","5,865","8.48"
"10919  :  โรงพยาบาลกาบเชิง","91","785","8.63"
"10920  :  โรงพยาบาลรัตนบุรี","360","2,955","8.21"
"10921  :  โรงพยาบาลสนม","14","134","9.57"
"10922  :  โรงพยาบาลศีขรภูมิ","367","3,585","9.77"
"10923  :  โรงพยาบาลสังขะ","169","1,486","8.79"
"10924  :  โรงพยาบาลลำดวน","47","402","8.55"
"10925  :  โรงพยาบาลสำโรงทาบ","54","478","8.85"
"10926  :  โรงพยาบาลบัวเชด","12","103","8.58"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","7","53","7.57"
"27842  :  โรงพยาบาลเขวาสินรินทร์","1","12","12.00"
"27843  :  โรงพยาบาลศรีณรงค์","0","0","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","0","0.00"
"10700  :  โรงพยาบาลศรีสะเกษ","326","2,814","8.63"
"10927  :  โรงพยาบาลยางชุมน้อย","11","104","9.45"
"10928  :  โรงพยาบาลกันทรารมย์","26","234","9.00"
"10929  :  โรงพยาบาลกันทรลักษ์","62","590","9.52"
"10930  :  โรงพยาบาลขุขันธ์","178","1,621","9.11"
"10931  :  โรงพยาบาลไพรบึง","75","704","9.39"
"10932  :  โรงพยาบาลปรางค์กู่","32","293","9.16"
"10933  :  โรงพยาบาลขุนหาญ","28","258","9.21"
"10934  :  โรงพยาบาลราษีไศล","70","626","8.94"
"10935  :  โรงพยาบาลอุทุมพรพิสัย","35","330","9.43"
"10936  :  โรงพยาบาลบึงบูรพ์","9","78","8.67"
"10937  :  โรงพยาบาลห้วยทับทัน","20","173","8.65"
"10938  :  โรงพยาบาลโนนคูณ","15","135","9.00"
"10939  :  โรงพยาบาลศรีรัตนะ","23","197","8.57"
"10940  :  โรงพยาบาลวังหิน","6","64","10.67"
"10941  :  โรงพยาบาลน้ำเกลี้ยง","22","191","8.68"
"10942  :  โรงพยาบาลภูสิงห์","53","456","8.60"
"10943  :  โรงพยาบาลเมืองจันทร์","7","61","8.71"
"23125  :  โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา","5","47","9.40"
"28014  :  โรงพยาบาลพยุห์","14","146","10.43"
"28015  :  โรงพยาบาลโพธิ์ศรีสุวรรณ","0","0","0.00"
"28016  :  โรงพยาบาลศิลาลาด","0","0","0.00"
