"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"B","A","อัตราต่อแสน","A","อัตราต่อแสน","A","อัตราต่อแสน","A","อัตราต่อแสน","A","อัตราต่อแสน"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","42","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","415","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","11","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","117","609","520,512.82","153","130,769.23","183","156,410.26","135","115,384.62","138","117,948.72"
"10752  :  โรงพยาบาลบางบ่อ","0","287","0.00","60","0.00","80","0.00","73","0.00","74","0.00"
"10753  :  โรงพยาบาลบางพลี","0","359","0.00","94","0.00","98","0.00","84","0.00","83","0.00"
"10754  :  โรงพยาบาลบางจาก","5,501","316","5,744.41","91","1,654.24","81","1,472.46","81","1,472.46","63","1,145.25"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","10,938","294","2,687.88","61","557.69","76","694.83","83","758.82","74","676.54"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","5,857","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","11,593","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","2,044","61","2,984.34","11","538.16","24","1,174.17","13","636.01","13","636.01"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","311","0.00","82","0.00","83","0.00","68","0.00","78","0.00"
"10756  :  โรงพยาบาลบางกรวย","6,937","50","720.77","18","259.48","11","158.57","6","86.49","15","216.23"
"10757  :  โรงพยาบาลบางใหญ่","8,481","223","2,629.41","59","695.67","50","589.55","48","565.97","66","778.21"
"10758  :  โรงพยาบาลบางบัวทอง","5,438","143","2,629.64","41","753.95","33","606.84","31","570.06","38","698.79"
"10759  :  โรงพยาบาลไทรน้อย","13,309","70","525.96","25","187.84","14","105.19","12","90.16","19","142.76"
"10760  :  โรงพยาบาลปากเกร็ด","19,593","76","387.89","18","91.87","29","148.01","18","91.87","11","56.14"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","173","0.00","56","0.00","54","0.00","63","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","409","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","4,301","34","790.51","7","162.75","13","302.26","6","139.50","8","186.00"
"10687  :  โรงพยาบาลปทุมธานี","0","388","0.00","89","0.00","99","0.00","103","0.00","97","0.00"
"10761  :  โรงพยาบาลคลองหลวง","8,389","87","1,037.07","21","250.33","25","298.01","22","262.25","19","226.49"
"10762  :  โรงพยาบาลธัญบุรี","11,376","88","773.56","26","228.55","20","175.81","19","167.02","23","202.18"
"10763  :  โรงพยาบาลประชาธิปัตย์","10,736","41","381.89","5","46.57","8","74.52","12","111.77","16","149.03"
"10764  :  โรงพยาบาลหนองเสือ","4,725","131","2,772.49","26","550.26","30","634.92","44","931.22","31","656.08"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","3,058","81","2,648.79","22","719.42","13","425.11","17","555.92","29","948.33"
"10766  :  โรงพยาบาลลำลูกกา","0","252","0.00","53","0.00","61","0.00","72","0.00","66","0.00"
"10767  :  โรงพยาบาลสามโคก","2,202","41","1,861.94","12","544.96","12","544.96","8","363.31","9","408.72"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","198","0.00","42","0.00","61","0.00","45","0.00","50","0.00"
"10688  :  โรงพยาบาลเสนา","2,401","335","13,952.52","50","2,082.47","88","3,665.14","106","4,414.83","91","3,790.09"
"10768  :  โรงพยาบาลท่าเรือ","8,812","103","1,168.86","21","238.31","26","295.05","21","238.31","35","397.19"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","1,987","93","4,680.42","24","1,207.85","31","1,560.14","10","503.27","28","1,409.16"
"10770  :  โรงพยาบาลบางไทร","3,014","147","4,877.24","29","962.18","44","1,459.85","32","1,061.71","42","1,393.50"
"10771  :  โรงพยาบาลบางบาล","1,481","39","2,633.36","17","1,147.87","7","472.65","9","607.70","6","405.13"
"10772  :  โรงพยาบาลบางปะอิน","7,755","45","580.27","10","128.95","17","219.21","7","90.26","11","141.84"
"10773  :  โรงพยาบาลบางปะหัน","1,378","157","11,393.32","34","2,467.34","42","3,047.90","40","2,902.76","41","2,975.33"
"10774  :  โรงพยาบาลผักไห่","1,026","19","1,851.85","5","487.33","8","779.73","1","97.47","5","487.33"
"10775  :  โรงพยาบาลภาชี","4,923","47","954.70","11","223.44","13","264.07","8","162.50","15","304.69"
"10776  :  โรงพยาบาลลาดบัวหลวง","1,964","82","4,175.15","27","1,374.75","16","814.66","21","1,069.25","18","916.50"
"10777  :  โรงพยาบาลวังน้อย","5,410","155","2,865.06","35","646.95","44","813.31","32","591.50","44","813.31"
"10778  :  โรงพยาบาลบางซ้าย","2,964","13","438.60","9","303.64","2","67.48","1","33.74","1","33.74"
"10779  :  โรงพยาบาลอุทัย","651","46","7,066.05","7","1,075.27","11","1,689.71","7","1,075.27","21","3,225.81"
"10780  :  โรงพยาบาลมหาราช","1,163","43","3,697.33","12","1,031.81","10","859.85","9","773.86","12","1,031.81"
"10781  :  โรงพยาบาลบ้านแพรก","1,097","29","2,643.57","6","546.95","8","729.26","11","1,002.73","4","364.63"
"10689  :  โรงพยาบาลอ่างทอง","997","262","26,278.84","55","5,516.55","81","8,124.37","65","6,519.56","61","6,118.36"
"10782  :  โรงพยาบาลไชโย","2,010","60","2,985.07","18","895.52","19","945.27","15","746.27","8","398.01"
"10784  :  โรงพยาบาลป่าโมก","3,643","42","1,152.90","15","411.75","7","192.15","10","274.50","10","274.50"
"10785  :  โรงพยาบาลโพธิ์ทอง","2,538","200","7,880.22","39","1,536.64","51","2,009.46","62","2,442.87","48","1,891.25"
"10786  :  โรงพยาบาลแสวงหา","5,120","55","1,074.22","22","429.69","11","214.84","13","253.91","9","175.78"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","5,426","129","2,377.44","27","497.60","41","755.62","24","442.31","37","681.90"
"10788  :  โรงพยาบาลสามโก้","1,557","90","5,780.35","26","1,669.88","23","1,477.20","20","1,284.52","21","1,348.75"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","694","0.00","195","0.00","154","0.00","155","0.00","190","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","147","0.00","49","0.00","44","0.00","23","0.00","31","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","5,927","207","3,492.49","43","725.49","69","1,164.16","46","776.11","49","826.73"
"10790  :  โรงพยาบาลโคกสำโรง","6,916","213","3,079.81","59","853.09","60","867.55","55","795.26","39","563.91"
"10791  :  โรงพยาบาลชัยบาดาล","10,388","346","3,330.77","100","962.65","84","808.63","88","847.13","74","712.36"
"10792  :  โรงพยาบาลท่าวุ้ง","2,819","228","8,087.97","40","1,418.94","66","2,341.26","55","1,951.05","67","2,376.73"
"10793  :  โรงพยาบาลท่าหลวง","4,485","110","2,452.62","28","624.30","27","602.01","28","624.30","27","602.01"
"10794  :  โรงพยาบาลสระโบสถ์","7,322","155","2,116.91","27","368.75","60","819.45","34","464.35","34","464.35"
"10795  :  โรงพยาบาลโคกเจริญ","3,166","96","3,032.22","34","1,073.91","31","979.15","13","410.61","18","568.54"
"10796  :  โรงพยาบาลลำสนธิ","3,823","68","1,778.71","17","444.68","7","183.10","18","470.83","26","680.09"
"10797  :  โรงพยาบาลหนองม่วง","3,891","164","4,214.85","44","1,130.81","45","1,156.52","39","1,002.31","36","925.21"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","8,668","227","2,618.83","56","646.05","58","669.13","49","565.30","64","738.35"
"10693  :  โรงพยาบาลอินทร์บุรี","1,633","174","10,655.24","56","3,429.27","48","2,939.38","36","2,204.53","34","2,082.06"
"10798  :  โรงพยาบาลบางระจัน","3,170","28","883.28","7","220.82","7","220.82","8","252.37","6","189.27"
"10799  :  โรงพยาบาลค่ายบางระจัน","4,846","111","2,290.55","26","536.52","27","557.16","31","639.70","27","557.16"
"10800  :  โรงพยาบาลพรหมบุรี","3,716","39","1,049.52","12","322.93","6","161.46","11","296.02","10","269.11"
"10801  :  โรงพยาบาลท่าช้าง","1,912","93","4,864.02","22","1,150.63","18","941.42","19","993.72","34","1,778.24"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","506","0.00","114","0.00","146","0.00","130","0.00","116","0.00"
"10802  :  โรงพยาบาลมโนรมย์","3,315","123","3,710.41","25","754.15","41","1,236.80","29","874.81","28","844.65"
"10803  :  โรงพยาบาลวัดสิงห์","2,989","81","2,709.94","7","234.19","16","535.30","35","1,170.96","23","769.49"
"10804  :  โรงพยาบาลสรรพยา","1,739","69","3,967.80","21","1,207.59","27","1,552.62","10","575.04","11","632.55"
"10805  :  โรงพยาบาลสรรคบุรี","5,212","198","3,798.93","43","825.02","48","920.95","47","901.77","60","1,151.19"
"10806  :  โรงพยาบาลหันคา","5,491","118","2,148.97","31","564.56","39","710.25","22","400.66","26","473.50"
"27974  :  โรงพยาบาลหนองมะโมง","846","140","16,548.46","33","3,900.71","39","4,609.93","30","3,546.10","38","4,491.73"
"27975  :  โรงพยาบาลเนินขาม","0","12","0.00","3","0.00","0","0.00","1","0.00","8","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","666","0.00","160","0.00","154","0.00","178","0.00","174","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","217","0.00","54","0.00","58","0.00","55","0.00","50","0.00"
"10807  :  โรงพยาบาลแก่งคอย","11,747","244","2,077.13","53","451.18","59","502.26","44","374.56","88","749.13"
"10808  :  โรงพยาบาลหนองแค","2,360","140","5,932.20","26","1,101.69","44","1,864.41","36","1,525.42","34","1,440.68"
"10809  :  โรงพยาบาลวิหารแดง","3,639","189","5,193.73","37","1,016.76","55","1,511.40","52","1,428.96","45","1,236.60"
"10810  :  โรงพยาบาลหนองแซง","3,144","13","413.49","3","95.42","3","95.42","5","159.03","2","63.61"
"10811  :  โรงพยาบาลบ้านหมอ","4,586","181","3,946.79","51","1,112.08","40","872.22","37","806.80","53","1,155.69"
"10812  :  โรงพยาบาลดอนพุด","0","166","0.00","47","0.00","33","0.00","45","0.00","41","0.00"
"10813  :  โรงพยาบาลหนองโดน","3,471","12","345.72","3","86.43","2","57.62","5","144.05","2","57.62"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","2,339","41","1,752.89","8","342.03","8","342.03","10","427.53","15","641.30"
"10815  :  โรงพยาบาลมวกเหล็ก","6,339","132","2,082.35","29","457.49","40","631.01","26","410.16","37","583.69"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","3,078","210","6,822.61","61","1,981.81","63","2,046.78","54","1,754.39","32","1,039.64"
"11485  :  โรงพยาบาลค่ายอดิศร","7,586","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","639","0.00","138","0.00","184","0.00","151","0.00","166","0.00"
"10817  :  โรงพยาบาลบ้านบึง","22,519","266","1,181.22","70","310.85","64","284.20","77","341.93","55","244.24"
"10818  :  โรงพยาบาลหนองใหญ่","4,793","100","2,086.38","16","333.82","25","521.59","32","667.64","27","563.32"
"10819  :  โรงพยาบาลบางละมุง","23,290","424","1,820.52","120","515.24","122","523.83","88","377.84","94","403.61"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","2,506","60","2,394.25","12","478.85","12","478.85","19","758.18","17","678.37"
"10821  :  โรงพยาบาลพานทอง","7,972","182","2,282.99","45","564.48","56","702.46","50","627.20","31","388.86"
"10822  :  โรงพยาบาลพนัสนิคม","10,234","365","3,566.54","100","977.14","93","908.74","95","928.28","77","752.39"
"10823  :  โรงพยาบาลแหลมฉบัง","60,423","257","425.33","62","102.61","77","127.43","55","91.02","63","104.26"
"10824  :  โรงพยาบาลเกาะสีชัง","2,496","26","1,041.67","9","360.58","5","200.32","8","320.51","4","160.26"
"10825  :  โรงพยาบาลสัตหีบกม10","28,531","122","427.61","30","105.15","32","112.16","34","119.17","26","91.13"
"10826  :  โรงพยาบาลบ่อทอง","3,461","164","4,738.51","41","1,184.63","42","1,213.52","44","1,271.31","37","1,069.06"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","10,691","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","75,743","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","14,300","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","3,978","139","3,494.22","31","779.29","41","1,030.67","33","829.56","34","854.70"
"10663  :  โรงพยาบาลระยอง","0","813","0.00","200","0.00","251","0.00","181","0.00","181","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","2,558","77","3,010.16","20","781.86","16","625.49","14","547.30","27","1,055.51"
