"โรงพยาบาล","เด็กกลุ่มอายุ  12 ปีในเขตรับผิดชอบ"
"ทั้งหมด(C)","ได้รับการตรวจสุขภาพช่องปาก (B)","ฟันดีไม่มีผุ(A)","อัตรา(A/B)*100"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","23","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","2","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","105","17","12","70.59"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","196","33","26","78.79"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","175","17","15","88.24"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","169","9","6","66.67"
"28785  :  โรงพยาบาลบางเสาธง","21","5","5","100.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","52","5","4","80.00"
"10757  :  โรงพยาบาลบางใหญ่","226","21","16","76.19"
"10758  :  โรงพยาบาลบางบัวทอง","51","5","4","80.00"
"10759  :  โรงพยาบาลไทรน้อย","195","23","15","65.22"
"10760  :  โรงพยาบาลปากเกร็ด","181","7","7","100.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","4","0","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","46","7","6","85.71"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","66","5","5","100.00"
"10762  :  โรงพยาบาลธัญบุรี","183","50","31","62.00"
"10763  :  โรงพยาบาลประชาธิปัตย์","202","16","8","50.00"
"10764  :  โรงพยาบาลหนองเสือ","63","13","9","69.23"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","95","34","30","88.24"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","40","6","5","83.33"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","28","8","8","100.00"
"10768  :  โรงพยาบาลท่าเรือ","173","29","23","79.31"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","31","5","3","60.00"
"10770  :  โรงพยาบาลบางไทร","42","0","0","0.00"
"10771  :  โรงพยาบาลบางบาล","10","0","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","83","9","8","88.89"
"10773  :  โรงพยาบาลบางปะหัน","21","5","3","60.00"
"10774  :  โรงพยาบาลผักไห่","19","9","7","77.78"
"10775  :  โรงพยาบาลภาชี","79","5","2","40.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","35","0","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","117","6","4","66.67"
"10778  :  โรงพยาบาลบางซ้าย","51","15","8","53.33"
"10779  :  โรงพยาบาลอุทัย","8","3","2","66.67"
"10780  :  โรงพยาบาลมหาราช","14","0","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","15","11","9","81.82"
"10689  :  โรงพยาบาลอ่างทอง","14","6","4","66.67"
"10782  :  โรงพยาบาลไชโย","23","10","8","80.00"
"10784  :  โรงพยาบาลป่าโมก","42","3","1","33.33"
"10785  :  โรงพยาบาลโพธิ์ทอง","26","4","2","50.00"
"10786  :  โรงพยาบาลแสวงหา","74","8","7","87.50"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","87","37","33","89.19"
"10788  :  โรงพยาบาลสามโก้","19","1","1","100.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","81","65","48","73.85"
"10790  :  โรงพยาบาลโคกสำโรง","65","38","19","50.00"
"10791  :  โรงพยาบาลชัยบาดาล","180","21","15","71.43"
"10792  :  โรงพยาบาลท่าวุ้ง","37","16","13","81.25"
"10793  :  โรงพยาบาลท่าหลวง","91","14","7","50.00"
"10794  :  โรงพยาบาลสระโบสถ์","111","21","11","52.38"
"10795  :  โรงพยาบาลโคกเจริญ","78","45","36","80.00"
"10796  :  โรงพยาบาลลำสนธิ","103","34","31","91.18"
"10797  :  โรงพยาบาลหนองม่วง","48","9","4","44.44"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","75","40","34","85.00"
"10693  :  โรงพยาบาลอินทร์บุรี","22","2","1","50.00"
"10798  :  โรงพยาบาลบางระจัน","49","12","6","50.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","76","9","9","100.00"
"10800  :  โรงพยาบาลพรหมบุรี","60","8","8","100.00"
"10801  :  โรงพยาบาลท่าช้าง","31","13","12","92.31"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","64","15","13","86.67"
"10803  :  โรงพยาบาลวัดสิงห์","47","30","28","93.33"
"10804  :  โรงพยาบาลสรรพยา","33","26","22","84.62"
"10805  :  โรงพยาบาลสรรคบุรี","99","44","32","72.73"
"10806  :  โรงพยาบาลหันคา","102","75","73","97.33"
"27974  :  โรงพยาบาลหนองมะโมง","12","10","10","100.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","78","6","5","83.33"
"10808  :  โรงพยาบาลหนองแค","26","0","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","89","2","2","100.00"
"10810  :  โรงพยาบาลหนองแซง","44","0","0","0.00"
"10811  :  โรงพยาบาลบ้านหมอ","57","6","6","100.00"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","45","0","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","30","3","3","100.00"
"10815  :  โรงพยาบาลมวกเหล็ก","110","44","43","97.73"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","67","3","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","85","6","4","66.67"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","499","426","314","73.71"
"10818  :  โรงพยาบาลหนองใหญ่","94","40","33","82.50"
"10819  :  โรงพยาบาลบางละมุง","544","58","46","79.31"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","38","14","11","78.57"
"10821  :  โรงพยาบาลพานทอง","101","44","33","75.00"
"10822  :  โรงพยาบาลพนัสนิคม","125","63","53","84.13"
"10823  :  โรงพยาบาลแหลมฉบัง","1,047","65","55","84.62"
"10824  :  โรงพยาบาลเกาะสีชัง","58","51","50","98.04"
"10825  :  โรงพยาบาลสัตหีบกม10","546","358","326","91.06"
"10826  :  โรงพยาบาลบ่อทอง","56","10","7","70.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","35","7","4","57.14"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","1,007","42","29","69.05"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","2","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","41","39","37","94.87"
"10663  :  โรงพยาบาลระยอง","0","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","121","17","15","88.24"
"10828  :  โรงพยาบาลบ้านฉาง","312","22","21","95.45"
"10829  :  โรงพยาบาลแกลง","67","29","11","37.93"
"10830  :  โรงพยาบาลวังจันทร์","66","33","31","93.94"
"10831  :  โรงพยาบาลบ้านค่าย","59","9","8","88.89"
"10832  :  โรงพยาบาลปลวกแดง","547","235","146","62.13"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","28","14","8","57.14"
"23962  :  โรงพยาบาลนิคมพัฒนา","37","5","5","100.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","63","6","4","66.67"
"10837  :  โรงพยาบาลสองพี่น้อง","70","23","21","91.30"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","159","11","9","81.82"
"10839  :  โรงพยาบาลมะขาม","11","9","9","100.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","86","24","14","58.33"
"10843  :  โรงพยาบาลนายายอาม","42","9","5","55.56"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","60","21","19","90.48"
"10696  :  โรงพยาบาลตราด","49","22","17","77.27"
"10845  :  โรงพยาบาลคลองใหญ่","145","61","60","98.36"
"10846  :  โรงพยาบาลเขาสมิง","79","18","11","61.11"
"10847  :  โรงพยาบาลบ่อไร่","79","24","23","95.83"
"10848  :  โรงพยาบาลแหลมงอบ","62","36","27","75.00"
"10849  :  โรงพยาบาลเกาะกูด","10","1","1","100.00"
"13816  :  โรงพยาบาลเกาะช้าง","6","3","1","33.33"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","80","37","19","51.35"
"10850  :  โรงพยาบาลบางคล้า","172","55","30","54.55"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","26","4","4","100.00"
"10854  :  โรงพยาบาลพนมสารคาม","156","62","57","91.94"
"10855  :  โรงพยาบาลสนามชัยเขต","71","32","32","100.00"
"10856  :  โรงพยาบาลแปลงยาว","103","37","32","86.49"
"13747  :  โรงพยาบาลราชสาส์น","89","44","43","97.73"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","13","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","131","42","14","33.33"
"10858  :  โรงพยาบาลนาดี","79","2","2","100.00"
"10859  :  โรงพยาบาลบ้านสร้าง","31","5","4","80.00"
"10860  :  โรงพยาบาลประจันตคาม","91","1","1","100.00"
"10861  :  โรงพยาบาลศรีมหาโพธิ","107","51","50","98.04"
"10862  :  โรงพยาบาลศรีมโหสถ","119","93","88","94.62"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","20","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","155","68","58","85.29"
"10863  :  โรงพยาบาลปากพลี","16","5","3","60.00"
"10864  :  โรงพยาบาลบ้านนา","63","17","9","52.94"
"10865  :  โรงพยาบาลองครักษ์","42","4","2","50.00"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","130","69","51","73.91"
"10867  :  โรงพยาบาลตาพระยา","96","82","80","97.56"
"10868  :  โรงพยาบาลวังน้ำเย็น","272","238","238","100.00"
"10869  :  โรงพยาบาลวัฒนานคร","176","93","77","82.80"
"10870  :  โรงพยาบาลอรัญประเทศ","152","53","53","100.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","61","8","4","50.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","118","40","16","40.00"
"10872  :  โรงพยาบาลเสิงสาง","195","3","2","66.67"
"10873  :  โรงพยาบาลคง","99","1","1","100.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","58","30","20","66.67"
"10875  :  โรงพยาบาลจักราช","104","44","33","75.00"
"10876  :  โรงพยาบาลโชคชัย","128","0","0","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","151","1","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","119","3","3","100.00"
"10879  :  โรงพยาบาลโนนสูง","90","3","2","66.67"
"10880  :  โรงพยาบาลขามสะแกแสง","113","9","3","33.33"
"10881  :  โรงพยาบาลบัวใหญ่","73","1","1","100.00"
"10882  :  โรงพยาบาลประทาย","94","48","29","60.42"
"10883  :  โรงพยาบาลปักธงชัย","63","3","2","66.67"
"10884  :  โรงพยาบาลพิมาย","89","2","1","50.00"
"10885  :  โรงพยาบาลห้วยแถลง","113","10","2","20.00"
"10886  :  โรงพยาบาลชุมพวง","126","44","28","63.64"
"10887  :  โรงพยาบาลสูงเนิน","228","15","7","46.67"
"10888  :  โรงพยาบาลขามทะเลสอ","63","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","243","5","3","60.00"
"10890  :  โรงพยาบาลปากช่องนานา","101","7","4","57.14"
"10891  :  โรงพยาบาลหนองบุญมาก","44","10","3","30.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","80","20","9","45.00"
"10893  :  โรงพยาบาลโนนแดง","69","35","30","85.71"
"10894  :  โรงพยาบาลวังน้ำเขียว","50","14","8","57.14"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","25","5","5","100.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","64","26","21","80.77"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","94","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","181","6","5","83.33"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","17","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","73","9","3","33.33"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","105","8","2","25.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","53","1","1","100.00"
"27839  :  โรงพยาบาลบัวลาย","37","4","1","25.00"
"27840  :  โรงพยาบาลสีดา","27","11","3","27.27"
"27841  :  โรงพยาบาลเทพารักษ์","65","18","8","44.44"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","174","33","16","48.48"
"10896  :  โรงพยาบาลกระสัง","124","1","1","100.00"
"10897  :  โรงพยาบาลนางรอง","0","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","144","15","14","93.33"
"10899  :  โรงพยาบาลละหานทราย","146","5","4","80.00"
"10900  :  โรงพยาบาลประโคนชัย","140","8","2","25.00"
"10901  :  โรงพยาบาลบ้านกรวด","253","98","59","60.20"
"10902  :  โรงพยาบาลพุทไธสง","111","16","11","68.75"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0","0.00"
"10905  :  โรงพยาบาลสตึก","210","82","56","68.29"
"10906  :  โรงพยาบาลปะคำ","67","14","7","50.00"
"10907  :  โรงพยาบาลนาโพธิ์","53","5","4","80.00"
"10908  :  โรงพยาบาลหนองหงส์","76","30","24","80.00"
"10909  :  โรงพยาบาลพลับพลาชัย","116","54","38","70.37"
"10910  :  โรงพยาบาลห้วยราช","39","0","0","0.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","75","5","3","60.00"
"10912  :  โรงพยาบาลชำนิ","52","2","1","50.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","44","19","18","94.74"
"10914  :  โรงพยาบาลโนนดินแดง","137","3","1","33.33"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","3","1","1","100.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","66","14","14","100.00"
"23578  :  โรงพยาบาลแคนดง","102","30","20","66.67"
"28020  :  โรงพยาบาลบ้านด่าน","99","6","5","83.33"
"10668  :  โรงพยาบาลสุรินทร์","2","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","87","58","38","65.52"
"10916  :  โรงพยาบาลท่าตูม","283","172","85","49.42"
"10917  :  โรงพยาบาลจอมพระ","119","45","20","44.44"
"10918  :  โรงพยาบาลปราสาท","149","14","14","100.00"
"10919  :  โรงพยาบาลกาบเชิง","128","77","63","81.82"
"10920  :  โรงพยาบาลรัตนบุรี","139","11","6","54.55"
"10921  :  โรงพยาบาลสนม","73","24","17","70.83"
"10922  :  โรงพยาบาลศีขรภูมิ","145","73","48","65.75"
"10923  :  โรงพยาบาลสังขะ","129","19","16","84.21"
"10924  :  โรงพยาบาลลำดวน","97","55","50","90.91"
"10925  :  โรงพยาบาลสำโรงทาบ","122","3","3","100.00"
"10926  :  โรงพยาบาลบัวเชด","115","46","38","82.61"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","10","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","31","24","17","70.83"
"27842  :  โรงพยาบาลเขวาสินรินทร์","43","6","6","100.00"
"27843  :  โรงพยาบาลศรีณรงค์","51","27","17","62.96"
"27844  :  โรงพยาบาลโนนนารายณ์","27","1","1","100.00"
"10700  :  โรงพยาบาลศรีสะเกษ","64","1","1","100.00"
"10927  :  โรงพยาบาลยางชุมน้อย","68","49","40","81.63"
