"โรงพยาบาล","เด็กกลุ่มอายุ  12 ปีในเขตรับผิดชอบ"
"ทั้งหมด(C)","ได้รับการตรวจสุขภาพช่องปาก (B)","ฟันดีไม่มีผุ(A)","อัตรา(A/B)*100"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","85","80","94.12"
"10753  :  โรงพยาบาลบางพลี","0","491","424","86.35"
"10754  :  โรงพยาบาลบางจาก","0","22","18","81.82"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","0","20","7","35.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","12","9","75.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","468","426","91.03"
"10756  :  โรงพยาบาลบางกรวย","0","135","62","45.93"
"10757  :  โรงพยาบาลบางใหญ่","0","160","142","88.75"
"10758  :  โรงพยาบาลบางบัวทอง","0","42","11","26.19"
"10759  :  โรงพยาบาลไทรน้อย","0","45","23","51.11"
"10760  :  โรงพยาบาลปากเกร็ด","0","0","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","27","15","55.56"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","16","10","62.50"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","0","247","90","36.44"
"10762  :  โรงพยาบาลธัญบุรี","0","212","166","78.30"
"10763  :  โรงพยาบาลประชาธิปัตย์","0","287","148","51.57"
"10764  :  โรงพยาบาลหนองเสือ","0","57","37","64.91"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","0","192","138","71.88"
"10766  :  โรงพยาบาลลำลูกกา","0","494","255","51.62"
"10767  :  โรงพยาบาลสามโคก","0","59","17","28.81"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","0","10","4","40.00"
"10768  :  โรงพยาบาลท่าเรือ","0","40","20","50.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","34","16","47.06"
"10770  :  โรงพยาบาลบางไทร","0","3","3","100.00"
"10771  :  โรงพยาบาลบางบาล","0","25","8","32.00"
"10772  :  โรงพยาบาลบางปะอิน","0","46","20","43.48"
"10773  :  โรงพยาบาลบางปะหัน","0","216","138","63.89"
"10774  :  โรงพยาบาลผักไห่","0","232","116","50.00"
"10775  :  โรงพยาบาลภาชี","0","72","25","34.72"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","3","2","66.67"
"10777  :  โรงพยาบาลวังน้อย","0","88","48","54.55"
"10778  :  โรงพยาบาลบางซ้าย","0","20","11","55.00"
"10779  :  โรงพยาบาลอุทัย","0","21","12","57.14"
"10780  :  โรงพยาบาลมหาราช","0","14","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","0","15","7","46.67"
"10689  :  โรงพยาบาลอ่างทอง","11","0","0","0.00"
"10782  :  โรงพยาบาลไชโย","20","1","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","50","1","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","31","0","0","0.00"
"10786  :  โรงพยาบาลแสวงหา","81","0","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","66","0","0","0.00"
"10788  :  โรงพยาบาลสามโก้","22","2","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","145","118","81.38"
"10691  :  โรงพยาบาลบ้านหมี่","0","3","3","100.00"
"10789  :  โรงพยาบาลพัฒนานิคม","0","367","163","44.41"
"10790  :  โรงพยาบาลโคกสำโรง","0","39","25","64.10"
"10791  :  โรงพยาบาลชัยบาดาล","0","18","8","44.44"
"10792  :  โรงพยาบาลท่าวุ้ง","0","16","8","50.00"
"10793  :  โรงพยาบาลท่าหลวง","0","0","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","0","65","22","33.85"
"10795  :  โรงพยาบาลโคกเจริญ","0","16","8","50.00"
"10796  :  โรงพยาบาลลำสนธิ","0","20","6","30.00"
"10797  :  โรงพยาบาลหนองม่วง","0","77","42","54.55"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","0","80","26","32.50"
"10693  :  โรงพยาบาลอินทร์บุรี","0","25","11","44.00"
"10798  :  โรงพยาบาลบางระจัน","0","12","4","33.33"
"10799  :  โรงพยาบาลค่ายบางระจัน","0","18","13","72.22"
"10800  :  โรงพยาบาลพรหมบุรี","0","55","39","70.91"
"10801  :  โรงพยาบาลท่าช้าง","0","29","21","72.41"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","28","23","82.14"
"10802  :  โรงพยาบาลมโนรมย์","0","77","58","75.32"
"10803  :  โรงพยาบาลวัดสิงห์","0","37","4","10.81"
"10804  :  โรงพยาบาลสรรพยา","0","63","21","33.33"
"10805  :  โรงพยาบาลสรรคบุรี","0","325","188","57.85"
"10806  :  โรงพยาบาลหันคา","0","51","28","54.90"
"27974  :  โรงพยาบาลหนองมะโมง","0","10","3","30.00"
"27975  :  โรงพยาบาลเนินขาม","0","2","1","50.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","0","17","8","47.06"
"10808  :  โรงพยาบาลหนองแค","0","53","46","86.79"
"10809  :  โรงพยาบาลวิหารแดง","0","62","43","69.35"
"10810  :  โรงพยาบาลหนองแซง","0","88","38","43.18"
"10811  :  โรงพยาบาลบ้านหมอ","0","46","7","15.22"
"10812  :  โรงพยาบาลดอนพุด","0","31","18","58.06"
"10813  :  โรงพยาบาลหนองโดน","0","13","10","76.92"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","82","50","60.98"
"10815  :  โรงพยาบาลมวกเหล็ก","0","0","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","0","0","0","0.00"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","0","494","117","23.68"
"10818  :  โรงพยาบาลหนองใหญ่","0","109","51","46.79"
"10819  :  โรงพยาบาลบางละมุง","0","13","7","53.85"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","43","19","44.19"
"10821  :  โรงพยาบาลพานทอง","0","62","38","61.29"
"10822  :  โรงพยาบาลพนัสนิคม","0","769","474","61.64"
"10823  :  โรงพยาบาลแหลมฉบัง","0","207","171","82.61"
"10824  :  โรงพยาบาลเกาะสีชัง","0","63","31","49.21"
"10825  :  โรงพยาบาลสัตหีบกม10","0","208","100","48.08"
"10826  :  โรงพยาบาลบ่อทอง","0","164","103","62.80"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","0","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","0","0","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","0","59","6","10.17"
"10663  :  โรงพยาบาลระยอง","0","118","75","63.56"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","0","222","217","97.75"
"10828  :  โรงพยาบาลบ้านฉาง","0","99","50","50.51"
"10829  :  โรงพยาบาลแกลง","0","248","65","26.21"
"10830  :  โรงพยาบาลวังจันทร์","0","10","4","40.00"
"10831  :  โรงพยาบาลบ้านค่าย","0","215","107","49.77"
"10832  :  โรงพยาบาลปลวกแดง","0","84","49","58.33"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","0","4","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","0","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","26","8","30.77"
"10834  :  โรงพยาบาลขลุง","0","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","19","9","47.37"
"10836  :  โรงพยาบาลเขาสุกิม","0","22","3","13.64"
"10837  :  โรงพยาบาลสองพี่น้อง","0","2","2","100.00"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","0","89","22","24.72"
"10839  :  โรงพยาบาลมะขาม","0","25","10","40.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","56","44","78.57"
"10841  :  โรงพยาบาลสอยดาว","0","56","32","57.14"
"10842  :  โรงพยาบาลแก่งหางแมว","0","30","9","30.00"
"10843  :  โรงพยาบาลนายายอาม","0","0","0","0.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","0","0","0","0.00"
"10696  :  โรงพยาบาลตราด","50","7","3","42.86"
"10845  :  โรงพยาบาลคลองใหญ่","148","14","9","64.29"
"10846  :  โรงพยาบาลเขาสมิง","87","6","4","66.67"
"10847  :  โรงพยาบาลบ่อไร่","93","41","24","58.54"
"10848  :  โรงพยาบาลแหลมงอบ","52","14","5","35.71"
"10849  :  โรงพยาบาลเกาะกูด","22","1","0","0.00"
"13816  :  โรงพยาบาลเกาะช้าง","16","10","3","30.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","3","1","33.33"
"10833  :  โรงพยาบาลท่าตะเกียบ","0","274","83","30.29"
"10850  :  โรงพยาบาลบางคล้า","0","172","66","38.37"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","27","3","11.11"
"10852  :  โรงพยาบาลบางปะกง","0","70","34","48.57"
"10853  :  โรงพยาบาลบ้านโพธิ์","0","104","63","60.58"
"10854  :  โรงพยาบาลพนมสารคาม","0","28","15","53.57"
"10855  :  โรงพยาบาลสนามชัยเขต","0","51","17","33.33"
"10856  :  โรงพยาบาลแปลงยาว","0","63","37","58.73"
"13747  :  โรงพยาบาลราชสาส์น","0","47","28","59.57"
"31327  :  โรงพยาบาลคลองเขื่อน","0","6","1","16.67"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","0","54","32","59.26"
"10858  :  โรงพยาบาลนาดี","0","21","14","66.67"
"10859  :  โรงพยาบาลบ้านสร้าง","0","29","20","68.97"
"10860  :  โรงพยาบาลประจันตคาม","0","42","10","23.81"
"10861  :  โรงพยาบาลศรีมหาโพธิ","0","92","83","90.22"
"10862  :  โรงพยาบาลศรีมโหสถ","0","81","50","61.73"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","0","19","6","31.58"
"10863  :  โรงพยาบาลปากพลี","0","12","4","33.33"
"10864  :  โรงพยาบาลบ้านนา","0","21","5","23.81"
"10865  :  โรงพยาบาลองครักษ์","0","9","3","33.33"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","0","186","117","62.90"
"10867  :  โรงพยาบาลตาพระยา","0","99","43","43.43"
"10868  :  โรงพยาบาลวังน้ำเย็น","0","180","147","81.67"
"10869  :  โรงพยาบาลวัฒนานคร","0","75","52","69.33"
"10870  :  โรงพยาบาลอรัญประเทศ","0","0","0","0.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","0","1","1","100.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","0","0","0","0.00"
"10872  :  โรงพยาบาลเสิงสาง","0","0","0","0.00"
"10873  :  โรงพยาบาลคง","0","0","0","0.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","0","0","0","0.00"
"10875  :  โรงพยาบาลจักราช","0","0","0","0.00"
"10876  :  โรงพยาบาลโชคชัย","0","0","0","0.00"
"10877  :  โรงพยาบาลด่านขุนทด","0","0","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","0","0","0","0.00"
"10879  :  โรงพยาบาลโนนสูง","0","0","0","0.00"
"10880  :  โรงพยาบาลขามสะแกแสง","0","0","0","0.00"
"10881  :  โรงพยาบาลบัวใหญ่","0","0","0","0.00"
"10882  :  โรงพยาบาลประทาย","0","0","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","0","0","0","0.00"
"10884  :  โรงพยาบาลพิมาย","0","0","0","0.00"
"10885  :  โรงพยาบาลห้วยแถลง","0","0","0","0.00"
"10886  :  โรงพยาบาลชุมพวง","0","0","0","0.00"
"10887  :  โรงพยาบาลสูงเนิน","0","0","0","0.00"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","0","0","0","0.00"
"10890  :  โรงพยาบาลปากช่องนานา","0","0","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","0","0","0","0.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","0","0","0.00"
"10893  :  โรงพยาบาลโนนแดง","0","0","0","0.00"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","0","0","0.00"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","0","0","0.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","0","0","0.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","0","0","0","0.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","0","0","0","0.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","0","0","0.00"
"27840  :  โรงพยาบาลสีดา","0","0","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","0","0","0","0.00"
"10667  :  โรงพยาบาลบุรีรัมย์","0","3","2","66.67"
"10895  :  โรงพยาบาลคูเมือง","0","172","82","47.67"
"10896  :  โรงพยาบาลกระสัง","0","0","0","0.00"
"10897  :  โรงพยาบาลนางรอง","0","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","0","3","2","66.67"
"10899  :  โรงพยาบาลละหานทราย","0","0","0","0.00"
"10900  :  โรงพยาบาลประโคนชัย","0","395","222","56.20"
"10901  :  โรงพยาบาลบ้านกรวด","0","0","0","0.00"
"10902  :  โรงพยาบาลพุทไธสง","0","0","0","0.00"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0","0.00"
"10905  :  โรงพยาบาลสตึก","0","204","125","61.27"
"10906  :  โรงพยาบาลปะคำ","0","111","48","43.24"
"10907  :  โรงพยาบาลนาโพธิ์","0","0","0","0.00"
"10908  :  โรงพยาบาลหนองหงส์","0","0","0","0.00"
"10909  :  โรงพยาบาลพลับพลาชัย","0","6","4","66.67"
"10910  :  โรงพยาบาลห้วยราช","0","7","3","42.86"
"10911  :  โรงพยาบาลโนนสุวรรณ","0","106","74","69.81"
"10912  :  โรงพยาบาลชำนิ","0","0","0","0.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","0","0","0","0.00"
"10914  :  โรงพยาบาลโนนดินแดง","0","0","0","0.00"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","0","55","55","100.00"
"23578  :  โรงพยาบาลแคนดง","0","0","0","0.00"
"28020  :  โรงพยาบาลบ้านด่าน","0","35","33","94.29"
"10668  :  โรงพยาบาลสุรินทร์","0","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","0","73","47","64.38"
"10916  :  โรงพยาบาลท่าตูม","0","380","60","15.79"
"10917  :  โรงพยาบาลจอมพระ","0","120","118","98.33"
"10918  :  โรงพยาบาลปราสาท","0","78","42","53.85"
"10919  :  โรงพยาบาลกาบเชิง","0","68","17","25.00"
"10920  :  โรงพยาบาลรัตนบุรี","0","44","1","2.27"
"10921  :  โรงพยาบาลสนม","0","11","2","18.18"
"10922  :  โรงพยาบาลศีขรภูมิ","0","30","8","26.67"
"10923  :  โรงพยาบาลสังขะ","0","63","28","44.44"
"10924  :  โรงพยาบาลลำดวน","0","139","103","74.10"
"10925  :  โรงพยาบาลสำโรงทาบ","0","15","6","40.00"
"10926  :  โรงพยาบาลบัวเชด","0","0","0","0.00"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","0","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","0","17","5","29.41"
"27842  :  โรงพยาบาลเขวาสินรินทร์","0","0","0","0.00"
"27843  :  โรงพยาบาลศรีณรงค์","0","0","0","0.00"
"27844  :  โรงพยาบาลโนนนารายณ์","0","8","4","50.00"
"10700  :  โรงพยาบาลศรีสะเกษ","0","0","0","0.00"
"10927  :  โรงพยาบาลยางชุมน้อย","0","6","2","33.33"
