"โรงพยาบาล","รวม","ไตรมาส1","ไตรมาส2","ไตรมาส3","ไตรมาส4"
"B","A","%","A","%","A","%","A","%","A","%"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10754  :  โรงพยาบาลบางจาก","34","1","2.94","0","0.00","0","0.00","0","0.00","1","2.94"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","63","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","23","1","4.35","0","0.00","0","0.00","1","4.35","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","40","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","3","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","4","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10757  :  โรงพยาบาลบางใหญ่","33","1","3.03","0","0.00","0","0.00","0","0.00","1","3.03"
"10758  :  โรงพยาบาลบางบัวทอง","251","8","3.19","1","0.40","2","0.80","4","1.59","1","0.40"
"10759  :  โรงพยาบาลไทรน้อย","176","1","0.57","0","0.00","0","0.00","0","0.00","1","0.57"
"10760  :  โรงพยาบาลปากเกร็ด","12","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","7","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","18","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","120","5","4.17","1","0.83","2","1.67","0","0.00","2","1.67"
"10762  :  โรงพยาบาลธัญบุรี","84","4","4.76","1","1.19","2","2.38","0","0.00","1","1.19"
"10763  :  โรงพยาบาลประชาธิปัตย์","81","6","7.41","2","2.47","3","3.70","0","0.00","1","1.23"
"10764  :  โรงพยาบาลหนองเสือ","118","2","1.69","1","0.85","0","0.00","1","0.85","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","9","1","11.11","0","0.00","0","0.00","1","11.11","0","0.00"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10767  :  โรงพยาบาลสามโคก","130","2","1.54","2","1.54","0","0.00","0","0.00","0","0.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","42","3","7.14","0","0.00","3","7.14","0","0.00","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","108","4","3.70","0","0.00","2","1.85","2","1.85","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","19","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","98","6","6.12","3","3.06","1","1.02","1","1.02","1","1.02"
"10771  :  โรงพยาบาลบางบาล","21","2","9.52","0","0.00","0","0.00","2","9.52","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","176","3","1.70","0","0.00","2","1.14","0","0.00","1","0.57"
"10773  :  โรงพยาบาลบางปะหัน","36","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","16","2","12.50","1","6.25","0","0.00","0","0.00","1","6.25"
"10775  :  โรงพยาบาลภาชี","411","10","2.43","1","0.24","1","0.24","5","1.22","3","0.73"
"10776  :  โรงพยาบาลลาดบัวหลวง","164","2","1.22","1","0.61","1","0.61","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","19","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","50","2","4.00","1","2.00","1","2.00","0","0.00","0","0.00"
"10779  :  โรงพยาบาลอุทัย","26","1","3.85","0","0.00","0","0.00","1","3.85","0","0.00"
"10780  :  โรงพยาบาลมหาราช","46","2","4.35","1","2.17","0","0.00","0","0.00","1","2.17"
"10781  :  โรงพยาบาลบ้านแพรก","12","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","79","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10782  :  โรงพยาบาลไชโย","46","1","2.17","1","2.17","0","0.00","0","0.00","0","0.00"
"10784  :  โรงพยาบาลป่าโมก","29","2","6.90","1","3.45","0","0.00","1","3.45","0","0.00"
"10785  :  โรงพยาบาลโพธิ์ทอง","373","15","4.02","2","0.54","5","1.34","6","1.61","2","0.54"
"10786  :  โรงพยาบาลแสวงหา","236","9","3.81","2","0.85","3","1.27","3","1.27","1","0.42"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","65","1","1.54","0","0.00","1","1.54","0","0.00","0","0.00"
"10788  :  โรงพยาบาลสามโก้","101","1","0.99","0","0.00","1","0.99","0","0.00","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","311","3","0.96","1","0.32","0","0.00","1","0.32","1","0.32"
"10790  :  โรงพยาบาลโคกสำโรง","198","12","6.06","1","0.51","1","0.51","4","2.02","6","3.03"
"10791  :  โรงพยาบาลชัยบาดาล","46","1","2.17","1","2.17","0","0.00","0","0.00","0","0.00"
"10792  :  โรงพยาบาลท่าวุ้ง","1","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10793  :  โรงพยาบาลท่าหลวง","143","8","5.59","2","1.40","3","2.10","2","1.40","1","0.70"
"10794  :  โรงพยาบาลสระโบสถ์","10","1","10.00","1","10.00","0","0.00","0","0.00","0","0.00"
"10795  :  โรงพยาบาลโคกเจริญ","157","7","4.46","3","1.91","1","0.64","1","0.64","2","1.27"
"10796  :  โรงพยาบาลลำสนธิ","134","5","3.73","2","1.49","2","1.49","1","0.75","0","0.00"
"10797  :  โรงพยาบาลหนองม่วง","187","5","2.67","2","1.07","2","1.07","1","0.53","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","24","1","4.17","0","0.00","0","0.00","1","4.17","0","0.00"
"10693  :  โรงพยาบาลอินทร์บุรี","20","1","5.00","1","5.00","0","0.00","0","0.00","0","0.00"
"10798  :  โรงพยาบาลบางระจัน","304","6","1.97","2","0.66","0","0.00","1","0.33","3","0.99"
"10799  :  โรงพยาบาลค่ายบางระจัน","137","3","2.19","0","0.00","0","0.00","2","1.46","1","0.73"
"10800  :  โรงพยาบาลพรหมบุรี","63","2","3.17","1","1.59","0","0.00","0","0.00","1","1.59"
"10801  :  โรงพยาบาลท่าช้าง","107","2","1.87","0","0.00","1","0.93","0","0.00","1","0.93"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","419","8","1.91","4","0.95","3","0.72","0","0.00","1","0.24"
"10803  :  โรงพยาบาลวัดสิงห์","93","5","5.38","2","2.15","2","2.15","1","1.08","0","0.00"
"10804  :  โรงพยาบาลสรรพยา","63","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10805  :  โรงพยาบาลสรรคบุรี","523","11","2.10","4","0.76","5","0.96","1","0.19","1","0.19"
"10806  :  โรงพยาบาลหันคา","519","16","3.08","7","1.35","3","0.58","2","0.39","4","0.77"
"27974  :  โรงพยาบาลหนองมะโมง","190","6","3.16","1","0.53","3","1.58","2","1.05","0","0.00"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","86","11","12.79","6","6.98","1","1.16","2","2.33","2","2.33"
"10808  :  โรงพยาบาลหนองแค","6","1","16.67","0","0.00","0","0.00","1","16.67","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","148","1","0.68","0","0.00","0","0.00","1","0.68","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","42","3","7.14","0","0.00","1","2.38","1","2.38","1","2.38"
"10811  :  โรงพยาบาลบ้านหมอ","331","18","5.44","3","0.91","2","0.60","4","1.21","9","2.72"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","167","7","4.19","4","2.40","2","1.20","1","0.60","0","0.00"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","15","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10815  :  โรงพยาบาลมวกเหล็ก","134","4","2.99","2","1.49","1","0.75","1","0.75","0","0.00"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","308","9","2.92","0","0.00","0","0.00","3","0.97","6","1.95"
"11485  :  โรงพยาบาลค่ายอดิศร","56","2","3.57","1","1.79","0","0.00","1","1.79","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","582","11","1.89","2","0.34","3","0.52","2","0.34","4","0.69"
"10818  :  โรงพยาบาลหนองใหญ่","177","5","2.82","1","0.56","1","0.56","2","1.13","1","0.56"
"10819  :  โรงพยาบาลบางละมุง","90","8","8.89","4","4.44","0","0.00","1","1.11","3","3.33"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","94","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10821  :  โรงพยาบาลพานทอง","31","1","3.23","1","3.23","0","0.00","0","0.00","0","0.00"
"10822  :  โรงพยาบาลพนัสนิคม","43","2","4.65","1","2.33","0","0.00","1","2.33","0","0.00"
"10823  :  โรงพยาบาลแหลมฉบัง","1,347","50","3.71","13","0.97","10","0.74","13","0.97","14","1.04"
"10824  :  โรงพยาบาลเกาะสีชัง","314","11","3.50","6","1.91","4","1.27","0","0.00","1","0.32"
"10825  :  โรงพยาบาลสัตหีบกม10","388","10","2.58","1","0.26","5","1.29","3","0.77","1","0.26"
"10826  :  โรงพยาบาลบ่อทอง","33","1","3.03","0","0.00","1","3.03","0","0.00","0","0.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","20","1","5.00","0","0.00","0","0.00","0","0.00","1","5.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","318","77","24.21","38","11.95","12","3.77","12","3.77","15","4.72"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","213","45","21.13","21","9.86","10","4.69","2","0.94","12","5.63"
"28006  :  โรงพยาบาลเกาะจันทร์","21","1","4.76","0","0.00","1","4.76","0","0.00","0","0.00"
"10663  :  โรงพยาบาลระยอง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","35","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10828  :  โรงพยาบาลบ้านฉาง","1,548","40","2.58","3","0.19","5","0.32","20","1.29","12","0.78"
"10829  :  โรงพยาบาลแกลง","25","3","12.00","1","4.00","1","4.00","0","0.00","1","4.00"
"10830  :  โรงพยาบาลวังจันทร์","183","8","4.37","2","1.09","1","0.55","1","0.55","4","2.19"
"10831  :  โรงพยาบาลบ้านค่าย","574","19","3.31","3","0.52","4","0.70","2","0.35","10","1.74"
"10832  :  โรงพยาบาลปลวกแดง","99","3","3.03","1","1.01","1","1.01","1","1.01","0","0.00"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","42","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","17","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
