"โรงพยาบาล","รวมทั้งปีงบประมาณ","ไตรมาส 1","ไตรมาส 2","ไตรมาส 3","ไตรมาส 4"
"B","A","อัตราต่อแสน","A","อัตราต่อแสน","A","อัตราต่อแสน","A","อัตราต่อแสน","A","อัตราต่อแสน"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","6","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","243","584","240,329.22","148","60,905.35","144","59,259.26","146","60,082.30","146","60,082.30"
"10752  :  โรงพยาบาลบางบ่อ","0","255","0.00","67","0.00","74","0.00","53","0.00","61","0.00"
"10753  :  โรงพยาบาลบางพลี","131","370","282,442.75","103","78,625.95","95","72,519.08","80","61,068.70","92","70,229.01"
"10754  :  โรงพยาบาลบางจาก","14","135","964,285.71","22","157,142.86","48","342,857.14","28","200,000.00","37","264,285.71"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","10,492","231","2,201.68","57","543.27","41","390.77","57","543.27","76","724.36"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","8,339","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","288","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","12,362","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","39","0.00","8","0.00","16","0.00","8","0.00","7","0.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","286","0.00","52","0.00","62","0.00","75","0.00","97","0.00"
"10756  :  โรงพยาบาลบางกรวย","7,316","37","505.74","15","205.03","6","82.01","11","150.36","5","68.34"
"10757  :  โรงพยาบาลบางใหญ่","8,766","161","1,836.64","33","376.45","38","433.49","43","490.53","47","536.16"
"10758  :  โรงพยาบาลบางบัวทอง","5,804","229","3,945.55","60","1,033.77","56","964.85","49","844.25","64","1,102.69"
"10759  :  โรงพยาบาลไทรน้อย","13,436","65","483.77","8","59.54","23","171.18","16","119.08","18","133.97"
"10760  :  โรงพยาบาลปากเกร็ด","21,570","147","681.50","38","176.17","48","222.53","20","92.72","41","190.08"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","22","0.00","22","0.00","0","0.00","0","0.00","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","27,952","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","1,643","36","2,191.11","4","243.46","11","669.51","8","486.91","13","791.24"
"10687  :  โรงพยาบาลปทุมธานี","0","315","0.00","60","0.00","63","0.00","77","0.00","115","0.00"
"10761  :  โรงพยาบาลคลองหลวง","8,609","81","940.88","19","220.70","23","267.16","17","197.47","22","255.55"
"10762  :  โรงพยาบาลธัญบุรี","18,538","78","420.76","20","107.89","13","70.13","16","86.31","29","156.44"
"10763  :  โรงพยาบาลประชาธิปัตย์","10,899","14","128.45","3","27.53","4","36.70","5","45.88","2","18.35"
"10764  :  โรงพยาบาลหนองเสือ","5,024","72","1,433.12","20","398.09","16","318.47","19","378.18","17","338.38"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","3,347","188","5,616.97","53","1,583.51","50","1,493.88","60","1,792.65","25","746.94"
"10766  :  โรงพยาบาลลำลูกกา","0","479","0.00","118","0.00","125","0.00","101","0.00","135","0.00"
"10767  :  โรงพยาบาลสามโคก","2,759","49","1,776.01","8","289.96","17","616.17","8","289.96","16","579.92"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","29","0.00","29","0.00","0","0.00","0","0.00","0","0.00"
"10688  :  โรงพยาบาลเสนา","2,447","27","1,103.39","27","1,103.39","0","0.00","0","0.00","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","11,385","9","79.05","9","79.05","0","0.00","0","0.00","0","0.00"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","11","0.00","11","0.00","0","0.00","0","0.00","0","0.00"
"10770  :  โรงพยาบาลบางไทร","2,779","13","467.79","13","467.79","0","0.00","0","0.00","0","0.00"
"10771  :  โรงพยาบาลบางบาล","1,441","4","277.59","4","277.59","0","0.00","0","0.00","0","0.00"
"10772  :  โรงพยาบาลบางปะอิน","11,433","7","61.23","7","61.23","0","0.00","0","0.00","0","0.00"
"10773  :  โรงพยาบาลบางปะหัน","1,336","11","823.35","11","823.35","0","0.00","0","0.00","0","0.00"
"10774  :  โรงพยาบาลผักไห่","1,004","3","298.80","3","298.80","0","0.00","0","0.00","0","0.00"
"10775  :  โรงพยาบาลภาชี","5,227","8","153.05","8","153.05","0","0.00","0","0.00","0","0.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","2,104","24","1,140.68","24","1,140.68","0","0.00","0","0.00","0","0.00"
"10777  :  โรงพยาบาลวังน้อย","5,886","25","424.74","25","424.74","0","0.00","0","0.00","0","0.00"
"10778  :  โรงพยาบาลบางซ้าย","3,252","17","522.76","1","30.75","7","215.25","5","153.75","4","123.00"
"10779  :  โรงพยาบาลอุทัย","1,107","11","993.68","11","993.68","0","0.00","0","0.00","0","0.00"
"10780  :  โรงพยาบาลมหาราช","1,523","5","328.30","5","328.30","0","0.00","0","0.00","0","0.00"
"10781  :  โรงพยาบาลบ้านแพรก","1,105","6","542.99","6","542.99","0","0.00","0","0.00","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","1,062","167","15,725.05","43","4,048.96","46","4,331.45","45","4,237.29","33","3,107.34"
"10782  :  โรงพยาบาลไชโย","2,011","41","2,038.79","15","745.90","9","447.54","9","447.54","8","397.81"
"10784  :  โรงพยาบาลป่าโมก","3,678","198","5,383.36","128","3,480.15","51","1,386.62","9","244.70","10","271.89"
"10785  :  โรงพยาบาลโพธิ์ทอง","2,570","149","5,797.67","39","1,517.51","26","1,011.67","30","1,167.32","54","2,101.17"
"10786  :  โรงพยาบาลแสวงหา","5,374","125","2,326.01","35","651.28","21","390.77","31","576.85","38","707.11"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","5,830","81","1,389.37","32","548.89","16","274.44","20","343.05","13","222.98"
"10788  :  โรงพยาบาลสามโก้","1,473","79","5,363.20","20","1,357.77","18","1,222.00","28","1,900.88","13","882.55"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","5","549","10,980,000.00","113","2,260,000.00","130","2,600,000.00","145","2,900,000.00","161","3,220,000.00"
"10691  :  โรงพยาบาลบ้านหมี่","1,921","282","14,679.85","52","2,706.92","73","3,800.10","73","3,800.10","84","4,372.72"
"10789  :  โรงพยาบาลพัฒนานิคม","6,987","294","4,207.81","51","729.93","70","1,001.86","83","1,187.92","90","1,288.11"
"10790  :  โรงพยาบาลโคกสำโรง","7,635","322","4,217.42","111","1,453.83","78","1,021.61","69","903.73","64","838.24"
"10791  :  โรงพยาบาลชัยบาดาล","14,104","361","2,559.56","117","829.55","87","616.85","50","354.51","107","758.65"
"10792  :  โรงพยาบาลท่าวุ้ง","3,225","179","5,550.39","49","1,519.38","41","1,271.32","37","1,147.29","52","1,612.40"
"10793  :  โรงพยาบาลท่าหลวง","4,521","101","2,234.02","30","663.57","22","486.62","18","398.14","31","685.69"
"10794  :  โรงพยาบาลสระโบสถ์","7,187","141","1,961.88","45","626.13","42","584.39","29","403.51","25","347.85"
"10795  :  โรงพยาบาลโคกเจริญ","3,831","75","1,957.71","21","548.16","12","313.23","21","548.16","21","548.16"
"10796  :  โรงพยาบาลลำสนธิ","3,848","74","1,923.08","15","389.81","14","363.83","16","415.80","29","753.64"
"10797  :  โรงพยาบาลหนองม่วง","4,011","128","3,191.22","24","598.35","29","723.01","37","922.46","38","947.39"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","8,555","162","1,893.63","51","596.14","44","514.32","29","338.98","38","444.18"
"10693  :  โรงพยาบาลอินทร์บุรี","1,658","139","8,383.59","38","2,291.92","39","2,352.23","31","1,869.72","31","1,869.72"
"10798  :  โรงพยาบาลบางระจัน","3,131","48","1,533.06","15","479.08","13","415.20","10","319.39","10","319.39"
"10799  :  โรงพยาบาลค่ายบางระจัน","4,015","58","1,444.58","24","597.76","11","273.97","11","273.97","12","298.88"
"10800  :  โรงพยาบาลพรหมบุรี","3,729","77","2,064.90","25","670.42","17","455.89","17","455.89","18","482.70"
"10801  :  โรงพยาบาลท่าช้าง","1,935","48","2,480.62","14","723.51","6","310.08","12","620.16","16","826.87"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","362","0.00","100","0.00","83","0.00","76","0.00","103","0.00"
"10802  :  โรงพยาบาลมโนรมย์","3,570","99","2,773.11","27","756.30","17","476.19","18","504.20","37","1,036.41"
"10803  :  โรงพยาบาลวัดสิงห์","3,654","65","1,778.87","14","383.14","13","355.77","22","602.08","16","437.88"
"10804  :  โรงพยาบาลสรรพยา","1,670","259","15,508.98","56","3,353.29","65","3,892.22","64","3,832.34","74","4,431.14"
"10805  :  โรงพยาบาลสรรคบุรี","5,774","165","2,857.64","54","935.23","53","917.91","33","571.53","25","432.98"
"10806  :  โรงพยาบาลหันคา","5,833","101","1,731.53","22","377.16","20","342.88","35","600.03","24","411.45"
"27974  :  โรงพยาบาลหนองมะโมง","935","74","7,914.44","15","1,604.28","15","1,604.28","17","1,818.18","27","2,887.70"
"27975  :  โรงพยาบาลเนินขาม","1","11","1,100,000.00","3","300,000.00","0","0.00","3","300,000.00","5","500,000.00"
"10661  :  โรงพยาบาลสระบุรี","37,979","327","861.00","84","221.17","85","223.81","72","189.58","86","226.44"
"10695  :  โรงพยาบาลพระพุทธบาท","0","382","0.00","104","0.00","98","0.00","78","0.00","102","0.00"
"10807  :  โรงพยาบาลแก่งคอย","9,460","98","1,035.94","23","243.13","20","211.42","27","285.41","28","295.98"
"10808  :  โรงพยาบาลหนองแค","9,866","74","750.05","26","263.53","30","304.07","12","121.63","6","60.81"
"10809  :  โรงพยาบาลวิหารแดง","3,787","196","5,175.60","50","1,320.31","46","1,214.68","53","1,399.52","47","1,241.09"
"10810  :  โรงพยาบาลหนองแซง","3,755","10","266.31","2","53.26","3","79.89","3","79.89","2","53.26"
"10811  :  โรงพยาบาลบ้านหมอ","5,375","239","4,446.51","71","1,320.93","61","1,134.88","46","855.81","61","1,134.88"
"10812  :  โรงพยาบาลดอนพุด","1","55","5,500,000.00","11","1,100,000.00","14","1,400,000.00","13","1,300,000.00","17","1,700,000.00"
"10813  :  โรงพยาบาลหนองโดน","3,366","21","623.89","8","237.67","3","89.13","6","178.25","4","118.84"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","2,480","21","846.77","4","161.29","10","403.23","3","120.97","4","161.29"
"10815  :  โรงพยาบาลมวกเหล็ก","7,120","107","1,502.81","36","505.62","23","323.03","26","365.17","22","308.99"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","8,464","179","2,114.84","57","673.44","40","472.59","40","472.59","42","496.22"
"11485  :  โรงพยาบาลค่ายอดิศร","20,636","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","301","0.00","98","0.00","65","0.00","50","0.00","88","0.00"
"10817  :  โรงพยาบาลบ้านบึง","19,775","180","910.24","53","268.02","33","166.88","38","192.16","56","283.19"
"10818  :  โรงพยาบาลหนองใหญ่","4,863","126","2,590.99","41","843.10","26","534.65","22","452.40","37","760.85"
"10819  :  โรงพยาบาลบางละมุง","29,696","548","1,845.37","145","488.28","151","508.49","135","454.61","117","393.99"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","2,736","53","1,937.13","15","548.25","15","548.25","8","292.40","15","548.25"
"10821  :  โรงพยาบาลพานทอง","8,040","205","2,549.75","47","584.58","54","671.64","49","609.45","55","684.08"
"10822  :  โรงพยาบาลพนัสนิคม","11,117","320","2,878.47","56","503.73","76","683.64","76","683.64","112","1,007.47"
"10823  :  โรงพยาบาลแหลมฉบัง","58,334","114","195.43","30","51.43","20","34.29","20","34.29","44","75.43"
"10824  :  โรงพยาบาลเกาะสีชัง","2,910","8","274.91","5","171.82","0","0.00","2","68.73","1","34.36"
"10825  :  โรงพยาบาลสัตหีบกม10","28,248","58","205.32","21","74.34","21","74.34","9","31.86","7","24.78"
"10826  :  โรงพยาบาลบ่อทอง","3,508","102","2,907.64","32","912.20","24","684.15","20","570.13","26","741.16"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","8,298","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","243","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","8,288","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","32,312","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28005  :  โรงพยาบาลเมืองพัทยา","12,631","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00"
"28006  :  โรงพยาบาลเกาะจันทร์","4,650","171","3,677.42","44","946.24","54","1,161.29","35","752.69","38","817.20"
"10663  :  โรงพยาบาลระยอง","0","447","0.00","103","0.00","100","0.00","108","0.00","136","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","5,336","30","562.22","3","56.22","11","206.15","3","56.22","13","243.63"
