"โรงพยาบาล","เด็กกลุ่มอายุ  12 ปีในเขตรับผิดชอบ"
"ทั้งหมด(C)","ได้รับการตรวจสุขภาพช่องปาก (B)","ฟันดีไม่มีผุ(A)","อัตรา(A/B)*100"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","19","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0.00"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","0","0","0","0.00"
"10754  :  โรงพยาบาลบางจาก","208","44","13","29.55"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","215","2","1","50.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","228","56","53","94.64"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","125","11","8","72.73"
"28785  :  โรงพยาบาลบางเสาธง","39","6","5","83.33"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","43","12","11","91.67"
"10757  :  โรงพยาบาลบางใหญ่","277","14","12","85.71"
"10758  :  โรงพยาบาลบางบัวทอง","39","1","0","0.00"
"10759  :  โรงพยาบาลไทรน้อย","154","11","4","36.36"
"10760  :  โรงพยาบาลปากเกร็ด","123","8","8","100.00"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","7","2","1","50.00"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","47","9","9","100.00"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","68","17","10","58.82"
"10762  :  โรงพยาบาลธัญบุรี","213","19","14","73.68"
"10763  :  โรงพยาบาลประชาธิปัตย์","133","24","19","79.17"
"10764  :  โรงพยาบาลหนองเสือ","72","1","0","0.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","98","26","22","84.62"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","34","1","1","100.00"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","0","0","0","0.00"
"10768  :  โรงพยาบาลท่าเรือ","133","62","45","72.58"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","35","11","5","45.45"
"10770  :  โรงพยาบาลบางไทร","52","4","3","75.00"
"10771  :  โรงพยาบาลบางบาล","23","6","2","33.33"
"10772  :  โรงพยาบาลบางปะอิน","69","10","6","60.00"
"10773  :  โรงพยาบาลบางปะหัน","13","4","3","75.00"
"10774  :  โรงพยาบาลผักไห่","6","2","2","100.00"
"10775  :  โรงพยาบาลภาชี","58","2","2","100.00"
"10776  :  โรงพยาบาลลาดบัวหลวง","34","1","1","100.00"
"10777  :  โรงพยาบาลวังน้อย","137","39","22","56.41"
"10778  :  โรงพยาบาลบางซ้าย","40","24","19","79.17"
"10779  :  โรงพยาบาลอุทัย","8","2","2","100.00"
"10780  :  โรงพยาบาลมหาราช","17","3","3","100.00"
"10781  :  โรงพยาบาลบ้านแพรก","17","0","0","0.00"
"10689  :  โรงพยาบาลอ่างทอง","8","0","0","0.00"
"10782  :  โรงพยาบาลไชโย","26","10","8","80.00"
"10784  :  โรงพยาบาลป่าโมก","55","13","9","69.23"
"10785  :  โรงพยาบาลโพธิ์ทอง","43","11","6","54.55"
"10786  :  โรงพยาบาลแสวงหา","85","17","17","100.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","46","4","2","50.00"
"10788  :  โรงพยาบาลสามโก้","22","0","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0.00"
"10789  :  โรงพยาบาลพัฒนานิคม","76","0","0","0.00"
"10790  :  โรงพยาบาลโคกสำโรง","111","0","0","0.00"
"10791  :  โรงพยาบาลชัยบาดาล","196","8","3","37.50"
"10792  :  โรงพยาบาลท่าวุ้ง","40","9","6","66.67"
"10793  :  โรงพยาบาลท่าหลวง","72","0","0","0.00"
"10794  :  โรงพยาบาลสระโบสถ์","112","46","14","30.43"
"10795  :  โรงพยาบาลโคกเจริญ","70","32","20","62.50"
"10796  :  โรงพยาบาลลำสนธิ","93","10","7","70.00"
"10797  :  โรงพยาบาลหนองม่วง","58","0","0","0.00"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","84","19","17","89.47"
"10693  :  โรงพยาบาลอินทร์บุรี","20","1","1","100.00"
"10798  :  โรงพยาบาลบางระจัน","40","4","3","75.00"
"10799  :  โรงพยาบาลค่ายบางระจัน","83","19","12","63.16"
"10800  :  โรงพยาบาลพรหมบุรี","66","29","23","79.31"
"10801  :  โรงพยาบาลท่าช้าง","35","23","19","82.61"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","57","27","22","81.48"
"10803  :  โรงพยาบาลวัดสิงห์","49","29","27","93.10"
"10804  :  โรงพยาบาลสรรพยา","20","18","18","100.00"
"10805  :  โรงพยาบาลสรรคบุรี","57","21","17","80.95"
"10806  :  โรงพยาบาลหันคา","83","33","29","87.88"
"27974  :  โรงพยาบาลหนองมะโมง","20","3","2","66.67"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","139","15","15","100.00"
"10808  :  โรงพยาบาลหนองแค","11","0","0","0.00"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0","0.00"
"10810  :  โรงพยาบาลหนองแซง","30","1","1","100.00"
"10811  :  โรงพยาบาลบ้านหมอ","77","8","5","62.50"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","29","7","5","71.43"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","33","2","2","100.00"
"10815  :  โรงพยาบาลมวกเหล็ก","100","14","13","92.86"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","47","7","4","57.14"
"11485  :  โรงพยาบาลค่ายอดิศร","85","2","1","50.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","523","362","337","93.09"
"10818  :  โรงพยาบาลหนองใหญ่","83","8","4","50.00"
"10819  :  โรงพยาบาลบางละมุง","541","120","70","58.33"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","38","9","6","66.67"
"10821  :  โรงพยาบาลพานทอง","131","120","105","87.50"
"10822  :  โรงพยาบาลพนัสนิคม","147","65","50","76.92"
"10823  :  โรงพยาบาลแหลมฉบัง","1,062","403","251","62.28"
"10824  :  โรงพยาบาลเกาะสีชัง","38","36","30","83.33"
"10825  :  โรงพยาบาลสัตหีบกม10","484","113","93","82.30"
"10826  :  โรงพยาบาลบ่อทอง","74","35","21","60.00"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","28","8","7","87.50"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","1,262","94","54","57.45"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","4","1","1","100.00"
"28005  :  โรงพยาบาลเมืองพัทยา","213","64","41","64.06"
"28006  :  โรงพยาบาลเกาะจันทร์","47","18","10","55.56"
"10663  :  โรงพยาบาลระยอง","0","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","66","13","11","84.62"
"10828  :  โรงพยาบาลบ้านฉาง","316","69","47","68.12"
"10829  :  โรงพยาบาลแกลง","47","13","6","46.15"
"10830  :  โรงพยาบาลวังจันทร์","67","34","33","97.06"
"10831  :  โรงพยาบาลบ้านค่าย","24","2","0","0.00"
"10832  :  โรงพยาบาลปลวกแดง","626","6","2","33.33"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","19","1","1","100.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","33","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","0","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","71","8","3","37.50"
"10837  :  โรงพยาบาลสองพี่น้อง","62","11","9","81.82"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","176","74","46","62.16"
"10839  :  โรงพยาบาลมะขาม","0","0","0","0.00"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","102","45","33","73.33"
"10843  :  โรงพยาบาลนายายอาม","34","15","12","80.00"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","48","19","14","73.68"
"10696  :  โรงพยาบาลตราด","53","18","11","61.11"
"10845  :  โรงพยาบาลคลองใหญ่","133","43","35","81.40"
"10846  :  โรงพยาบาลเขาสมิง","81","31","24","77.42"
"10847  :  โรงพยาบาลบ่อไร่","90","12","9","75.00"
"10848  :  โรงพยาบาลแหลมงอบ","64","36","19","52.78"
"10849  :  โรงพยาบาลเกาะกูด","26","5","2","40.00"
"13816  :  โรงพยาบาลเกาะช้าง","7","0","0","0.00"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","74","42","22","52.38"
"10850  :  โรงพยาบาลบางคล้า","214","14","13","92.86"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","41","4","3","75.00"
"10854  :  โรงพยาบาลพนมสารคาม","157","13","11","84.62"
"10855  :  โรงพยาบาลสนามชัยเขต","0","0","0","0.00"
"10856  :  โรงพยาบาลแปลงยาว","113","15","9","60.00"
"13747  :  โรงพยาบาลราชสาส์น","93","19","14","73.68"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","14","1","1","100.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","155","2","1","50.00"
"10858  :  โรงพยาบาลนาดี","73","1","0","0.00"
"10859  :  โรงพยาบาลบ้านสร้าง","47","15","9","60.00"
"10860  :  โรงพยาบาลประจันตคาม","74","11","9","81.82"
"10861  :  โรงพยาบาลศรีมหาโพธิ","112","8","7","87.50"
"10862  :  โรงพยาบาลศรีมโหสถ","99","88","77","87.50"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","13","1","1","100.00"
"10698  :  โรงพยาบาลนครนายก","155","55","32","58.18"
"10863  :  โรงพยาบาลปากพลี","11","4","3","75.00"
"10864  :  โรงพยาบาลบ้านนา","77","20","16","80.00"
"10865  :  โรงพยาบาลองครักษ์","34","12","4","33.33"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","1","1","1","100.00"
"10866  :  โรงพยาบาลคลองหาด","140","50","47","94.00"
"10867  :  โรงพยาบาลตาพระยา","88","23","18","78.26"
"10868  :  โรงพยาบาลวังน้ำเย็น","281","183","181","98.91"
"10869  :  โรงพยาบาลวัฒนานคร","127","13","8","61.54"
"10870  :  โรงพยาบาลอรัญประเทศ","130","78","78","100.00"
"13817  :  โรงพยาบาลเขาฉกรรจ์","63","5","4","80.00"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","127","23","14","60.87"
"10872  :  โรงพยาบาลเสิงสาง","147","67","41","61.19"
"10873  :  โรงพยาบาลคง","99","1","1","100.00"
"10874  :  โรงพยาบาลบ้านเหลื่อม","50","27","10","37.04"
"10875  :  โรงพยาบาลจักราช","125","61","47","77.05"
"10876  :  โรงพยาบาลโชคชัย","113","4","3","75.00"
"10877  :  โรงพยาบาลด่านขุนทด","136","2","0","0.00"
"10878  :  โรงพยาบาลโนนไทย","109","1","1","100.00"
"10879  :  โรงพยาบาลโนนสูง","95","10","7","70.00"
"10880  :  โรงพยาบาลขามสะแกแสง","118","29","28","96.55"
"10881  :  โรงพยาบาลบัวใหญ่","69","0","0","0.00"
"10882  :  โรงพยาบาลประทาย","97","1","0","0.00"
"10883  :  โรงพยาบาลปักธงชัย","61","16","12","75.00"
"10884  :  โรงพยาบาลพิมาย","102","29","18","62.07"
"10885  :  โรงพยาบาลห้วยแถลง","128","23","10","43.48"
"10886  :  โรงพยาบาลชุมพวง","148","66","46","69.70"
"10887  :  โรงพยาบาลสูงเนิน","234","53","34","64.15"
"10888  :  โรงพยาบาลขามทะเลสอ","53","13","11","84.62"
"10889  :  โรงพยาบาลสีคิ้ว","219","2","1","50.00"
"10890  :  โรงพยาบาลปากช่องนานา","59","12","10","83.33"
"10891  :  โรงพยาบาลหนองบุญมาก","54","20","10","50.00"
"10892  :  โรงพยาบาลแก้งสนามนาง","76","36","9","25.00"
"10893  :  โรงพยาบาลโนนแดง","71","32","15","46.88"
"10894  :  โรงพยาบาลวังน้ำเขียว","45","13","10","76.92"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","29","8","7","87.50"
"11608  :  โรงพยาบาลลำทะเมนชัย","61","27","23","85.19"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","183","21","15","71.43"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","139","4","2","50.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","16","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","60","1","1","100.00"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","24","2","1","50.00"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","2","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","52","1","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","49","19","12","63.16"
"27840  :  โรงพยาบาลสีดา","39","1","0","0.00"
"27841  :  โรงพยาบาลเทพารักษ์","87","45","41","91.11"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","143","82","42","51.22"
"10896  :  โรงพยาบาลกระสัง","100","3","2","66.67"
"10897  :  โรงพยาบาลนางรอง","0","0","0","0.00"
"10898  :  โรงพยาบาลหนองกี่","113","0","0","0.00"
"10899  :  โรงพยาบาลละหานทราย","151","8","6","75.00"
"10900  :  โรงพยาบาลประโคนชัย","100","48","32","66.67"
"10901  :  โรงพยาบาลบ้านกรวด","190","92","65","70.65"
"10902  :  โรงพยาบาลพุทไธสง","106","49","42","85.71"
"10904  :  โรงพยาบาลลำปลายมาศ","0","0","0","0.00"
"10905  :  โรงพยาบาลสตึก","127","14","11","78.57"
"10906  :  โรงพยาบาลปะคำ","73","24","16","66.67"
"10907  :  โรงพยาบาลนาโพธิ์","35","22","20","90.91"
"10908  :  โรงพยาบาลหนองหงส์","88","58","47","81.03"
"10909  :  โรงพยาบาลพลับพลาชัย","132","70","47","67.14"
"10910  :  โรงพยาบาลห้วยราช","36","12","12","100.00"
"10911  :  โรงพยาบาลโนนสุวรรณ","93","2","2","100.00"
"10912  :  โรงพยาบาลชำนิ","44","11","10","90.91"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","35","20","19","95.00"
"10914  :  โรงพยาบาลโนนดินแดง","103","46","45","97.83"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","48","0","0","0.00"
"23578  :  โรงพยาบาลแคนดง","81","27","17","62.96"
"28020  :  โรงพยาบาลบ้านด่าน","90","45","21","46.67"
"10668  :  โรงพยาบาลสุรินทร์","1","0","0","0.00"
"10915  :  โรงพยาบาลชุมพลบุรี","97","68","52","76.47"
"10916  :  โรงพยาบาลท่าตูม","286","13","8","61.54"
"10917  :  โรงพยาบาลจอมพระ","115","65","50","76.92"
"10918  :  โรงพยาบาลปราสาท","133","6","6","100.00"
"10919  :  โรงพยาบาลกาบเชิง","113","29","20","68.97"
"10920  :  โรงพยาบาลรัตนบุรี","154","78","45","57.69"
"10921  :  โรงพยาบาลสนม","90","9","5","55.56"
"10922  :  โรงพยาบาลศีขรภูมิ","96","11","7","63.64"
"10923  :  โรงพยาบาลสังขะ","122","15","13","86.67"
"10924  :  โรงพยาบาลลำดวน","80","51","48","94.12"
"10925  :  โรงพยาบาลสำโรงทาบ","103","14","14","100.00"
"10926  :  โรงพยาบาลบัวเชด","123","73","52","71.23"
"11494  :  โรงพยาบาลค่ายวีรวัฒน์โยธิน","4","0","0","0.00"
"22302  :  โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา","38","28","20","71.43"
"27842  :  โรงพยาบาลเขวาสินรินทร์","31","13","13","100.00"
"27843  :  โรงพยาบาลศรีณรงค์","56","36","16","44.44"
"27844  :  โรงพยาบาลโนนนารายณ์","25","1","1","100.00"
"10700  :  โรงพยาบาลศรีสะเกษ","28","3","1","33.33"
"10927  :  โรงพยาบาลยางชุมน้อย","78","49","41","83.67"
