"โรงพยาบาล","ผู้สูงอายุ 60 ปีขึ้นไป"
"ทั้งหมด(คน)","ได้รับการตรวจสุขภาพช่องปาก (B)","มีฟันแท้ใช้งานได้ไม่น้อยกว่า 20 ซี่ (A)","ร้อยละ"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","6","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","2","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","808","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","66","6","4","66.67"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0.00"
"10753  :  โรงพยาบาลบางพลี","34","2","2","100.00"
"10754  :  โรงพยาบาลบางจาก","342","27","9","33.33"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","2,420","68","17","25.00"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,215","90","47","52.22"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","51","2","1","50.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","2,409","19","7","36.84"
"28785  :  โรงพยาบาลบางเสาธง","186","25","10","40.00"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0.00"
"10756  :  โรงพยาบาลบางกรวย","1,740","151","58","38.41"
"10757  :  โรงพยาบาลบางใหญ่","2,415","155","59","38.06"
"10758  :  โรงพยาบาลบางบัวทอง","1,439","87","37","42.53"
"10759  :  โรงพยาบาลไทรน้อย","2,475","270","94","34.81"
"10760  :  โรงพยาบาลปากเกร็ด","4,677","211","67","31.75"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","3,794","36","15","41.67"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","459","36","19","52.78"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","728","92","31","33.70"
"10762  :  โรงพยาบาลธัญบุรี","1,141","311","102","32.80"
"10763  :  โรงพยาบาลประชาธิปัตย์","2,756","132","64","48.48"
"10764  :  โรงพยาบาลหนองเสือ","1,017","51","17","33.33"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","948","162","48","29.63"
"10766  :  โรงพยาบาลลำลูกกา","2","0","0","0.00"
"10767  :  โรงพยาบาลสามโคก","653","73","28","38.36"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","36","1","1","100.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","604","221","54","24.43"
"10768  :  โรงพยาบาลท่าเรือ","2,820","290","113","38.97"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","67","41","30","73.17"
"10770  :  โรงพยาบาลบางไทร","696","21","7","33.33"
"10771  :  โรงพยาบาลบางบาล","349","53","12","22.64"
"10772  :  โรงพยาบาลบางปะอิน","1,416","242","77","31.82"
"10773  :  โรงพยาบาลบางปะหัน","449","61","28","45.90"
"10774  :  โรงพยาบาลผักไห่","337","11","1","9.09"
"10775  :  โรงพยาบาลภาชี","1,388","122","52","42.62"
"10776  :  โรงพยาบาลลาดบัวหลวง","433","90","27","30.00"
"10777  :  โรงพยาบาลวังน้อย","810","124","41","33.06"
"10778  :  โรงพยาบาลบางซ้าย","638","123","37","30.08"
"10779  :  โรงพยาบาลอุทัย","212","81","29","35.80"
"10780  :  โรงพยาบาลมหาราช","379","79","24","30.38"
"10781  :  โรงพยาบาลบ้านแพรก","250","34","10","29.41"
"10689  :  โรงพยาบาลอ่างทอง","347","2","1","50.00"
"10782  :  โรงพยาบาลไชโย","530","21","9","42.86"
"10784  :  โรงพยาบาลป่าโมก","958","48","11","22.92"
"10785  :  โรงพยาบาลโพธิ์ทอง","758","97","18","18.56"
"10786  :  โรงพยาบาลแสวงหา","1,493","5","0","0.00"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,663","218","87","39.91"
"10788  :  โรงพยาบาลสามโก้","475","1","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0.00"
"10691  :  โรงพยาบาลบ้านหมี่","618","76","41","53.95"
"10789  :  โรงพยาบาลพัฒนานิคม","1,507","150","49","32.67"
"10790  :  โรงพยาบาลโคกสำโรง","1,706","23","6","26.09"
"10791  :  โรงพยาบาลชัยบาดาล","2,965","141","70","49.65"
"10792  :  โรงพยาบาลท่าวุ้ง","1,012","119","27","22.69"
"10793  :  โรงพยาบาลท่าหลวง","1,120","32","11","34.38"
"10794  :  โรงพยาบาลสระโบสถ์","1,597","138","56","40.58"
"10795  :  โรงพยาบาลโคกเจริญ","967","247","110","44.53"
"10796  :  โรงพยาบาลลำสนธิ","968","107","38","35.51"
"10797  :  โรงพยาบาลหนองม่วง","1,159","17","8","47.06"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","2,304","374","89","23.80"
"10693  :  โรงพยาบาลอินทร์บุรี","601","31","12","38.71"
"10798  :  โรงพยาบาลบางระจัน","974","33","13","39.39"
"10799  :  โรงพยาบาลค่ายบางระจัน","1,167","16","4","25.00"
"10800  :  โรงพยาบาลพรหมบุรี","1,094","99","38","38.38"
"10801  :  โรงพยาบาลท่าช้าง","683","141","41","29.08"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0.00"
"10802  :  โรงพยาบาลมโนรมย์","953","69","17","24.64"
"10803  :  โรงพยาบาลวัดสิงห์","1,036","226","79","34.96"
"10804  :  โรงพยาบาลสรรพยา","455","146","26","17.81"
"10805  :  โรงพยาบาลสรรคบุรี","1,718","308","73","23.70"
"10806  :  โรงพยาบาลหันคา","1,626","1,041","663","63.69"
"27974  :  โรงพยาบาลหนองมะโมง","272","31","12","38.71"
"27975  :  โรงพยาบาลเนินขาม","0","0","0","0.00"
"10661  :  โรงพยาบาลสระบุรี","0","0","0","0.00"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","2,628","557","117","21.01"
"10808  :  โรงพยาบาลหนองแค","476","41","11","26.83"
"10809  :  โรงพยาบาลวิหารแดง","810","267","88","32.96"
"10810  :  โรงพยาบาลหนองแซง","1,096","112","35","31.25"
"10811  :  โรงพยาบาลบ้านหมอ","1,499","46","21","45.65"
"10812  :  โรงพยาบาลดอนพุด","0","0","0","0.00"
"10813  :  โรงพยาบาลหนองโดน","908","107","32","29.91"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","573","260","203","78.08"
"10815  :  โรงพยาบาลมวกเหล็ก","1,981","271","126","46.49"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","665","48","20","41.67"
"11485  :  โรงพยาบาลค่ายอดิศร","1,039","39","24","61.54"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","4,094","1,595","248","15.55"
"10818  :  โรงพยาบาลหนองใหญ่","830","227","57","25.11"
"10819  :  โรงพยาบาลบางละมุง","4,041","533","186","34.90"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","468","53","11","20.75"
"10821  :  โรงพยาบาลพานทอง","1,329","195","79","40.51"
"10822  :  โรงพยาบาลพนัสนิคม","2,863","246","133","54.07"
"10823  :  โรงพยาบาลแหลมฉบัง","7,396","1,301","378","29.05"
"10824  :  โรงพยาบาลเกาะสีชัง","532","241","70","29.05"
"10825  :  โรงพยาบาลสัตหีบกม10","5,045","434","116","26.73"
"10826  :  โรงพยาบาลบ่อทอง","700","59","24","40.68"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","401","38","23","60.53"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","75","2","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","11,584","236","131","55.51"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","32","1","1","100.00"
"28005  :  โรงพยาบาลเมืองพัทยา","1,002","32","7","21.88"
"28006  :  โรงพยาบาลเกาะจันทร์","512","58","10","17.24"
"10663  :  โรงพยาบาลระยอง","0","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","547","50","30","60.00"
"10828  :  โรงพยาบาลบ้านฉาง","3,763","17","5","29.41"
"10829  :  โรงพยาบาลแกลง","722","401","108","26.93"
"10830  :  โรงพยาบาลวังจันทร์","842","152","59","38.82"
"10831  :  โรงพยาบาลบ้านค่าย","1,245","11","4","36.36"
"10832  :  โรงพยาบาลปลวกแดง","1,037","103","27","26.21"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","307","20","4","20.00"
"23962  :  โรงพยาบาลนิคมพัฒนา","540","0","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","0","0","0.00"
"10834  :  โรงพยาบาลขลุง","0","0","0","0.00"
"10835  :  โรงพยาบาลท่าใหม่","11","0","0","0.00"
"10836  :  โรงพยาบาลเขาสุกิม","1,110","35","10","28.57"
"10837  :  โรงพยาบาลสองพี่น้อง","1,184","83","26","31.33"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","1,886","120","40","33.33"
"10839  :  โรงพยาบาลมะขาม","283","33","18","54.55"
"10840  :  โรงพยาบาลแหลมสิงห์","0","0","0","0.00"
"10841  :  โรงพยาบาลสอยดาว","0","0","0","0.00"
"10842  :  โรงพยาบาลแก่งหางแมว","773","47","21","44.68"
"10843  :  โรงพยาบาลนายายอาม","569","126","41","32.54"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","990","195","82","42.05"
"10696  :  โรงพยาบาลตราด","1,487","12","5","41.67"
"10845  :  โรงพยาบาลคลองใหญ่","1,876","185","61","32.97"
"10846  :  โรงพยาบาลเขาสมิง","1,228","52","17","32.69"
"10847  :  โรงพยาบาลบ่อไร่","1,252","209","98","46.89"
"10848  :  โรงพยาบาลแหลมงอบ","786","101","39","38.61"
"10849  :  โรงพยาบาลเกาะกูด","173","39","11","28.21"
"13816  :  โรงพยาบาลเกาะช้าง","153","32","10","31.25"
"10697  :  โรงพยาบาลพุทธโสธร","4","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","546","172","94","54.65"
"10850  :  โรงพยาบาลบางคล้า","2,981","918","359","39.11"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","2","0","0","0.00"
"10852  :  โรงพยาบาลบางปะกง","0","0","0","0.00"
"10853  :  โรงพยาบาลบ้านโพธิ์","616","84","38","45.24"
"10854  :  โรงพยาบาลพนมสารคาม","1,970","247","76","30.77"
"10855  :  โรงพยาบาลสนามชัยเขต","845","116","40","34.48"
"10856  :  โรงพยาบาลแปลงยาว","964","288","75","26.04"
"13747  :  โรงพยาบาลราชสาส์น","1,153","176","65","36.93"
"31327  :  โรงพยาบาลคลองเขื่อน","0","0","0","0.00"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","215","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","1,361","67","33","49.25"
"10858  :  โรงพยาบาลนาดี","1,195","47","15","31.91"
"10859  :  โรงพยาบาลบ้านสร้าง","822","170","53","31.18"
"10860  :  โรงพยาบาลประจันตคาม","2,085","91","32","35.16"
"10861  :  โรงพยาบาลศรีมหาโพธิ","1,162","855","609","71.23"
"10862  :  โรงพยาบาลศรีมโหสถ","1,537","207","64","30.92"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","246","7","3","42.86"
"10698  :  โรงพยาบาลนครนายก","3,053","299","118","39.46"
"10863  :  โรงพยาบาลปากพลี","499","35","12","34.29"
"10864  :  โรงพยาบาลบ้านนา","1,445","129","50","38.76"
"10865  :  โรงพยาบาลองครักษ์","559","95","40","42.11"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","37","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","2","0","0","0.00"
"10866  :  โรงพยาบาลคลองหาด","1,184","505","201","39.80"
"10867  :  โรงพยาบาลตาพระยา","800","249","120","48.19"
"10868  :  โรงพยาบาลวังน้ำเย็น","2,785","498","224","44.98"
"10869  :  โรงพยาบาลวัฒนานคร","1,823","332","114","34.34"
"10870  :  โรงพยาบาลอรัญประเทศ","1,701","338","158","46.75"
"13817  :  โรงพยาบาลเขาฉกรรจ์","743","48","16","33.33"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","3","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","0","0","0.00"
"10871  :  โรงพยาบาลครบุรี","1,586","2","1","50.00"
"10872  :  โรงพยาบาลเสิงสาง","1,291","116","61","52.59"
"10873  :  โรงพยาบาลคง","1,638","158","56","35.44"
"10874  :  โรงพยาบาลบ้านเหลื่อม","959","125","61","48.80"
"10875  :  โรงพยาบาลจักราช","1,268","205","82","40.00"
"10876  :  โรงพยาบาลโชคชัย","1,833","185","58","31.35"
"10877  :  โรงพยาบาลด่านขุนทด","2,151","52","22","42.31"
"10878  :  โรงพยาบาลโนนไทย","1,934","2","1","50.00"
"10879  :  โรงพยาบาลโนนสูง","1,488","122","56","45.90"
"10880  :  โรงพยาบาลขามสะแกแสง","1,991","4","1","25.00"
"10881  :  โรงพยาบาลบัวใหญ่","873","0","0","0.00"
"10882  :  โรงพยาบาลประทาย","1,308","118","42","35.59"
"10883  :  โรงพยาบาลปักธงชัย","962","24","11","45.83"
"10884  :  โรงพยาบาลพิมาย","1,695","9","4","44.44"
"10885  :  โรงพยาบาลห้วยแถลง","1,378","185","78","42.16"
"10886  :  โรงพยาบาลชุมพวง","1,537","143","63","44.06"
"10887  :  โรงพยาบาลสูงเนิน","2,787","531","205","38.61"
"10888  :  โรงพยาบาลขามทะเลสอ","1,170","236","108","45.76"
"10889  :  โรงพยาบาลสีคิ้ว","4,314","239","103","43.10"
"10890  :  โรงพยาบาลปากช่องนานา","1,793","82","49","59.76"
"10891  :  โรงพยาบาลหนองบุญมาก","546","26","21","80.77"
"10892  :  โรงพยาบาลแก้งสนามนาง","55","25","9","36.00"
"10893  :  โรงพยาบาลโนนแดง","1,257","362","201","55.52"
"10894  :  โรงพยาบาลวังน้ำเขียว","529","62","26","41.94"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","1,576","14","10","71.43"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","446","1","1","100.00"
"11608  :  โรงพยาบาลลำทะเมนชัย","831","20","11","55.00"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","1,412","14","9","64.29"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","3,288","18","8","44.44"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","96","0","0","0.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","5","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","106","1","1","100.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","1,113","113","42","37.17"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","1,150","17","11","64.71"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","57","5","5","100.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","741","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","624","33","20","60.61"
"27840  :  โรงพยาบาลสีดา","498","53","26","49.06"
"27841  :  โรงพยาบาลเทพารักษ์","966","78","37","47.44"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","1,402","205","114","55.61"
"10896  :  โรงพยาบาลกระสัง","1,350","1,131","876","77.45"
"10897  :  โรงพยาบาลนางรอง","4,407","184","113","61.41"
"10898  :  โรงพยาบาลหนองกี่","1,509","90","49","54.44"
"10899  :  โรงพยาบาลละหานทราย","1,334","164","79","48.17"
"10900  :  โรงพยาบาลประโคนชัย","2,427","238","105","44.12"
"10901  :  โรงพยาบาลบ้านกรวด","1,568","1,237","609","49.23"
"10902  :  โรงพยาบาลพุทไธสง","1,726","755","338","44.77"
"10904  :  โรงพยาบาลลำปลายมาศ","1","0","0","0.00"
"10905  :  โรงพยาบาลสตึก","2,091","78","35","44.87"
"10906  :  โรงพยาบาลปะคำ","1,035","735","487","66.26"
"10907  :  โรงพยาบาลนาโพธิ์","930","494","262","53.04"
"10908  :  โรงพยาบาลหนองหงส์","949","261","160","61.30"
"10909  :  โรงพยาบาลพลับพลาชัย","1,091","103","45","43.69"
"10910  :  โรงพยาบาลห้วยราช","591","254","123","48.43"
"10911  :  โรงพยาบาลโนนสุวรรณ","793","81","51","62.96"
"10912  :  โรงพยาบาลชำนิ","617","22","11","50.00"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","643","157","68","43.31"
"10914  :  โรงพยาบาลโนนดินแดง","1,326","306","163","53.27"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","204","18","9","50.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","1,122","70","31","44.29"
"23578  :  โรงพยาบาลแคนดง","1,078","216","148","68.52"
"28020  :  โรงพยาบาลบ้านด่าน","1,278","586","293","50.00"
"10668  :  โรงพยาบาลสุรินทร์","142","6","6","100.00"
"10915  :  โรงพยาบาลชุมพลบุรี","1,251","28","20","71.43"
"10916  :  โรงพยาบาลท่าตูม","2,853","28","9","32.14"
"10917  :  โรงพยาบาลจอมพระ","1,563","89","59","66.29"
"10918  :  โรงพยาบาลปราสาท","1,623","13","10","76.92"
"10919  :  โรงพยาบาลกาบเชิง","975","88","43","48.86"
"10920  :  โรงพยาบาลรัตนบุรี","1,801","109","67","61.47"
"10921  :  โรงพยาบาลสนม","1,151","429","247","57.58"
"10922  :  โรงพยาบาลศีขรภูมิ","1,931","16","10","62.50"
"10923  :  โรงพยาบาลสังขะ","1,402","49","29","59.18"
"10924  :  โรงพยาบาลลำดวน","1,339","295","159","53.90"
"10925  :  โรงพยาบาลสำโรงทาบ","1,230","0","0","0.00"
"10926  :  โรงพยาบาลบัวเชด","922","164","112","68.29"
