"โรงพยาบาล","ผู้สูงอายุ 60 ปีขึ้นไป"
"ทั้งหมด(คน)","ได้รับการตรวจสุขภาพช่องปาก (B)","มีฟันแท้ใช้งานได้ไม่น้อยกว่า 20 ซี่ (A)","ร้อยละ"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0.00"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0.00"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0.00"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0.00"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0.00"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0.00"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0.00"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0.00"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0.00"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0.00"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0.00"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0.00"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0.00"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0.00"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0.00"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0.00"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0.00"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0.00"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0.00"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0.00"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0.00"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0.00"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0.00"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0.00"
"12246  :  สถาบันราชานุกูล","0","0","0","0.00"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0.00"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0.00"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0.00"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0.00"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0.00"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0.00"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0.00"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0.00"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0.00"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0.00"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0.00"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0","0.00"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0.00"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0.00"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"22155  :  โรงพยาบาลครู","0","0","0","0.00"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0.00"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0.00"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0.00"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0.00"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0.00"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0.00"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0.00"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0.00"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0.00"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0.00"
"10685  :  โรงพยาบาลสมุทรปราการ","0","5,516","3,240","58.74"
"10752  :  โรงพยาบาลบางบ่อ","0","1,011","605","59.84"
"10753  :  โรงพยาบาลบางพลี","0","2,320","1,138","49.05"
"10754  :  โรงพยาบาลบางจาก","0","865","549","63.47"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","0","2,447","1,394","56.97"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","0","0","0","0.00"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0.00"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","2","2","100.00"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","0","0","0","0.00"
"28785  :  โรงพยาบาลบางเสาธง","0","745","460","61.74"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","4,409","2,552","57.88"
"10756  :  โรงพยาบาลบางกรวย","0","4,584","3,237","70.62"
"10757  :  โรงพยาบาลบางใหญ่","0","3,135","2,429","77.48"
"10758  :  โรงพยาบาลบางบัวทอง","0","5,351","3,783","70.70"
"10759  :  โรงพยาบาลไทรน้อย","0","1,726","1,063","61.59"
"10760  :  โรงพยาบาลปากเกร็ด","0","2,198","1,376","62.60"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0.00"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0.00"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0.00"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0.00"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0.00"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0.00"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0.00"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","0","93","83","89.25"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0.00"
"28875  :  โรงพยาบาลบางบัวทอง ๒","0","906","566","62.47"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0.00"
"10761  :  โรงพยาบาลคลองหลวง","0","2,026","1,129","55.73"
"10762  :  โรงพยาบาลธัญบุรี","0","8,947","6,159","68.84"
"10763  :  โรงพยาบาลประชาธิปัตย์","0","3,968","2,529","63.73"
"10764  :  โรงพยาบาลหนองเสือ","0","7","7","100.00"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","0","4,043","2,078","51.40"
"10766  :  โรงพยาบาลลำลูกกา","0","8,643","4,370","50.56"
"10767  :  โรงพยาบาลสามโคก","0","917","462","50.38"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0.00"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0.00"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0.00"
"10688  :  โรงพยาบาลเสนา","0","2,652","1,543","58.18"
"10768  :  โรงพยาบาลท่าเรือ","0","3,921","2,430","61.97"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","0","2,068","1,361","65.81"
"10770  :  โรงพยาบาลบางไทร","0","927","696","75.08"
"10771  :  โรงพยาบาลบางบาล","0","2,053","1,169","56.94"
"10772  :  โรงพยาบาลบางปะอิน","0","5,455","3,432","62.91"
"10773  :  โรงพยาบาลบางปะหัน","0","3,293","2,037","61.86"
"10774  :  โรงพยาบาลผักไห่","0","943","544","57.69"
"10775  :  โรงพยาบาลภาชี","0","2,340","1,696","72.48"
"10776  :  โรงพยาบาลลาดบัวหลวง","0","2,397","1,320","55.07"
"10777  :  โรงพยาบาลวังน้อย","0","4,183","2,378","56.85"
"10778  :  โรงพยาบาลบางซ้าย","0","1,793","1,204","67.15"
"10779  :  โรงพยาบาลอุทัย","0","1,379","739","53.59"
"10780  :  โรงพยาบาลมหาราช","0","1,587","1,063","66.98"
"10781  :  โรงพยาบาลบ้านแพรก","0","1,321","846","64.04"
"10689  :  โรงพยาบาลอ่างทอง","318","1","1","100.00"
"10782  :  โรงพยาบาลไชโย","499","6","3","50.00"
"10784  :  โรงพยาบาลป่าโมก","905","55","18","32.73"
"10785  :  โรงพยาบาลโพธิ์ทอง","716","82","19","23.17"
"10786  :  โรงพยาบาลแสวงหา","1,373","134","27","20.15"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,558","126","39","30.95"
"10788  :  โรงพยาบาลสามโก้","447","0","0","0.00"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","3,984","3,807","95.56"
"10691  :  โรงพยาบาลบ้านหมี่","0","4,743","4,070","85.81"
"10789  :  โรงพยาบาลพัฒนานิคม","0","3,233","2,403","74.33"
"10790  :  โรงพยาบาลโคกสำโรง","0","2,089","1,129","54.04"
"10791  :  โรงพยาบาลชัยบาดาล","0","3,962","3,080","77.74"
"10792  :  โรงพยาบาลท่าวุ้ง","0","1,629","1,025","62.92"
"10793  :  โรงพยาบาลท่าหลวง","0","322","283","87.89"
"10794  :  โรงพยาบาลสระโบสถ์","0","1,127","734","65.13"
"10795  :  โรงพยาบาลโคกเจริญ","0","1,498","1,057","70.56"
"10796  :  โรงพยาบาลลำสนธิ","0","2,170","1,470","67.74"
"10797  :  โรงพยาบาลหนองม่วง","0","948","465","49.05"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0.00"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0.00"
"10692  :  โรงพยาบาลสิงห์บุรี","2,166","103","46","44.66"
"10693  :  โรงพยาบาลอินทร์บุรี","558","58","21","36.21"
"10798  :  โรงพยาบาลบางระจัน","932","6","2","33.33"
"10799  :  โรงพยาบาลค่ายบางระจัน","1,026","72","21","29.17"
"10800  :  โรงพยาบาลพรหมบุรี","1,028","53","18","33.96"
"10801  :  โรงพยาบาลท่าช้าง","636","337","149","44.21"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","550","406","73.82"
"10802  :  โรงพยาบาลมโนรมย์","0","1,729","924","53.44"
"10803  :  โรงพยาบาลวัดสิงห์","0","1,426","838","58.77"
"10804  :  โรงพยาบาลสรรพยา","0","722","318","44.04"
"10805  :  โรงพยาบาลสรรคบุรี","0","4,065","2,651","65.22"
"10806  :  โรงพยาบาลหันคา","0","4,052","2,261","55.80"
"27974  :  โรงพยาบาลหนองมะโมง","0","189","102","53.97"
"27975  :  โรงพยาบาลเนินขาม","0","94","34","36.17"
"10661  :  โรงพยาบาลสระบุรี","0","7,303","5,231","71.63"
"10695  :  โรงพยาบาลพระพุทธบาท","0","0","0","0.00"
"10807  :  โรงพยาบาลแก่งคอย","0","2,803","1,959","69.89"
"10808  :  โรงพยาบาลหนองแค","0","2,107","1,478","70.15"
"10809  :  โรงพยาบาลวิหารแดง","0","3,306","2,018","61.04"
"10810  :  โรงพยาบาลหนองแซง","0","1,544","993","64.31"
"10811  :  โรงพยาบาลบ้านหมอ","0","1,948","1,257","64.53"
"10812  :  โรงพยาบาลดอนพุด","0","1,084","653","60.24"
"10813  :  โรงพยาบาลหนองโดน","0","1,142","761","66.64"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","0","3,069","2,286","74.49"
"10815  :  โรงพยาบาลมวกเหล็ก","0","3,709","2,573","69.37"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","0","1,269","890","70.13"
"11485  :  โรงพยาบาลค่ายอดิศร","0","0","0","0.00"
"10662  :  โรงพยาบาลชลบุรี","0","0","0","0.00"
"10817  :  โรงพยาบาลบ้านบึง","0","5,237","2,897","55.32"
"10818  :  โรงพยาบาลหนองใหญ่","0","1,591","960","60.34"
"10819  :  โรงพยาบาลบางละมุง","0","3,339","2,586","77.45"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","0","999","684","68.47"
"10821  :  โรงพยาบาลพานทอง","0","4,662","2,740","58.77"
"10822  :  โรงพยาบาลพนัสนิคม","0","9,979","5,922","59.34"
"10823  :  โรงพยาบาลแหลมฉบัง","0","9,557","5,157","53.96"
"10824  :  โรงพยาบาลเกาะสีชัง","0","1,146","656","57.24"
"10825  :  โรงพยาบาลสัตหีบกม10","0","4,203","3,056","72.71"
"10826  :  โรงพยาบาลบ่อทอง","0","3,212","1,908","59.40"
"11486  :  โรงพยาบาลค่ายนวมินทราชินี","0","23","18","78.26"
"11487  :  โรงพยาบาลอาภากรเกียรติวงศ์","0","0","0","0.00"
"13754  :  โรงพยาบาลสมเด็จพระบรมราชเทวี ณ ศรีราชา","0","0","0","0.00"
"13758  :  โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์","0","0","0","0.00"
"13760  :  โรงพยาบาลมะเร็งชลบุรี","0","0","0","0.00"
"13766  :  โรงพยาบาลมหาวิทยาลัยบูรพา","0","62","61","98.39"
"28005  :  โรงพยาบาลเมืองพัทยา","0","1,213","275","22.67"
"28006  :  โรงพยาบาลเกาะจันทร์","0","2,004","1,220","60.88"
"10663  :  โรงพยาบาลระยอง","0","0","0","0.00"
"10827  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง","551","45","31","68.89"
"10828  :  โรงพยาบาลบ้านฉาง","3,611","225","77","34.22"
"10829  :  โรงพยาบาลแกลง","713","496","129","26.01"
"10830  :  โรงพยาบาลวังจันทร์","787","34","17","50.00"
"10831  :  โรงพยาบาลบ้านค่าย","1,233","8","3","37.50"
"10832  :  โรงพยาบาลปลวกแดง","930","44","9","20.45"
"22734  :  โรงพยาบาลเขาชะเมา เฉลิมพระเกียรติ 80 พรรษา","299","11","3","27.27"
"23962  :  โรงพยาบาลนิคมพัฒนา","521","1","0","0.00"
"10664  :  โรงพยาบาลพระปกเกล้า","0","9,646","6,842","70.93"
"10834  :  โรงพยาบาลขลุง","0","404","187","46.29"
"10835  :  โรงพยาบาลท่าใหม่","0","719","530","73.71"
"10836  :  โรงพยาบาลเขาสุกิม","0","1,379","921","66.79"
"10837  :  โรงพยาบาลสองพี่น้อง","0","784","484","61.73"
"10838  :  โรงพยาบาลโป่งน้ำร้อน","0","1,488","655","44.02"
"10839  :  โรงพยาบาลมะขาม","0","2,458","1,509","61.39"
"10840  :  โรงพยาบาลแหลมสิงห์","0","1,356","909","67.04"
"10841  :  โรงพยาบาลสอยดาว","0","1,661","1,252","75.38"
"10842  :  โรงพยาบาลแก่งหางแมว","0","1,699","991","58.33"
"10843  :  โรงพยาบาลนายายอาม","0","3,583","2,348","65.53"
"10844  :  โรงพยาบาลเขาคิชฌกูฏ","0","1,711","810","47.34"
"10696  :  โรงพยาบาลตราด","1,419","27","13","48.15"
"10845  :  โรงพยาบาลคลองใหญ่","1,746","135","47","34.81"
"10846  :  โรงพยาบาลเขาสมิง","1,136","129","60","46.51"
"10847  :  โรงพยาบาลบ่อไร่","1,153","154","57","37.01"
"10848  :  โรงพยาบาลแหลมงอบ","735","131","47","35.88"
"10849  :  โรงพยาบาลเกาะกูด","158","12","2","16.67"
"13816  :  โรงพยาบาลเกาะช้าง","146","31","5","16.13"
"10697  :  โรงพยาบาลพุทธโสธร","0","0","0","0.00"
"10833  :  โรงพยาบาลท่าตะเกียบ","0","3,895","2,784","71.48"
"10850  :  โรงพยาบาลบางคล้า","0","5,383","3,193","59.32"
"10851  :  โรงพยาบาลบางน้ำเปรี้ยว","0","3,199","2,162","67.58"
"10852  :  โรงพยาบาลบางปะกง","0","3,762","2,484","66.03"
"10853  :  โรงพยาบาลบ้านโพธิ์","0","2,128","1,653","77.68"
"10854  :  โรงพยาบาลพนมสารคาม","0","4,267","2,602","60.98"
"10855  :  โรงพยาบาลสนามชัยเขต","0","961","683","71.07"
"10856  :  โรงพยาบาลแปลงยาว","0","2,808","1,525","54.31"
"13747  :  โรงพยาบาลราชสาส์น","0","1,394","878","62.98"
"31327  :  โรงพยาบาลคลองเขื่อน","0","705","546","77.45"
"10665  :  โรงพยาบาลเจ้าพระยาอภัยภูเบศร","0","0","0","0.00"
"10857  :  โรงพยาบาลกบินทร์บุรี","0","2,303","1,347","58.49"
"10858  :  โรงพยาบาลนาดี","0","1,197","737","61.57"
"10859  :  โรงพยาบาลบ้านสร้าง","0","1,714","1,053","61.44"
"10860  :  โรงพยาบาลประจันตคาม","0","2,031","1,152","56.72"
"10861  :  โรงพยาบาลศรีมหาโพธิ","0","2,030","987","48.62"
"10862  :  โรงพยาบาลศรีมโหสถ","0","0","0","0.00"
"11490  :  โรงพยาบาลค่ายจักรพงษ์","0","0","0","0.00"
"10698  :  โรงพยาบาลนครนายก","0","9,677","6,559","67.78"
"10863  :  โรงพยาบาลปากพลี","0","825","499","60.48"
"10864  :  โรงพยาบาลบ้านนา","0","4,509","2,730","60.55"
"10865  :  โรงพยาบาลองครักษ์","0","4,251","2,531","59.54"
"11491  :  โรงพยาบาลรร.นายร้อยพระจุลจอมเกล้า","0","0","0","0.00"
"14904  :  โรงพยาบาลศูนย์การแพทย์สมเด็จพระเทพรัตนราชสุดาฯ","0","0","0","0.00"
"10699  :  โรงพยาบาลสมเด็จพระยุพราชสระแก้ว","0","582","572","98.28"
"10866  :  โรงพยาบาลคลองหาด","0","3,848","2,450","63.67"
"10867  :  โรงพยาบาลตาพระยา","0","4,047","2,718","67.16"
"10868  :  โรงพยาบาลวังน้ำเย็น","0","2,967","1,771","59.69"
"10869  :  โรงพยาบาลวัฒนานคร","0","6,618","4,217","63.72"
"10870  :  โรงพยาบาลอรัญประเทศ","0","2,219","1,204","54.26"
"13817  :  โรงพยาบาลเขาฉกรรจ์","0","1,599","966","60.41"
"14717  :  โรงพยาบาลจิตเวชสระแก้วราชนครินทร์","0","0","0","0.00"
"10666  :  โรงพยาบาลมหาราชนครราชสีมา","0","24","19","79.17"
"10871  :  โรงพยาบาลครบุรี","0","12","2","16.67"
"10872  :  โรงพยาบาลเสิงสาง","0","959","524","54.64"
"10873  :  โรงพยาบาลคง","0","1,637","954","58.28"
"10874  :  โรงพยาบาลบ้านเหลื่อม","0","1,271","724","56.96"
"10875  :  โรงพยาบาลจักราช","0","4,617","2,795","60.54"
"10876  :  โรงพยาบาลโชคชัย","0","897","493","54.96"
"10877  :  โรงพยาบาลด่านขุนทด","0","441","188","42.63"
"10878  :  โรงพยาบาลโนนไทย","0","515","214","41.55"
"10879  :  โรงพยาบาลโนนสูง","0","550","443","80.55"
"10880  :  โรงพยาบาลขามสะแกแสง","0","200","137","68.50"
"10881  :  โรงพยาบาลบัวใหญ่","0","170","123","72.35"
"10882  :  โรงพยาบาลประทาย","0","2,449","1,336","54.55"
"10883  :  โรงพยาบาลปักธงชัย","0","2,005","1,280","63.84"
"10884  :  โรงพยาบาลพิมาย","0","266","184","69.17"
"10885  :  โรงพยาบาลห้วยแถลง","0","144","76","52.78"
"10886  :  โรงพยาบาลชุมพวง","0","4,513","2,587","57.32"
"10887  :  โรงพยาบาลสูงเนิน","0","5,543","3,686","66.50"
"10888  :  โรงพยาบาลขามทะเลสอ","0","0","0","0.00"
"10889  :  โรงพยาบาลสีคิ้ว","0","1,387","599","43.19"
"10890  :  โรงพยาบาลปากช่องนานา","0","0","0","0.00"
"10891  :  โรงพยาบาลหนองบุญมาก","0","274","182","66.42"
"10892  :  โรงพยาบาลแก้งสนามนาง","0","1,317","873","66.29"
"10893  :  โรงพยาบาลโนนแดง","0","1,639","810","49.42"
"10894  :  โรงพยาบาลวังน้ำเขียว","0","3,013","2,052","68.10"
"11492  :  โรงพยาบาลค่ายสุรนารี นครราชสีมา","0","0","0","0.00"
"11602  :  โรงพยาบาลเฉลิมพระเกียรติสมเด็จย่า 100 ปี","0","55","2","3.64"
"11608  :  โรงพยาบาลลำทะเมนชัย","0","1,458","759","52.06"
"11885  :  โรงพยาบาลเดอะโกลเดนเกท","0","0","0","0.00"
"11891  :  โรงพยาบาลราชสีมาฮอสพิทอล","0","0","0","0.00"
"12267  :  ศูนย์อนามัยที่ 9 นครราชสีมา","0","4","2","50.00"
"12268  :  โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์","0","0","0","0.00"
"14161  :  โรงพยาบาลกองบิน กองบิน1","0","0","0","0.00"
"22456  :  โรงพยาบาลพระทองคำ เฉลิมพระเกียรติ 80 พรรษา","0","931","591","63.48"
"23839  :  โรงพยาบาลเทพรัตน์นครราชสีมา","0","37","28","75.68"
"24060  :  โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี","0","0","0","0.00"
"24692  :  โรงพยาบาลเฉลิมพระเกียรติ","0","0","0","0.00"
"27839  :  โรงพยาบาลบัวลาย","0","539","340","63.08"
"27840  :  โรงพยาบาลสีดา","0","545","257","47.16"
"27841  :  โรงพยาบาลเทพารักษ์","0","180","109","60.56"
"10667  :  โรงพยาบาลบุรีรัมย์","0","0","0","0.00"
"10895  :  โรงพยาบาลคูเมือง","0","4,645","3,388","72.94"
"10896  :  โรงพยาบาลกระสัง","0","6,026","4,120","68.37"
"10897  :  โรงพยาบาลนางรอง","0","2,385","1,578","66.16"
"10898  :  โรงพยาบาลหนองกี่","0","2,403","1,224","50.94"
"10899  :  โรงพยาบาลละหานทราย","0","2,883","1,684","58.41"
"10900  :  โรงพยาบาลประโคนชัย","0","5,735","3,397","59.23"
"10901  :  โรงพยาบาลบ้านกรวด","0","4,812","2,831","58.83"
"10902  :  โรงพยาบาลพุทไธสง","0","2,097","1,122","53.51"
"10904  :  โรงพยาบาลลำปลายมาศ","0","364","294","80.77"
"10905  :  โรงพยาบาลสตึก","0","4,276","2,726","63.75"
"10906  :  โรงพยาบาลปะคำ","0","4,609","3,209","69.62"
"10907  :  โรงพยาบาลนาโพธิ์","0","4,173","2,875","68.90"
"10908  :  โรงพยาบาลหนองหงส์","0","2,088","1,298","62.16"
"10909  :  โรงพยาบาลพลับพลาชัย","0","1,282","711","55.46"
"10910  :  โรงพยาบาลห้วยราช","0","587","373","63.54"
"10911  :  โรงพยาบาลโนนสุวรรณ","0","2,155","1,702","78.98"
"10912  :  โรงพยาบาลชำนิ","0","424","287","67.69"
"10913  :  โรงพยาบาลบ้านใหม่ไชยพจน์","0","452","262","57.96"
"10914  :  โรงพยาบาลโนนดินแดง","0","385","170","44.16"
"11493  :  โรงพยาบาลค่ายสมเด็จเจ้าพระยามหากษัตริย์ศึก","0","0","0","0.00"
"11619  :  โรงพยาบาลเฉลิมพระเกียรติ","0","940","497","52.87"
"23578  :  โรงพยาบาลแคนดง","0","1,001","672","67.13"
"28020  :  โรงพยาบาลบ้านด่าน","0","1,708","1,074","62.88"
"10668  :  โรงพยาบาลสุรินทร์","134","38","25","65.79"
"10915  :  โรงพยาบาลชุมพลบุรี","1,186","41","27","65.85"
"10916  :  โรงพยาบาลท่าตูม","2,805","346","164","47.40"
"10917  :  โรงพยาบาลจอมพระ","1,492","174","104","59.77"
"10918  :  โรงพยาบาลปราสาท","1,496","18","10","55.56"
"10919  :  โรงพยาบาลกาบเชิง","955","274","133","48.54"
"10920  :  โรงพยาบาลรัตนบุรี","1,713","337","182","54.01"
