"โรงพยาบาล","จำนวนประชากรในเขตรับผิดชอบ","จำนวนประชากรสิทธิหลักประกันสุขภาพถ้วนหน้า","จำนวนประชากรสิทธิประกันสังคม","จำนวนประชากรสิทธิข้าราชการ","จำนวนอสม.","จำนวนหลังคาเรือน","จำนวนหมู่บ้าน","จำนวนโรงเรียน","จำนวนนักเรียน","จำนวนศูนย์เด็กเล็ก","จำนวนประชากรอายุ 60 ปี ขึ้นไป","จำนวนประชากรอายุ 0 ถึง 5 ปี","จำนวนอาสาสมัครประจำครอบครัว(อสค.)","จำนวนผู้ช่วยเหลือดูแลผู้สูงอายุที่มีภาวะพึ่งพิง(Caregiver)","จำนวนผู้พิการ","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(คน)","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(ครั้ง)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(คน)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(ครั้ง)"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","2,952","6","1","4","0","0","130","0","0","0","690","158","0","0","0","58,902","237,982","38,516","104,908"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","3","1","0","0","0","1,309","24","2","0","0","2","0","0","0","0","303,225","925,563","116,289","401,184"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10754  :  โรงพยาบาลบางจาก","15,864","9,057","3,852","588","0","6,405","6","2","0","1","2,660","1,188","0","0","8","50,943","140,766","24,157","66,746"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","13,377","9,082","2,750","558","169","6,754","6","5","0","1","2,721","598","0","0","25","69,058","172,805","20,163","60,876"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","10,184","6,799","109","1","0","4,831","6","0","0","0","1,552","757","0","0","105","13,858","48,064","7,962","27,026"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","10,542","7,952","2,345","167","0","3,729","5","2","0","0","1,984","360","0","0","5","20,991","49,269","12,914","27,463"
"28785  :  โรงพยาบาลบางเสาธง","2,895","2,093","426","219","0","1,106","4","2","0","0","728","156","0","0","3","17,818","50,319","9,208","22,632"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10756  :  โรงพยาบาลบางกรวย","5,888","3,353","1,402","555","44","3,993","6","3","0","2","1,315","110","0","0","53","66,389","182,903","17,932","53,941"
"10757  :  โรงพยาบาลบางใหญ่","10,675","6,149","1,902","1,574","1","0","0","0","0","0","2,668","153","0","0","17","78,925","224,830","38,907","103,748"
"10758  :  โรงพยาบาลบางบัวทอง","6,294","2,276","2,532","497","0","3,390","10","0","0","0","1,729","135","0","0","20","79,138","201,334","23,779","57,195"
"10759  :  โรงพยาบาลไทรน้อย","15,621","9,391","2,778","1,700","0","14,997","12","5","0","4","3,225","793","0","0","53","71,936","223,084","30,292","87,110"
"10760  :  โรงพยาบาลปากเกร็ด","14,046","6,380","2,219","1,989","0","3,974","3","1","0","0","4,481","229","0","0","47","74,642","201,170","22,164","62,459"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","984","334","243","122","0","2,647","3","0","0","0","317","117","0","0","5","93,951","442,864","44,709","153,338"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","4,663","1,767","1,666","465","0","2,364","1","0","0","0","763","41","0","0","11","11,445","28,235","5,116","12,950"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10761  :  โรงพยาบาลคลองหลวง","5,252","1,696","989","349","103","1,622","4","1","0","0","940","144","0","0","2","68,078","187,296","25,149","79,362"
"10762  :  โรงพยาบาลธัญบุรี","12,545","6,449","586","976","45","1,086","2","1","0","0","1,991","391","0","0","12","81,342","225,339","30,084","90,164"
"10763  :  โรงพยาบาลประชาธิปัตย์","8,218","6,806","120","43","29","0","0","0","0","0","1,963","125","0","0","38","39,628","103,002","17,082","41,712"
"10764  :  โรงพยาบาลหนองเสือ","5,468","3,468","962","445","5","2,546","8","4","0","0","1,067","245","0","0","1","30,834","100,635","14,644","44,398"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","5,213","4,574","267","201","133","5,849","5","3","0","0","1,228","400","0","1","4","44,220","121,562","18,938","51,855"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10767  :  โรงพยาบาลสามโคก","2,921","2,217","206","309","0","1,732","6","0","0","0","748","207","0","0","5","38,033","77,651","9,905","25,806"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10688  :  โรงพยาบาลเสนา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10768  :  โรงพยาบาลท่าเรือ","10,190","6,359","2,612","1,026","107","6,186","11","8","0","1","2,618","365","0","0","206","38,976","143,885","18,835","55,957"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","2,064","537","148","76","0","1,485","4","2","0","1","522","94","0","0","16","36,680","110,720","12,714","37,001"
"10770  :  โรงพยาบาลบางไทร","3,923","2,068","586","380","39","1,575","10","4","0","2","836","194","0","0","118","31,732","100,116","14,301","41,470"
"10771  :  โรงพยาบาลบางบาล","1,697","1,022","401","253","53","850","5","1","0","1","397","55","0","0","38","16,606","52,619","8,457","22,036"
"10772  :  โรงพยาบาลบางปะอิน","7,911","3,380","1,781","384","0","3,834","12","5","0","4","1,846","242","0","0","135","49,413","172,516","26,243","75,186"
"10773  :  โรงพยาบาลบางปะหัน","1,483","874","243","206","44","873","5","1","0","0","477","63","0","0","33","33,837","119,731","14,841","40,994"
"10774  :  โรงพยาบาลผักไห่","1,072","619","144","167","43","769","7","1","0","2","325","68","0","0","17","27,206","103,577","12,248","41,844"
"10775  :  โรงพยาบาลภาชี","5,884","2,053","1,725","627","80","2,873","12","5","0","2","1,356","177","0","0","20","22,993","95,147","11,651","34,601"
"10776  :  โรงพยาบาลลาดบัวหลวง","2,281","1,533","319","163","0","1,230","4","2","0","2","459","105","0","0","13","28,831","103,756","15,079","41,651"
"10777  :  โรงพยาบาลวังน้อย","8,772","3,473","1,690","130","2","4,985","7","8","0","0","894","393","0","0","4","58,127","154,423","22,511","54,305"
"10778  :  โรงพยาบาลบางซ้าย","3,529","1,651","839","214","62","1,664","9","4","0","6","695","141","0","0","2","11,698","38,274","5,060","15,687"
"10779  :  โรงพยาบาลอุทัย","663","369","116","52","17","832","6","0","0","0","163","34","0","0","15","140,726","264,030","19,356","56,980"
"10780  :  โรงพยาบาลมหาราช","1,342","722","196","264","42","744","6","0","0","0","371","71","0","0","26","13,207","50,296","7,758","24,969"
"10781  :  โรงพยาบาลบ้านแพรก","1,366","934","287","67","40","534","5","1","0","1","295","63","0","0","38","10,018","42,741","5,623","16,235"
"10689  :  โรงพยาบาลอ่างทอง","1,087","381","82","213","0","957","10","3","0","1","333","45","0","0","38","73,287","297,842","38,034","153,112"
"10782  :  โรงพยาบาลไชโย","2,318","1,518","141","130","40","924","7","2","0","7","585","79","0","0","27","18,476","78,556","8,617","29,567"
"10784  :  โรงพยาบาลป่าโมก","4,401","1,913","711","385","8","1,630","3","2","0","0","1,148","165","0","0","13","22,142","109,620","12,777","55,650"
"10785  :  โรงพยาบาลโพธิ์ทอง","2,850","1,847","418","497","35","1,629","7","2","0","1","787","115","0","0","58","55,097","192,487","16,084","59,762"
"10786  :  โรงพยาบาลแสวงหา","6,149","4,415","638","647","0","2,975","14","5","0","0","1,501","336","0","0","44","22,198","102,577","11,924","41,110"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","6,075","2,750","646","693","0","2,747","12","5","0","3","1,719","85","0","2","120","50,921","210,304","22,601","73,093"
"10788  :  โรงพยาบาลสามโก้","1,716","1,137","177","282","45","899","6","3","0","2","505","54","0","0","28","14,725","63,819","8,311","32,818"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","4","2","1","0","0","1,393","4","7","0","0","0","0","0","0","0","157,840","592,556","85,822","281,571"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","7,776","5,010","1,164","451","137","4,530","12","1","0","0","1,617","524","0","0","7","46,348","156,284","22,203","60,344"
"10790  :  โรงพยาบาลโคกสำโรง","7,391","5,120","957","627","117","3,637","9","4","0","0","1,660","476","0","0","78","42,126","161,859","20,285","65,518"
"10791  :  โรงพยาบาลชัยบาดาล","11,712","6,109","897","1,513","126","7,477","15","6","0","1","2,583","557","0","0","192","67,827","285,130","34,014","115,059"
"10792  :  โรงพยาบาลท่าวุ้ง","3,539","2,122","789","484","83","1,462","15","0","0","0","1,073","187","0","0","4","32,281","111,698","14,375","46,374"
"10793  :  โรงพยาบาลท่าหลวง","5,616","4,440","500","335","116","3,001","9","5","0","1","1,286","378","0","0","52","21,728","75,579","12,984","39,770"
"10794  :  โรงพยาบาลสระโบสถ์","7,546","5,400","1,267","517","0","3,320","16","5","0","0","1,867","116","0","0","2","14,915","66,566","8,157","29,757"
"10795  :  โรงพยาบาลโคกเจริญ","4,748","4,008","340","234","113","2,071","12","4","0","1","1,127","276","0","0","3","14,685","63,101","8,911","30,486"
"10796  :  โรงพยาบาลลำสนธิ","5,107","3,218","417","298","14","2,535","13","4","0","1","1,197","314","0","1","198","18,776","74,705","10,484","31,982"
"10797  :  โรงพยาบาลหนองม่วง","4,721","3,486","325","504","117","2,609","10","5","0","1","1,282","249","0","0","213","21,537","87,719","12,279","39,663"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","8,963","3,958","1,224","1,970","203","5,216","8","1","0","0","2,683","220","0","0","116","94,580","360,668","45,311","146,794"
"10693  :  โรงพยาบาลอินทร์บุรี","2,138","1,250","153","378","63","1,786","3","4","0","0","693","82","0","0","32","40,415","186,066","18,832","74,663"
"10798  :  โรงพยาบาลบางระจัน","3,642","2,637","451","357","119","1,395","13","3","0","1","1,090","164","0","0","32","22,241","89,755","10,838","37,690"
"10799  :  โรงพยาบาลค่ายบางระจัน","5,716","3,652","877","230","93","3,388","11","4","0","2","1,234","357","0","4","122","21,261","80,671","9,287","31,958"
"10800  :  โรงพยาบาลพรหมบุรี","4,274","2,510","1,307","336","95","2,081","8","5","0","1","1,184","232","0","0","90","12,884","59,317","8,106","28,081"
"10801  :  โรงพยาบาลท่าช้าง","2,314","1,717","253","284","78","1,264","5","2","0","0","767","85","0","0","13","15,856","63,777","6,716","27,130"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10802  :  โรงพยาบาลมโนรมย์","4,110","3,042","445","453","92","1,862","3","5","0","1","1,039","242","0","0","5","21,433","86,742","11,742","44,999"
"10803  :  โรงพยาบาลวัดสิงห์","3,719","2,965","335","394","119","1,911","11","4","0","3","1,090","159","0","0","78","18,361","84,302","10,693","43,355"
"10804  :  โรงพยาบาลสรรพยา","2,152","1,687","206","95","75","971","3","2","0","1","590","136","0","0","3","23,979","98,159","12,606","48,558"
"10805  :  โรงพยาบาลสรรคบุรี","5,719","4,443","389","544","348","2,624","10","2","0","1","1,743","300","0","0","200","40,523","161,079","24,224","83,601"
