"โรงพยาบาล","จำนวนประชากรในเขตรับผิดชอบ","จำนวนประชากรสิทธิหลักประกันสุขภาพถ้วนหน้า","จำนวนประชากรสิทธิประกันสังคม","จำนวนประชากรสิทธิข้าราชการ","จำนวนอสม.","จำนวนหลังคาเรือน","จำนวนหมู่บ้าน","จำนวนโรงเรียน","จำนวนนักเรียน","จำนวนศูนย์เด็กเล็ก","จำนวนประชากรอายุ 60 ปี ขึ้นไป","จำนวนประชากรอายุ 0 ถึง 5 ปี","จำนวนอาสาสมัครประจำครอบครัว(อสค.)","จำนวนผู้ช่วยเหลือดูแลผู้สูงอายุที่มีภาวะพึ่งพิง(Caregiver)","จำนวนผู้พิการ","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(คน)","จำนวนผู้รับบริการทั้งหมดที่มารับบริการ(ครั้ง)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(คน)","จำนวนผู้ป่วยนอกทั้งหมดที่มารับบริการ(ครั้ง)"
"11540  :  โรงพยาบาลหลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11541  :  โรงพยาบาลเจริญกรุงประชารักษ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11546  :  โรงพยาบาลบี เอ็น เอช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11548  :  โรงพยาบาลกรุงเทพคริสเตียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","2,952","6","1","4","0","0","130","0","0","0","717","114","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","20","2","0","0","0","1","0","0","0","0","2","1","0","0","0","55,935","141,385","38,440","74,298"
"10754  :  โรงพยาบาลบางจาก","16,589","7,637","1,590","401","0","6,662","6","2","0","1","2,961","1,026","0","0","8","30,938","80,591","19,611","42,375"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","13,545","7,907","2,626","519","166","6,819","6","5","0","1","2,894","554","0","0","25","29,394","85,557","16,379","38,933"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","10,273","6,201","81","1","0","4,844","6","0","0","0","1,660","646","0","0","106","15,495","32,885","5,849","13,443"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","10,469","3,518","322","146","0","3,732","5","2","0","0","2,080","280","0","0","4","18,146","39,052","10,621","21,815"
"28785  :  โรงพยาบาลบางเสาธง","3,064","1,473","500","130","0","1,154","4","2","0","0","789","154","0","0","3","14,455","34,817","7,658","16,004"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10756  :  โรงพยาบาลบางกรวย","6,095","2,379","531","472","44","0","0","0","0","0","1,419","104","0","0","52","31,629","71,033","11,682","27,665"
"10757  :  โรงพยาบาลบางใหญ่","10,648","4,162","1,585","1,520","1","0","0","0","0","0","2,852","117","0","0","17","68,221","164,547","29,781","71,894"
"10758  :  โรงพยาบาลบางบัวทอง","6,428","2,412","1,347","420","0","3,484","10","0","0","0","1,846","112","0","0","20","69,625","137,949","26,396","57,787"
"10759  :  โรงพยาบาลไทรน้อย","15,858","8,125","1,517","1,388","0","14,997","12","5","0","4","3,546","733","0","0","52","46,622","125,570","23,203","56,463"
"10760  :  โรงพยาบาลปากเกร็ด","14,028","5,146","1,017","482","0","4,108","3","1","0","0","4,771","184","0","0","45","65,253","136,441","21,844","52,748"
"11781  :  โรงพยาบาลนนทเวช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","1,087","348","216","122","0","2,647","3","0","0","0","344","108","0","0","6","83,549","309,636","46,550","151,292"
"22127  :  โรงพยาบาลชลลดา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","4,607","1,594","1,053","462","0","2,392","1","0","0","0","822","34","0","0","11","10,542","17,906","3,068","6,087"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10761  :  โรงพยาบาลคลองหลวง","5,184","1,835","372","367","103","1,634","4","1","0","0","993","95","0","0","2","109,779","234,584","26,062","62,083"
"10762  :  โรงพยาบาลธัญบุรี","12,512","5,959","233","959","46","1,086","2","1","0","0","2,051","277","0","0","10","99,584","222,029","22,222","54,959"
"10763  :  โรงพยาบาลประชาธิปัตย์","8,429","5,956","184","49","46","0","0","0","0","0","2,074","114","0","0","37","43,077","96,651","18,395","34,474"
"10764  :  โรงพยาบาลหนองเสือ","5,397","2,818","160","368","5","2,559","8","4","0","0","1,082","201","0","0","1","38,858","97,106","11,555","30,457"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","5,162","3,442","508","191","132","5,857","5","3","0","0","1,261","299","0","1","3","35,151","76,389","13,081","28,207"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10767  :  โรงพยาบาลสามโคก","2,864","2,048","156","287","0","1,749","6","0","0","0","758","164","0","0","4","65,511","104,027","10,901","20,576"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10688  :  โรงพยาบาลเสนา","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10768  :  โรงพยาบาลท่าเรือ","10,071","4,521","1,916","909","107","6,216","11","8","0","1","2,699","320","0","0","203","39,480","115,491","15,948","33,829"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","2,047","542","219","134","0","1,535","4","2","0","1","572","85","0","0","17","42,282","84,455","10,298","20,228"
"10770  :  โรงพยาบาลบางไทร","3,935","1,950","518","375","39","1,603","10","4","0","2","884","175","0","0","116","33,935","79,007","11,373","24,823"
"10771  :  โรงพยาบาลบางบาล","1,685","966","262","236","53","857","5","1","0","1","413","39","0","0","38","21,258","50,478","6,564","13,885"
"10772  :  โรงพยาบาลบางปะอิน","8,174","2,998","1,063","257","0","3,932","12","5","0","4","1,945","223","0","0","133","45,777","134,913","18,603","43,828"
"10773  :  โรงพยาบาลบางปะหัน","1,405","671","153","188","44","888","5","1","0","0","470","48","0","0","32","35,914","97,624","11,774","29,439"
"10774  :  โรงพยาบาลผักไห่","1,000","516","130","145","42","777","7","1","0","2","327","60","0","0","17","28,570","82,309","10,315","24,997"
"10775  :  โรงพยาบาลภาชี","5,875","1,995","895","432","80","2,890","12","5","0","2","1,441","147","0","0","20","26,289","77,308","8,819","19,587"
"10776  :  โรงพยาบาลลาดบัวหลวง","2,395","1,068","142","148","0","1,276","4","2","0","2","493","98","0","0","14","58,046","115,526","13,290","28,214"
"10777  :  โรงพยาบาลวังน้อย","9,400","3,049","1,437","111","1","5,245","7","8","0","0","927","357","0","0","4","61,598","126,730","17,490","37,238"
"10778  :  โรงพยาบาลบางซ้าย","3,516","1,460","682","188","62","1,672","9","4","0","6","748","121","0","0","2","12,328","34,161","3,317","8,754"
"10779  :  โรงพยาบาลอุทัย","649","297","64","49","17","897","6","0","0","0","172","32","0","0","15","62,317","131,336","17,758","39,873"
"10780  :  โรงพยาบาลมหาราช","1,340","638","45","267","42","754","6","0","0","0","396","50","0","0","26","12,549","32,819","5,472","12,814"
"10781  :  โรงพยาบาลบ้านแพรก","1,351","712","28","66","39","536","5","1","0","1","311","48","0","0","36","10,985","35,806","4,983","11,415"
"10689  :  โรงพยาบาลอ่างทอง","1,074","353","80","35","0","1,835","13","3","0","1","341","37","0","0","38","83,179","274,828","29,906","96,968"
"10782  :  โรงพยาบาลไชโย","2,288","1,372","161","118","38","933","7","2","0","7","588","64","0","0","23","49,840","102,677","8,344","20,041"
"10784  :  โรงพยาบาลป่าโมก","4,404","1,954","299","319","8","1,639","3","2","0","0","1,199","158","0","0","13","28,384","105,067","11,496","37,715"
"10785  :  โรงพยาบาลโพธิ์ทอง","2,876","1,601","380","484","35","1,640","7","2","0","1","836","95","0","0","56","58,135","168,997","13,160","38,287"
"10786  :  โรงพยาบาลแสวงหา","6,266","3,130","201","243","0","3,010","14","5","0","0","1,599","305","0","0","45","25,974","95,985","10,131","20,758"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","6,001","2,617","143","389","0","2,776","12","5","0","3","1,788","75","0","2","118","53,914","181,450","19,485","50,655"
"10788  :  โรงพยาบาลสามโก้","1,673","968","76","120","45","905","6","3","0","2","507","36","0","0","27","15,299","55,858","6,938","21,351"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","8,115","3,643","95","449","137","4,610","12","1","0","0","1,731","516","0","0","7","67,603","161,737","17,226","35,425"
"10790  :  โรงพยาบาลโคกสำโรง","7,458","4,461","534","517","116","3,642","9","5","0","0","1,770","425","0","0","78","51,065","149,193","15,671","35,669"
"10791  :  โรงพยาบาลชัยบาดาล","11,762","6,389","581","827","125","7,527","15","6","0","1","2,724","469","0","0","188","88,679","300,094","25,938","70,342"
"10792  :  โรงพยาบาลท่าวุ้ง","3,616","1,972","739","458","81","1,464","15","0","0","0","1,145","186","0","0","3","34,733","90,031","15,212","34,077"
"10793  :  โรงพยาบาลท่าหลวง","6,014","3,521","107","168","125","3,068","9","5","0","1","1,393","372","0","0","53","25,817","73,572","12,295","27,646"
"10794  :  โรงพยาบาลสระโบสถ์","7,547","4,303","346","341","0","3,338","16","5","0","0","2,016","94","0","0","2","16,045","58,228","8,095","22,368"
"10795  :  โรงพยาบาลโคกเจริญ","4,782","3,573","210","213","113","2,090","12","4","0","1","1,210","256","0","0","3","18,144","64,226","8,539","23,427"
"10796  :  โรงพยาบาลลำสนธิ","4,851","2,691","572","252","14","2,568","13","4","0","1","1,201","291","0","1","203","22,033","74,150","8,375","20,466"
"10797  :  โรงพยาบาลหนองม่วง","4,708","2,545","144","152","116","2,638","10","5","0","1","1,348","223","0","0","204","29,846","98,798","10,718","26,965"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","8,884","3,234","778","1,651","203","5,246","8","1","0","0","2,754","212","0","0","113","102,007","321,725","37,843","100,506"
"10693  :  โรงพยาบาลอินทร์บุรี","2,097","1,153","105","240","61","1,806","3","4","0","0","700","73","0","0","32","46,287","172,621","20,370","62,035"
"10798  :  โรงพยาบาลบางระจัน","3,688","2,256","184","255","119","1,396","13","3","0","1","1,160","140","0","0","32","23,934","76,209","9,193","25,126"
"10799  :  โรงพยาบาลค่ายบางระจัน","5,625","2,322","1,453","199","93","3,450","11","4","0","2","1,263","317","0","4","115","22,646","68,007","9,609","23,727"
"10800  :  โรงพยาบาลพรหมบุรี","4,271","2,195","1,194","281","95","2,086","8","5","0","1","1,262","198","0","0","90","18,450","55,997","9,445","21,316"
"10801  :  โรงพยาบาลท่าช้าง","2,311","1,391","80","93","78","1,276","5","2","0","0","797","69","0","0","13","27,141","63,109","5,563","17,310"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10802  :  โรงพยาบาลมโนรมย์","4,158","2,673","182","315","92","1,920","3","5","0","1","1,087","217","0","0","6","24,673","76,332","11,290","30,570"
"10803  :  โรงพยาบาลวัดสิงห์","3,628","2,326","158","156","121","1,917","11","4","0","3","1,108","118","0","0","72","21,455","73,269","9,312","27,583"
"10804  :  โรงพยาบาลสรรพยา","2,167","1,639","99","31","75","982","3","2","0","1","613","122","0","0","4","28,139","89,303","11,563","31,416"
"10805  :  โรงพยาบาลสรรคบุรี","5,911","3,951","184","422","348","2,946","10","2","0","1","1,841","314","0","0","199","46,027","152,294","18,798","56,247"
