"โรงพยาบาล","ประชากรที่มีอายุ 60 ปีขึ้นไป (คน)","ประชากรที่มีอายุ 60 ปีขึ้นไป  ติดสังคม (คน)","ประชากรที่มีอายุ 60 ปีขึ้นไป  ติดบ้าน (คน)","ประชากรที่มีอายุ 60 ปีขึ้นไป  ติดเตียง (คน)"
"ทั้งหมด","คัดกรอง","ร้อยละ","ปกติ","ผิดปกติ","ทั้งหมด","คัดกรอง","ปกติ","ผิดปกติ","ทั้งหมด","คัดกรอง","ปกติ","ผิดปกติ","ทั้งหมด","คัดกรอง","ปกติ","ผิดปกติ"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","2","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10754  :  โรงพยาบาลบางจาก","2,942","656","22.30","656","0","655","390","390","0","1","0","0","0","3","1","1","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","2,892","328","11.34","328","0","336","291","291","0","18","18","18","0","6","3","3","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,658","460","27.74","460","0","459","453","453","0","3","3","3","0","0","0","0","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","2,080","1,581","76.01","1,580","1","1,583","1,553","1,553","0","11","9","8","1","9","9","9","0"
"28785  :  โรงพยาบาลบางเสาธง","789","14","1.77","14","0","153","11","11","0","1","0","0","0","0","0","0","0"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10756  :  โรงพยาบาลบางกรวย","1,416","20","1.41","17","3","83","13","13","0","9","0","0","0","3","0","0","0"
"10757  :  โรงพยาบาลบางใหญ่","2,851","117","4.10","117","0","1,737","98","98","0","27","0","0","0","13","0","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","1,842","24","1.30","24","0","401","20","20","0","4","1","1","0","3","0","0","0"
"10759  :  โรงพยาบาลไทรน้อย","3,544","224","6.32","223","1","728","134","133","1","8","0","0","0","6","1","1","0"
"10760  :  โรงพยาบาลปากเกร็ด","4,765","2,672","56.08","2,672","0","2,757","2,636","2,636","0","24","19","19","0","5","4","4","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","344","73","21.22","73","0","86","69","69","0","0","0","0","0","0","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","820","276","33.66","276","0","289","269","269","0","5","3","3","0","1","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10761  :  โรงพยาบาลคลองหลวง","992","635","64.01","633","2","653","629","627","2","4","2","2","0","2","2","2","0"
"10762  :  โรงพยาบาลธัญบุรี","2,048","1,371","66.94","1,367","4","1,440","1,369","1,365","4","2","2","2","0","1","0","0","0"
"10763  :  โรงพยาบาลประชาธิปัตย์","2,074","1,901","91.66","1,901","0","1,907","1,880","1,880","0","6","6","6","0","4","4","4","0"
"10764  :  โรงพยาบาลหนองเสือ","1,079","335","31.05","335","0","334","323","323","0","1","1","1","0","9","9","9","0"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,261","280","22.20","279","1","295","258","258","0","14","10","9","1","2","2","2","0"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10767  :  โรงพยาบาลสามโคก","758","746","98.42","716","30","745","738","708","30","2","2","2","0","5","5","5","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10688  :  โรงพยาบาลเสนา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10768  :  โรงพยาบาลท่าเรือ","2,697","1,132","41.97","1,132","0","1,130","1,110","1,110","0","12","11","11","0","10","10","10","0"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","571","548","95.97","547","1","506","500","499","1","44","44","44","0","2","2","2","0"
"10770  :  โรงพยาบาลบางไทร","882","64","7.26","64","0","149","56","56","0","1","1","1","0","1","1","1","0"
"10771  :  โรงพยาบาลบางบาล","412","351","85.19","344","7","349","344","337","7","7","6","6","0","1","1","1","0"
"10772  :  โรงพยาบาลบางปะอิน","1,943","1,202","61.86","1,199","3","1,205","1,170","1,170","0","10","10","10","0","6","6","3","3"
"10773  :  โรงพยาบาลบางปะหัน","469","349","74.41","349","0","426","346","346","0","7","1","1","0","5","1","1","0"
"10774  :  โรงพยาบาลผักไห่","327","310","94.80","303","7","301","300","300","0","7","7","0","7","0","0","0","0"
"10775  :  โรงพยาบาลภาชี","1,432","265","18.51","264","1","355","253","253","0","3","2","2","0","5","5","5","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","493","286","58.01","279","7","310","265","259","6","5","4","4","0","9","3","2","1"
"10777  :  โรงพยาบาลวังน้อย","920","621","67.50","620","1","684","619","618","1","2","1","1","0","1","1","1","0"
"10778  :  โรงพยาบาลบางซ้าย","748","678","90.64","678","0","659","655","655","0","21","21","21","0","2","2","2","0"
"10779  :  โรงพยาบาลอุทัย","172","121","70.35","121","0","117","113","113","0","2","2","2","0","0","0","0","0"
"10780  :  โรงพยาบาลมหาราช","396","11","2.78","11","0","18","11","11","0","1","0","0","0","0","0","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","311","106","34.08","106","0","194","81","81","0","14","2","2","0","2","1","1","0"
"10689  :  โรงพยาบาลอ่างทอง","340","308","90.59","302","6","296","296","290","6","9","9","9","0","1","0","0","0"
"10782  :  โรงพยาบาลไชโย","588","549","93.37","547","2","500","495","494","1","27","27","27","0","4","4","4","0"
"10784  :  โรงพยาบาลป่าโมก","1,195","988","82.68","981","7","958","955","949","6","7","7","6","1","18","18","18","0"
"10785  :  โรงพยาบาลโพธิ์ทอง","836","768","91.87","768","0","768","768","768","0","0","0","0","0","1","0","0","0"
"10786  :  โรงพยาบาลแสวงหา","1,598","1,524","95.37","1,524","0","1,422","1,410","1,410","0","56","56","56","0","12","12","12","0"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,785","1,710","95.80","1,710","0","1,712","1,695","1,695","0","10","10","10","0","2","2","2","0"
"10788  :  โรงพยาบาลสามโก้","506","497","98.22","486","11","489","486","476","10","9","9","8","1","1","1","1","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","1,728","401","23.21","401","0","418","386","386","0","6","6","6","0","5","5","5","0"
"10790  :  โรงพยาบาลโคกสำโรง","1,767","567","32.09","566","1","1,277","456","455","1","100","34","34","0","20","7","7","0"
"10791  :  โรงพยาบาลชัยบาดาล","2,722","319","11.72","319","0","54","45","45","0","0","0","0","0","1","1","1","0"
"10792  :  โรงพยาบาลท่าวุ้ง","1,144","990","86.54","979","11","952","941","933","8","32","32","29","3","7","7","7","0"
"10793  :  โรงพยาบาลท่าหลวง","1,393","226","16.22","222","4","300","179","177","2","9","7","6","1","0","0","0","0"
"10794  :  โรงพยาบาลสระโบสถ์","2,014","1,599","79.39","1,599","0","1,444","1,405","1,405","0","104","101","101","0","93","92","92","0"
"10795  :  โรงพยาบาลโคกเจริญ","1,209","759","62.78","738","21","779","759","738","21","0","0","0","0","0","0","0","0"
"10796  :  โรงพยาบาลลำสนธิ","1,201","1,095","91.17","1,083","12","1,052","1,026","1,016","10","44","44","42","2","6","6","6","0"
"10797  :  โรงพยาบาลหนองม่วง","1,348","1,145","84.94","1,140","5","1,089","1,073","1,072","1","45","42","39","3","20","18","17","1"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","2,753","2,566","93.21","2,565","1","2,650","2,559","2,558","1","0","0","0","0","1","1","1","0"
"10693  :  โรงพยาบาลอินทร์บุรี","700","475","67.86","475","0","662","466","466","0","4","3","3","0","10","5","5","0"
"10798  :  โรงพยาบาลบางระจัน","1,160","838","72.24","835","3","779","777","774","3","12","12","12","0","9","9","9","0"
"10799  :  โรงพยาบาลค่ายบางระจัน","1,263","948","75.06","946","2","1,046","922","921","1","13","13","13","0","10","10","9","1"
"10800  :  โรงพยาบาลพรหมบุรี","1,261","1,166","92.47","1,166","0","1,130","1,129","1,129","0","17","17","17","0","17","17","17","0"
"10801  :  โรงพยาบาลท่าช้าง","797","793","99.50","793","0","749","747","747","0","10","10","10","0","12","12","12","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10802  :  โรงพยาบาลมโนรมย์","1,077","364","33.80","357","7","360","353","347","6","3","2","2","0","4","3","2","1"
"10803  :  โรงพยาบาลวัดสิงห์","1,108","747","67.42","747","0","758","740","740","0","3","3","3","0","0","0","0","0"
"10804  :  โรงพยาบาลสรรพยา","613","580","94.62","578","2","554","543","543","0","32","32","31","1","4","4","3","1"
"10805  :  โรงพยาบาลสรรคบุรี","1,841","1,598","86.80","1,586","12","1,561","1,551","1,540","11","29","29","28","1","17","17","17","0"
"10806  :  โรงพยาบาลหันคา","1,814","1,586","87.43","1,586","0","1,546","1,543","1,543","0","48","26","26","0","20","2","2","0"
"27974  :  โรงพยาบาลหนองมะโมง","292","283","96.92","278","5","274","273","270","3","4","4","3","1","6","6","5","1"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10695  :  โรงพยาบาลพระพุทธบาท","1","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10807  :  โรงพยาบาลแก่งคอย","2,860","2,486","86.92","2,476","10","2,456","2,424","2,417","7","26","26","23","3","10","10","10","0"
"10808  :  โรงพยาบาลหนองแค","529","4","0.76","4","0","109","2","2","0","2","0","0","0","2","0","0","0"
"10809  :  โรงพยาบาลวิหารแดง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10810  :  โรงพยาบาลหนองแซง","959","818","85.30","812","6","807","793","788","5","7","7","7","0","1","1","1","0"
"10811  :  โรงพยาบาลบ้านหมอ","1,430","1,243","86.92","1,243","0","1,212","1,201","1,201","0","38","37","37","0","12","4","4","0"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","1,008","309","30.65","309","0","874","287","287","0","28","10","10","0","13","0","0","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","584","549","94.01","539","10","518","508","502","6","14","14","12","2","6","6","4","2"
"10815  :  โรงพยาบาลมวกเหล็ก","1,220","771","63.20","771","0","1,071","764","764","0","31","6","6","0","8","1","1","0"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","713","677","94.95","677","0","655","654","654","0","16","16","16","0","5","5","5","0"
"11485  :  โรงพยาบาลค่ายอดิศร","455","51","11.21","50","1","50","49","48","1","2","1","1","0","0","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10817  :  โรงพยาบาลบ้านบึง","4,683","2,603","55.58","2,603","0","2,397","2,271","2,271","0","4","3","3","0","12","11","11","0"
"10818  :  โรงพยาบาลหนองใหญ่","1,076","883","82.06","883","0","822","805","805","0","13","13","13","0","4","4","4","0"
"10819  :  โรงพยาบาลบางละมุง","4,433","605","13.65","604","1","714","497","496","1","26","20","20","0","0","0","0","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","536","204","38.06","204","0","240","194","194","0","6","4","4","0","1","1","1","0"
"10821  :  โรงพยาบาลพานทอง","1,282","1,006","78.47","964","42","1,011","964","928","36","24","24","21","3","7","6","3","3"
