"โรงพยาบาล","ประชากรที่มีอายุ 60 ปีขึ้นไป (คน)","ประชากรที่มีอายุ 60 ปีขึ้นไป  ติดสังคม (คน)","ประชากรที่มีอายุ 60 ปีขึ้นไป  ติดบ้าน (คน)","ประชากรที่มีอายุ 60 ปีขึ้นไป  ติดเตียง (คน)"
"ทั้งหมด","คัดกรอง","ร้อยละ","ปกติ","ผิดปกติ","ทั้งหมด","คัดกรอง","ปกติ","ผิดปกติ","ทั้งหมด","คัดกรอง","ปกติ","ผิดปกติ","ทั้งหมด","คัดกรอง","ปกติ","ผิดปกติ"
"11552  :  โรงพยาบาลมเหสักข์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11559  :  สถานพยาบาลชินเขตงามวงศ์วาน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11560  :  โรงพยาบาลทั่วไปขนาดใหญ่เปาโล เกษตร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11565  :  โรงพยาบาลรามคำแหง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11581  :  โรงพยาบาลผู้สูงอายุขนาดกลางกล้วยน้ำไท 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11583  :  โรงพยาบาลกล้วยน้ำไท","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11592  :  โรงพยาบาลบางนา1","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11595  :  นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11597  :  สถาบันกัลยาณ์ราชนครินทร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11600  :  โรงพยาบาลเซนต์หลุยส์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11603  :  โรงพยาบาลเทียนฟ้ามูลนิธิโรงพยาบาลทั่วไปขนาดกลาง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11607  :  โรงพยาบาลเปาโลเมโมเรียล","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11609  :  โรงพยาบาลพญาไท 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11616  :  โรงพยาบาลสมิติเวชธนบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11621  :  โรงพยาบาลบางไผ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11626  :  โรงพยาบาลคลองตัน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11628  :  โรงพยาบาลพระราม 9","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11629  :  โรงพยาบาลเพชรเวช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11640  :  โรงพยาบาลธนบุรี 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11641  :  โรงพยาบาลทั่วไปขนาดกลางโรงพยาบาลวิชัยเวช แยกไฟฉาย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11644  :  โรงพยาบาลเจ้าพระยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11645  :  โรงพยาบาลทั่วไปขนาดใหญ่ธนบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11656  :  โรงพยาบาลเกษมราษฎร์ บางแค","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11661  :  โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล หนองแขม","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11667  :  โรงพยาบาลประชาพัฒน์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11668  :  โรงพยาบาลสุขสวัสดิ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11669  :  โรงพยาบาลราษฏร์บูรณะ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11670  :  โรงพยาบาลบางปะกอก 1","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11676  :  โรงพยาบาลยันฮี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11686  :  โรงพยาบาลบางโพ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11687  :  โรงพยาบาลเกษมราษฎร์ประชาชื่น","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11691  :  โรงพยาบาลวิภาวดี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11694  :  โรงพยาบาลจักษุรัตนิน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11697  :  โรงพยาบาลคามิลเลียน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11699  :  โรงพยาบาลบำรุงราษฎร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11703  :  โรงพยาบาลแพทย์ปัญญา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11708  :  โรงพยาบาลบางมดโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11715  :  โรงพยาบาลพญาไท 1","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11721  :  โรงพยาบาลเปาโลเมโมเรียล โชคชัย 4","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11729  :  โรงพยาบาลลาดพร้าว","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11730  :  โรงพยาบาลไทยนครินทร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11750  :  โรงพยาบาลหัวเฉียวโรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11811  :  โรงพยาบาลสมิติเวช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12243  :  สถาบันพัฒนาสุขภาวะเขตเมือง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12244  :  สถาบันจิตเวชศาสตร์สมเด็จเจ้าพระยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12246  :  สถาบันราชานุกูล","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12249  :  สถาบันโรคผิวหนัง","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12250  :  สถาบันมะเร็งแห่งชาติ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12438  :  สถาบันสุขภาพเด็กแห่งชาติมหาราชินี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12439  :  สถาบันประสาทวิทยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13756  :  โรงพยาบาลจุฬาลงกรณ์สภากาชาดไทย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13757  :  โรงพยาบาลเวชศาสตร์เขตร้อน มหาวิทยาลัยมหิดล","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13814  :  โรงพยาบาลศิริราช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14173  :  โรงพยาบาลตำรวจ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14572  :  โรงพยาบาลบี.แคร์.เมดิคอลเซ็นเตอร์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14574  :  โรงพยาบาลพญาไท 3","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14577  :  โรงพยาบาลวิภาราม","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14641  :  โรงพยาบาลราชพิพัฒน์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14908  :  โรงพยาบาลการุญเวช สุขาภิบาล3","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15049  :  โรงพยาบาลสิรินธร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15147  :  โรงพยาบาลบางปะกอก 8 โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21673  :  โรงพยาบาลซีจีเอช สายไหม โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22155  :  โรงพยาบาลครู","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22737  :  โรงพยาบาลจุฬาภรณ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23762  :  โรงพยาบาลนวุติสมเด็จย่า","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23781  :  นวมินทร์ 9โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23783  :  โรงพยาบาลเสรีรักษ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24085  :  สถาบันวิจัยการแพทย์แผนไทย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24748  :  โรงพยาบาลศิริราช ปิยมหาราชการุณย์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25015  :  โรงพยาบาลทั่วไปขนาดใหญ่มิตรประชา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25060  :  โรงพยาบาลผู้สูงอายุบางขุนเทียน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41329  :  โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุ เฌ้อสเซอรี่โฮมขนาดเล็ก","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41414  :  โรงพยาบาลทหารอากาศ (สีกัน)","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77665  :  โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสาน","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10685  :  โรงพยาบาลสมุทรปราการ","2","1","50.00","1","0","1","1","1","0","0","0","0","0","0","0","0","0"
"10752  :  โรงพยาบาลบางบ่อ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10753  :  โรงพยาบาลบางพลี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10754  :  โรงพยาบาลบางจาก","2,635","1,688","64.06","1,688","0","1,739","1,398","1,398","0","4","1","1","0","6","4","4","0"
"10755  :  โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์","2,720","1,577","57.98","1,577","0","1,549","1,488","1,488","0","61","57","57","0","15","9","9","0"
"11769  :  โรงพยาบาลเซ็นทรัลปาร์ค","1,550","1,091","70.39","1,090","1","1,078","1,070","1,069","1","7","7","7","0","8","8","8","0"
"11775  :  โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12251  :  โรงพยาบาลยุวประสาทไวทโยปถัมภ์","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15138  :  โรงพยาบาลเมืองสมุทรบางปูโรงพยาบาลทั่วไปขนาดเล็ก","1,984","1,302","65.63","1,301","1","1,285","1,271","1,270","1","19","18","18","0","11","11","11","0"
"28785  :  โรงพยาบาลบางเสาธง","728","471","64.70","467","4","578","438","438","0","16","14","11","3","7","6","5","1"
"10686  :  โรงพยาบาลพระนั่งเกล้า","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10756  :  โรงพยาบาลบางกรวย","1,312","828","63.11","825","3","1,011","787","786","1","27","16","16","0","10","3","3","0"
"10757  :  โรงพยาบาลบางใหญ่","2,667","117","4.39","117","0","700","72","72","0","24","1","1","0","7","0","0","0"
"10758  :  โรงพยาบาลบางบัวทอง","1,725","17","0.99","16","1","395","12","11","1","6","3","3","0","3","0","0","0"
"10759  :  โรงพยาบาลไทรน้อย","3,221","600","18.63","592","8","798","383","376","7","31","21","21","0","14","8","7","1"
"10760  :  โรงพยาบาลปากเกร็ด","4,477","2,087","46.62","2,087","0","2,283","2,048","2,048","0","25","18","18","0","11","8","8","0"
"11781  :  โรงพยาบาลนนทเวช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11786  :  โรงพยาบาลอนันต์พัฒนา 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11787  :  โรงพยาบาลเกษมราษฎร์อินเตอร์เนชั่นแนล รัตนาธิเบศร์โรงพยาบาลทั่วไปขนาดใหญ่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12256  :  สถาบันโรคทรวงอก","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12257  :  สถาบันบำราศนราดูร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12258  :  สถาบันสิรินธรเพื่อการฟื้นฟูสมรรถภาพทางการแพทย์แห่งชาติ","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12260  :  โรงพยาบาลศรีธัญญา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13815  :  ศูนย์การแพทย์ปัญญานันทภิกขุ ชลประทาน มหาวิทยาลัยศรีนครินทรวิโรฒ","317","11","3.47","11","0","92","11","11","0","0","0","0","0","0","0","0","0"
"22127  :  โรงพยาบาลชลลดา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28875  :  โรงพยาบาลบางบัวทอง ๒","761","29","3.81","29","0","29","25","25","0","3","0","0","0","0","0","0","0"
"10687  :  โรงพยาบาลปทุมธานี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10761  :  โรงพยาบาลคลองหลวง","939","313","33.33","301","12","336","301","290","11","6","4","4","0","4","4","3","1"
"10762  :  โรงพยาบาลธัญบุรี","1,988","1,210","60.87","1,178","32","1,290","1,200","1,172","28","4","4","2","2","7","6","4","2"
"10763  :  โรงพยาบาลประชาธิปัตย์","1,961","1,822","92.91","1,821","1","1,815","1,804","1,803","1","3","3","3","0","9","9","9","0"
"10764  :  โรงพยาบาลหนองเสือ","1,064","812","76.32","812","0","806","792","792","0","6","6","6","0","12","12","12","0"
"10765  :  โรงพยาบาลลาดหลุมแก้ว","1,228","967","78.75","967","0","1,014","964","964","0","8","2","2","0","1","1","1","0"
"10766  :  โรงพยาบาลลำลูกกา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10767  :  โรงพยาบาลสามโคก","748","640","85.56","640","0","628","625","625","0","6","6","6","0","8","8","8","0"
"12262  :  สถาบันบำบัดรักษาและฟื้นฟูผู้ติดยาเสพติดแห่งชาติบรมราชชนนี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14923  :  โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10660  :  โรงพยาบาลพระนครศรีอยุธยา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10688  :  โรงพยาบาลเสนา","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10768  :  โรงพยาบาลท่าเรือ","2,616","2,102","80.35","2,099","3","2,115","2,088","2,086","2","5","4","4","0","9","9","8","1"
"10769  :  โรงพยาบาลสมเด็จพระสังฆราชเจ้า กรมหลวงชินวราลงกรณ (วาสนมหาเถร)","521","501","96.16","501","0","495","488","488","0","10","10","10","0","4","3","3","0"
"10770  :  โรงพยาบาลบางไทร","834","134","16.07","134","0","264","127","127","0","4","4","4","0","3","3","3","0"
"10771  :  โรงพยาบาลบางบาล","396","365","92.17","353","12","361","355","345","10","9","8","6","2","0","0","0","0"
"10772  :  โรงพยาบาลบางปะอิน","1,843","166","9.01","166","0","1,705","163","163","0","16","1","1","0","6","0","0","0"
"10773  :  โรงพยาบาลบางปะหัน","476","329","69.12","326","3","442","316","313","3","13","11","11","0","3","1","1","0"
"10774  :  โรงพยาบาลผักไห่","325","269","82.77","261","8","248","247","246","1","11","11","11","0","1","1","1","0"
"10775  :  โรงพยาบาลภาชี","1,346","346","25.71","345","1","455","330","329","1","9","8","8","0","4","4","4","0"
"10776  :  โรงพยาบาลลาดบัวหลวง","459","193","42.05","177","16","277","183","168","15","8","5","5","0","7","1","1","0"
"10777  :  โรงพยาบาลวังน้อย","890","80","8.99","80","0","119","66","66","0","12","10","10","0","3","3","3","0"
"10778  :  โรงพยาบาลบางซ้าย","695","629","90.50","624","5","604","601","599","2","27","26","24","2","2","1","0","1"
"10779  :  โรงพยาบาลอุทัย","163","128","78.53","128","0","113","105","105","0","5","5","5","0","0","0","0","0"
"10780  :  โรงพยาบาลมหาราช","371","10","2.70","10","0","16","9","9","0","2","1","1","0","0","0","0","0"
"10781  :  โรงพยาบาลบ้านแพรก","295","66","22.37","66","0","266","64","64","0","9","0","0","0","1","0","0","0"
"10689  :  โรงพยาบาลอ่างทอง","332","322","96.99","320","2","316","316","314","2","4","4","4","0","2","1","1","0"
"10782  :  โรงพยาบาลไชโย","585","469","80.17","468","1","493","452","451","1","7","7","7","0","5","3","3","0"
"10784  :  โรงพยาบาลป่าโมก","1,144","954","83.39","941","13","921","906","896","10","16","16","14","2","17","17","16","1"
"10785  :  โรงพยาบาลโพธิ์ทอง","787","736","93.52","565","171","687","653","482","171","76","71","71","0","15","12","12","0"
"10786  :  โรงพยาบาลแสวงหา","1,500","977","65.13","977","0","1,366","947","947","0","27","19","19","0","19","9","9","0"
"10787  :  โรงพยาบาลวิเศษชัยชาญ","1,716","1,140","66.43","1,139","1","1,003","949","949","0","162","162","162","0","11","11","11","0"
"10788  :  โรงพยาบาลสามโก้","503","415","82.50","413","2","411","409","407","2","3","3","3","0","2","2","2","0"
"10690  :  โรงพยาบาลพระนารายณ์มหาราช","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10691  :  โรงพยาบาลบ้านหมี่","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10789  :  โรงพยาบาลพัฒนานิคม","1,615","940","58.20","939","1","1,186","896","895","1","31","22","22","0","3","2","2","0"
"10790  :  โรงพยาบาลโคกสำโรง","1,656","925","55.86","924","1","758","751","750","1","10","10","10","0","7","7","7","0"
"10791  :  โรงพยาบาลชัยบาดาล","2,582","82","3.18","82","0","46","33","33","0","0","0","0","0","1","1","1","0"
"10792  :  โรงพยาบาลท่าวุ้ง","1,072","113","10.54","111","2","155","105","103","2","7","7","7","0","1","1","1","0"
"10793  :  โรงพยาบาลท่าหลวง","1,286","890","69.21","887","3","1,133","869","868","1","23","12","12","0","15","3","2","1"
"10794  :  โรงพยาบาลสระโบสถ์","1,866","1,532","82.10","1,528","4","1,386","1,336","1,336","0","109","104","103","1","82","74","71","3"
"10795  :  โรงพยาบาลโคกเจริญ","1,126","1,049","93.16","1,048","1","1,050","1,039","1,038","1","6","6","6","0","0","0","0","0"
"10796  :  โรงพยาบาลลำสนธิ","1,197","823","68.76","820","3","821","768","765","3","32","32","32","0","11","10","10","0"
"10797  :  โรงพยาบาลหนองม่วง","1,282","912","71.14","910","2","1,135","852","851","1","2","2","2","0","4","3","3","0"
"14199  :  โรงพยาบาลมะเร็งลพบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14928  :  โรงพยาบาลกองบิน 2","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10692  :  โรงพยาบาลสิงห์บุรี","2,681","2,283","85.15","2,282","1","2,441","2,184","2,183","1","25","20","20","0","11","10","10","0"
"10693  :  โรงพยาบาลอินทร์บุรี","693","534","77.06","534","0","533","529","529","0","0","0","0","0","1","1","1","0"
"10798  :  โรงพยาบาลบางระจัน","1,090","799","73.30","775","24","1,015","758","736","22","7","7","7","0","11","11","11","0"
"10799  :  โรงพยาบาลค่ายบางระจัน","1,234","1,018","82.50","1,006","12","1,000","991","980","11","12","11","10","1","10","10","10","0"
"10800  :  โรงพยาบาลพรหมบุรี","1,183","1,106","93.49","1,094","12","1,086","1,085","1,074","11","8","8","7","1","10","10","10","0"
"10801  :  โรงพยาบาลท่าช้าง","767","719","93.74","708","11","739","714","703","11","3","0","0","0","6","1","1","0"
"10694  :  โรงพยาบาลชัยนาทนเรนทร","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10802  :  โรงพยาบาลมโนรมย์","1,029","984","95.63","980","4","964","964","961","3","7","7","6","1","14","11","11","0"
"10803  :  โรงพยาบาลวัดสิงห์","1,090","699","64.13","695","4","797","669","667","2","15","14","13","1","8","7","6","1"
"10804  :  โรงพยาบาลสรรพยา","590","532","90.17","527","5","529","517","514","3","37","12","11","1","4","3","2","1"
"10805  :  โรงพยาบาลสรรคบุรี","1,743","1,214","69.65","1,213","1","1,528","1,180","1,180","0","29","24","23","1","11","8","8","0"
"10806  :  โรงพยาบาลหันคา","1,756","1,351","76.94","1,351","0","1,464","1,306","1,306","0","32","29","29","0","11","7","7","0"
"27974  :  โรงพยาบาลหนองมะโมง","275","268","97.45","246","22","257","252","234","18","8","8","6","2","3","3","2","1"
"27975  :  โรงพยาบาลเนินขาม","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10661  :  โรงพยาบาลสระบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10695  :  โรงพยาบาลพระพุทธบาท","1","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10807  :  โรงพยาบาลแก่งคอย","2,707","2,201","81.31","2,171","30","2,145","2,106","2,090","16","71","71","59","12","19","19","18","1"
"10808  :  โรงพยาบาลหนองแค","524","8","1.53","8","0","119","7","7","0","2","0","0","0","2","0","0","0"
"10809  :  โรงพยาบาลวิหารแดง","1","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10810  :  โรงพยาบาลหนองแซง","933","868","93.03","865","3","850","821","820","1","21","20","18","2","17","17","17","0"
"10811  :  โรงพยาบาลบ้านหมอ","1,390","1,141","82.09","1,141","0","1,167","1,105","1,105","0","31","31","31","0","5","4","4","0"
"10812  :  โรงพยาบาลดอนพุด","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10813  :  โรงพยาบาลหนองโดน","974","625","64.17","622","3","818","554","551","3","30","27","27","0","8","8","8","0"
"10814  :  โรงพยาบาลเสาไห้เฉลิมพระเกียรติ80พรรษา","576","210","36.46","174","36","324","167","138","29","1","1","1","0","3","3","2","1"
"10815  :  โรงพยาบาลมวกเหล็ก","1,356","32","2.36","32","0","1,164","31","31","0","30","0","0","0","4","0","0","0"
"10816  :  โรงพยาบาลวังม่วงสัทธรรม","681","613","90.01","600","13","605","598","589","9","9","9","8","1","4","4","1","3"
"11485  :  โรงพยาบาลค่ายอดิศร","613","14","2.28","14","0","15","8","8","0","1","1","1","0","0","0","0","0"
"10662  :  โรงพยาบาลชลบุรี","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10817  :  โรงพยาบาลบ้านบึง","4,523","3,439","76.03","3,389","50","3,447","3,127","3,078","49","11","6","6","0","11","10","10","0"
"10818  :  โรงพยาบาลหนองใหญ่","1,014","969","95.56","968","1","959","948","947","1","9","9","9","0","5","5","5","0"
"10819  :  โรงพยาบาลบางละมุง","4,304","1,148","26.67","1,141","7","1,815","820","819","1","349","258","258","0","10","7","7","0"
"10820  :  โรงพยาบาลวัดญาณสังวราราม","508","355","69.88","355","0","395","346","346","0","5","3","3","0","4","4","4","0"
"10821  :  โรงพยาบาลพานทอง","1,280","280","21.88","279","1","526","269","268","1","9","4","4","0","7","6","6","0"
